date,open,high,low,close,volume,comment
2025-03-14,7.85,7.85,7.85,7.85,0.00,FTFeed
2025-03-17,7.86,7.86,7.86,7.86,0.00,FTFeed
2025-03-18,7.87,7.87,7.87,7.87,0.00,FTFeed
2025-03-19,7.89,7.89,7.89,7.89,0.00,FTFeed
2025-03-20,7.90,7.90,7.90,7.90,0.00,FTFeed
2025-03-21,7.88,7.88,7.88,7.88,0.00,FTFeed
2025-03-24,7.86,7.86,7.86,7.86,0.00,FTFeed
2025-03-25,7.86,7.86,7.86,7.86,0.00,FTFeed
2025-03-26,7.86,7.86,7.86,7.86,0.00,FTFeed
2025-03-27,7.86,7.86,7.86,7.86,0.00,FTFeed
2025-03-28,7.86,7.86,7.86,7.86,0.00,FTFeed
2025-03-31,7.88,7.88,7.88,7.88,0.00,FTFeed
2025-04-01,7.89,7.89,7.89,7.89,0.00,FTFeed
2025-04-02,7.88,7.88,7.88,7.88,0.00,FTFeed
2025-04-03,7.92,7.92,7.92,7.92,0.00,FTFeed
2025-04-04,7.90,7.90,7.90,7.90,0.00,FTFeed
2025-04-07,7.79,7.79,7.79,7.79,0.00,FTFeed
2025-04-08,7.76,7.76,7.76,7.76,0.00,FTFeed
2025-04-09,7.72,7.72,7.72,7.72,0.00,FTFeed
2025-04-10,7.70,7.70,7.70,7.70,0.00,FTFeed
2025-04-11,7.65,7.65,7.65,7.65,0.00,FTFeed
2025-04-14,7.72,7.72,7.72,7.72,0.00,FTFeed
2025-04-15,7.71,7.71,7.71,7.71,0.00,FTFeed
2025-04-16,7.75,7.75,7.75,7.75,0.00,FTFeed
