date,open,high,low,close,volume,comment
2025-03-17,111.05,111.05,111.05,111.05,0.00,FTFeed
2025-03-18,111.14,111.14,111.14,111.14,0.00,FTFeed
2025-03-19,111.34,111.34,111.34,111.34,0.00,FTFeed
2025-03-20,112.17,112.17,112.17,112.17,0.00,FTFeed
2025-03-21,111.98,111.98,111.98,111.98,0.00,FTFeed
2025-03-24,111.38,111.38,111.38,111.38,0.00,FTFeed
2025-03-25,110.95,110.95,110.95,110.95,0.00,FTFeed
2025-03-26,111.00,111.00,111.00,111.00,0.00,FTFeed
2025-03-27,110.53,110.53,110.53,110.53,0.00,FTFeed
2025-03-28,110.95,110.95,110.95,110.95,0.00,FTFeed
2025-03-31,111.82,111.82,111.82,111.82,0.00,FTFeed
2025-04-01,112.03,112.03,112.03,112.03,0.00,FTFeed
2025-04-02,112.12,112.12,112.12,112.12,0.00,FTFeed
2025-04-03,112.64,112.64,112.64,112.64,0.00,FTFeed
2025-04-04,113.75,113.75,113.75,113.75,0.00,FTFeed
2025-04-07,112.75,112.75,112.75,112.75,0.00,FTFeed
2025-04-08,111.36,111.36,111.36,111.36,0.00,FTFeed
2025-04-09,109.89,109.89,109.89,109.89,0.00,FTFeed
2025-04-10,110.71,110.71,110.71,110.71,0.00,FTFeed
2025-04-11,110.16,110.16,110.16,110.16,0.00,FTFeed
2025-04-14,110.12,110.12,110.12,110.12,0.00,FTFeed
2025-04-15,110.70,110.70,110.70,110.70,0.00,FTFeed
2025-04-16,111.07,111.07,111.07,111.07,0.00,FTFeed
2025-04-17,111.46,111.46,111.46,111.46,0.00,FTFeed
