date,open,high,low,close,volume,comment
2017-09-14,100.00,100.00,100.00,100.00,0.00,FTFeed
2017-09-15,99.94,99.94,99.94,99.94,0.00,FTFeed
2017-09-18,99.88,99.88,99.88,99.88,0.00,FTFeed
2017-09-19,99.87,99.87,99.87,99.87,0.00,FTFeed
2017-09-20,99.92,99.92,99.92,99.92,0.00,FTFeed
2017-09-21,99.83,99.83,99.83,99.83,0.00,FTFeed
2017-09-22,99.88,99.88,99.88,99.88,0.00,FTFeed
2017-09-25,100.14,100.14,100.14,100.14,0.00,FTFeed
2017-09-26,100.09,100.09,100.09,100.09,0.00,FTFeed
2017-09-27,99.82,99.82,99.82,99.82,0.00,FTFeed
2017-09-28,99.81,99.81,99.81,99.81,0.00,FTFeed
2017-09-29,99.90,99.90,99.90,99.90,0.00,FTFeed
2017-10-02,100.37,100.37,100.37,100.37,0.00,FTFeed
2017-10-03,100.48,100.48,100.48,100.48,0.00,FTFeed
2017-10-04,100.41,100.41,100.41,100.41,0.00,FTFeed
2017-10-05,100.37,100.37,100.37,100.37,0.00,FTFeed
2017-10-06,100.32,100.32,100.32,100.32,0.00,FTFeed
2017-10-09,100.02,100.02,100.02,100.02,0.00,FTFeed
2017-10-10,100.46,100.46,100.46,100.46,0.00,FTFeed
2017-10-11,100.49,100.49,100.49,100.49,0.00,FTFeed
2017-10-12,100.19,100.19,100.19,100.19,0.00,FTFeed
2017-10-13,100.78,100.78,100.78,100.78,0.00,FTFeed
2017-10-16,100.84,100.84,100.84,100.84,0.00,FTFeed
2017-10-17,100.87,100.87,100.87,100.87,0.00,FTFeed
2017-10-18,100.77,100.77,100.77,100.77,0.00,FTFeed
2017-10-19,100.85,100.85,100.85,100.85,0.00,FTFeed
2017-10-20,100.61,100.61,100.61,100.61,0.00,FTFeed
2017-10-23,100.75,100.75,100.75,100.75,0.00,FTFeed
2017-10-24,100.58,100.58,100.58,100.58,0.00,FTFeed
2017-10-25,100.47,100.47,100.47,100.47,0.00,FTFeed
2017-10-26,100.43,100.43,100.43,100.43,0.00,FTFeed
2017-10-27,100.64,100.64,100.64,100.64,0.00,FTFeed
2017-10-30,100.93,100.93,100.93,100.93,0.00,FTFeed
2017-10-31,100.97,100.97,100.97,100.97,0.00,FTFeed
2017-11-01,100.99,100.99,100.99,100.99,0.00,FTFeed
2017-11-02,101.05,101.05,101.05,101.05,0.00,FTFeed
2017-11-03,101.11,101.11,101.11,101.11,0.00,FTFeed
2017-11-06,101.19,101.19,101.19,101.19,0.00,FTFeed
2017-11-07,101.17,101.17,101.17,101.17,0.00,FTFeed
2017-11-08,101.11,101.11,101.11,101.11,0.00,FTFeed
2017-11-09,100.91,100.91,100.91,100.91,0.00,FTFeed
2017-11-10,100.14,100.14,100.14,100.14,0.00,FTFeed
2017-11-13,100.53,100.53,100.53,100.53,0.00,FTFeed
2017-11-14,100.60,100.60,100.60,100.60,0.00,FTFeed
2017-11-15,100.68,100.68,100.68,100.68,0.00,FTFeed
2017-11-16,100.63,100.63,100.63,100.63,0.00,FTFeed
2017-11-17,100.44,100.44,100.44,100.44,0.00,FTFeed
2017-11-20,100.85,100.85,100.85,100.85,0.00,FTFeed
2017-11-21,100.94,100.94,100.94,100.94,0.00,FTFeed
2017-11-22,101.09,101.09,101.09,101.09,0.00,FTFeed
2017-11-23,100.76,100.76,100.76,100.76,0.00,FTFeed
2017-11-24,100.73,100.73,100.73,100.73,0.00,FTFeed
2017-11-27,101.17,101.17,101.17,101.17,0.00,FTFeed
2017-11-28,101.22,101.22,101.22,101.22,0.00,FTFeed
2017-11-29,100.96,100.96,100.96,100.96,0.00,FTFeed
2017-11-30,100.89,100.89,100.89,100.89,0.00,FTFeed
2017-12-01,101.22,101.22,101.22,101.22,0.00,FTFeed
2017-12-04,101.21,101.21,101.21,101.21,0.00,FTFeed
2017-12-05,100.91,100.91,100.91,100.91,0.00,FTFeed
2017-12-06,101.42,101.42,101.42,101.42,0.00,FTFeed
2017-12-07,100.91,100.91,100.91,100.91,0.00,FTFeed
2017-12-08,100.89,100.89,100.89,100.89,0.00,FTFeed
2017-12-11,101.29,101.29,101.29,101.29,0.00,FTFeed
2017-12-12,101.23,101.23,101.23,101.23,0.00,FTFeed
2017-12-13,101.41,101.41,101.41,101.41,0.00,FTFeed
2017-12-14,101.46,101.46,101.46,101.46,0.00,FTFeed
2017-12-15,101.55,101.55,101.55,101.55,0.00,FTFeed
2017-12-18,101.42,101.42,101.42,101.42,0.00,FTFeed
2017-12-19,101.12,101.12,101.12,101.12,0.00,FTFeed
2017-12-20,100.86,100.86,100.86,100.86,0.00,FTFeed
2017-12-21,100.99,100.99,100.99,100.99,0.00,FTFeed
2017-12-22,100.65,100.65,100.65,100.65,0.00,FTFeed
2017-12-26,100.72,100.72,100.72,100.72,0.00,FTFeed
2017-12-27,101.34,101.34,101.34,101.34,0.00,FTFeed
2017-12-28,101.22,101.22,101.22,101.22,0.00,FTFeed
2017-12-29,100.92,100.92,100.92,100.92,0.00,FTFeed
2018-01-02,101.06,101.06,101.06,101.06,0.00,FTFeed
2018-01-03,101.22,101.22,101.22,101.22,0.00,FTFeed
