date,open,high,low,close,volume,comment
2005-01-04,2732.00,2750.00,2705.00,2732.00,49962.00,Alphavantage
2005-01-05,2721.00,2732.00,2710.00,2721.00,46816.00,Alphavantage
2005-01-06,2728.00,2743.00,2720.00,2728.00,22344.00,Alphavantage
2005-01-07,2735.00,2747.00,2730.00,2735.00,13504.00,Alphavantage
2005-01-10,2730.00,2755.00,2729.00,2730.00,45630.00,Alphavantage
2005-01-11,2725.00,2749.00,2725.00,2725.00,67957.00,Alphavantage
2005-01-12,2744.00,2744.24,2710.00,2744.00,50736.00,Alphavantage
2005-01-13,2743.00,2743.00,2725.00,2743.00,57937.00,Alphavantage
2005-01-14,2725.00,2734.00,2717.09,2725.00,62398.00,Alphavantage
2005-01-17,2751.00,2754.00,2719.00,2751.00,19945.00,Alphavantage
2005-01-18,2735.00,2751.57,2731.00,2735.00,97406.00,Alphavantage
2005-01-19,2765.00,2765.00,2737.00,2765.00,32595.00,Alphavantage
2005-01-20,2745.00,2748.00,2737.00,2745.00,28568.00,Alphavantage
2005-01-21,2736.00,2743.00,2733.00,2736.00,27246.00,Alphavantage
2005-01-24,2765.00,2769.00,2732.00,2765.00,21587.00,Alphavantage
2005-01-25,2750.00,2761.00,2740.00,2750.00,73534.00,Alphavantage
2005-01-26,2741.50,2758.00,2736.00,2741.50,115357.00,Alphavantage
2005-01-27,2743.00,2743.00,2721.00,2743.00,130491.00,Alphavantage
2005-01-28,2732.00,2739.50,2726.10,2732.00,142673.00,Alphavantage
2005-01-31,2741.00,2749.00,2723.00,2741.00,185477.00,Alphavantage
2005-02-01,2750.00,2760.00,2738.00,2750.00,89912.00,Alphavantage
2005-02-02,2765.79,2775.00,2755.50,2765.79,64033.00,Alphavantage
2005-02-03,2766.28,2772.00,2758.00,2766.28,103699.00,Alphavantage
2005-02-04,2774.00,2775.00,2760.00,2774.00,31858.00,Alphavantage
2005-02-07,2795.00,2809.00,2785.00,2795.00,111887.00,Alphavantage
2005-02-08,2806.50,2813.20,2802.00,2806.50,59518.00,Alphavantage
2005-02-09,2810.00,2813.00,2502.00,2810.00,61999.00,Alphavantage
2005-02-10,2809.00,2814.00,2805.00,2809.00,28384.00,Alphavantage
2005-02-11,2810.00,2839.80,2805.00,2810.00,63123.00,Alphavantage
2005-02-14,2830.00,2858.00,2811.00,2830.00,30436.00,Alphavantage
2005-02-15,2833.00,2848.00,2826.00,2833.00,120149.00,Alphavantage
2005-02-16,2831.00,2852.00,2820.00,2831.00,31099.00,Alphavantage
2005-02-17,2830.00,2843.00,2821.00,2830.00,46853.00,Alphavantage
2005-02-18,2830.00,2844.00,2823.00,2830.00,21909.00,Alphavantage
2005-02-21,2819.00,2837.00,2819.00,2819.00,46193.00,Alphavantage
2005-02-22,2815.00,2838.00,2806.00,2815.00,97176.00,Alphavantage
2005-02-23,2795.00,2810.00,2780.00,2795.00,35498.00,Alphavantage
2005-02-24,2787.00,2810.00,2787.00,2787.00,21091.00,Alphavantage
2005-02-25,2808.00,2818.00,2795.20,2808.00,19726.00,Alphavantage
2005-02-28,2805.60,2830.00,2802.00,2805.60,34328.00,Alphavantage
2005-03-01,2809.00,2817.00,2790.00,2809.00,51105.00,Alphavantage
2005-03-02,2810.00,2822.00,2801.00,2810.00,75872.00,Alphavantage
