date,open,high,low,close,volume,comment
2005-01-04,1912.00,1916.00,1878.00,1887.17,13594170.00,Alphavantage
2005-01-05,1900.00,1936.00,1870.75,1924.26,9151035.00,Alphavantage
2005-01-06,1917.00,1946.12,1909.95,1941.48,6905669.00,Alphavantage
2005-01-07,1937.00,1958.00,1924.00,1938.00,5232377.00,Alphavantage
2005-01-10,1935.00,1952.00,1890.00,1920.18,11226784.00,Alphavantage
2005-01-11,1939.00,1944.00,1915.00,1928.19,4772411.00,Alphavantage
2005-01-12,1923.00,1937.00,1896.00,1924.00,11952809.00,Alphavantage
2005-01-13,1925.00,1937.00,1907.00,1911.00,4966281.00,Alphavantage
2005-01-14,1898.00,1914.00,1880.89,1900.00,10481752.00,Alphavantage
2005-01-17,1905.00,1907.00,1882.00,1891.00,4495407.00,Alphavantage
2005-01-18,1891.00,1895.43,1855.00,1882.00,4299587.00,Alphavantage
2005-01-19,1889.00,1903.00,1875.00,1889.00,11729365.00,Alphavantage
2005-01-20,1887.00,1888.00,1870.00,1876.00,5192464.00,Alphavantage
2005-01-21,1880.00,1928.12,1858.49,1870.00,13830631.00,Alphavantage
2005-01-24,1879.00,1879.00,1849.00,1861.00,12416580.00,Alphavantage
2005-01-25,1851.00,1900.00,1851.00,1892.89,15610706.00,Alphavantage
2005-01-26,1886.00,1909.00,1866.00,1889.16,19997130.00,Alphavantage
2005-01-27,1901.00,1997.00,1892.51,1986.52,28920558.00,Alphavantage
2005-01-28,1984.00,2026.24,1960.39,2002.45,12908347.00,Alphavantage
2005-01-31,2003.00,2025.04,1990.00,1995.49,12032730.00,Alphavantage
2005-02-01,1998.00,2030.00,1987.00,2013.56,13562064.00,Alphavantage
2005-02-02,2035.00,2079.00,2026.00,2070.00,13932064.00,Alphavantage
2005-02-03,2077.00,2083.00,2055.00,2065.01,14154093.00,Alphavantage
2005-02-04,2059.00,2087.00,2053.88,2075.00,10012630.00,Alphavantage
2005-02-07,2089.00,2095.00,2072.00,2085.00,8615580.00,Alphavantage
2005-02-08,2081.00,2120.00,2076.96,2082.00,12265515.00,Alphavantage
2005-02-09,2060.00,2147.61,2060.00,2118.00,15033432.00,Alphavantage
2005-02-10,2117.00,2140.00,2097.80,2104.08,11418028.00,Alphavantage
2005-02-11,2098.00,2110.00,2085.00,2093.55,6118438.00,Alphavantage
2005-02-14,2100.00,2104.00,2059.65,2093.15,8254666.00,Alphavantage
2005-02-15,2083.00,2094.00,2052.00,2053.00,7050053.00,Alphavantage
2005-02-16,2054.00,2095.00,2054.00,2076.42,7541359.00,Alphavantage
2005-02-17,2077.00,2095.00,2059.65,2068.00,4620464.00,Alphavantage
2005-02-18,2060.00,2082.00,2045.90,2075.00,8434054.00,Alphavantage
2005-02-21,2110.00,2166.68,2072.07,2162.00,12214336.00,Alphavantage
2005-02-22,2170.00,2191.62,2152.00,2167.57,11985659.00,Alphavantage
2005-02-23,2160.00,2160.00,2133.00,2146.50,9059101.00,Alphavantage
2005-02-24,2144.00,2152.00,2108.00,2113.95,9574105.00,Alphavantage
2005-02-25,2124.00,2124.00,2072.00,2078.00,15914432.00,Alphavantage
2005-02-28,2092.00,2109.00,2042.00,2046.50,11119180.00,Alphavantage
2005-03-01,2040.00,2087.00,2040.00,2071.70,9858270.00,Alphavantage
2005-03-02,2086.00,2088.00,2052.57,2075.46,6577698.00,Alphavantage
2005-03-03,2135.00,2173.00,2113.17,2152.00,20862022.00,Alphavantage
2005-03-04,2150.00,2181.00,2065.90,2159.16,11687823.00,Alphavantage
2005-03-07,2169.00,2180.35,2158.00,2166.27,4416931.00,Alphavantage
2005-03-08,2171.00,2174.00,2137.71,2148.91,5638095.00,Alphavantage
2005-03-09,2134.00,2169.00,2130.00,2165.32,6883068.00,Alphavantage
2005-03-10,2140.00,2172.00,2132.00,2157.00,5461066.00,Alphavantage
2005-03-11,2173.00,2196.92,2162.52,2189.00,7796167.00,Alphavantage
2005-03-14,2178.00,2193.52,2070.75,2177.00,8631839.00,Alphavantage
2005-03-15,2198.00,2218.00,2175.64,2201.00,7387757.00,Alphavantage
2005-03-16,2192.00,2200.59,2158.00,2174.06,8474355.00,Alphavantage
2005-03-17,2176.00,2177.10,2148.89,2150.00,4520913.00,Alphavantage
2005-03-18,2145.00,2162.00,2120.00,2128.00,7487580.00,Alphavantage
2005-03-21,2131.00,2157.00,2099.50,2139.10,14706488.00,Alphavantage
2005-03-22,2138.00,2151.00,2120.00,2131.00,12372458.00,Alphavantage
2005-03-23,2117.00,2134.00,2091.66,2120.00,13828007.00,Alphavantage
2005-03-24,2129.00,2151.00,2091.66,2134.00,10589771.00,Alphavantage
2005-03-29,2130.00,2130.00,2092.00,2105.00,6696196.00,Alphavantage
2005-03-30,2088.00,2107.45,2064.95,2084.80,8921179.00,Alphavantage
2005-03-31,2085.00,2113.00,2076.00,2086.00,4743326.00,Alphavantage
2005-04-01,2099.00,2131.00,2085.79,2105.78,4537993.00,Alphavantage
2005-04-04,2097.00,2107.00,2076.00,2080.00,4546885.00,Alphavantage
2005-04-05,2100.00,2165.00,2080.00,2152.57,10131129.00,Alphavantage
2005-04-06,2172.00,2181.00,2141.41,2165.00,8637161.00,Alphavantage
2005-04-07,2154.00,2184.00,2137.00,2147.78,8463838.00,Alphavantage
2005-04-08,2173.00,2191.00,2164.87,2177.73,5017391.00,Alphavantage
2005-04-11,2182.00,2186.00,2161.00,2181.92,4176494.00,Alphavantage
2005-04-12,2170.00,2181.00,2163.00,2173.76,2882997.00,Alphavantage
2005-04-13,2186.00,2226.00,2170.74,2209.00,10709998.00,Alphavantage
2005-04-14,2229.00,2269.00,2222.30,2243.75,11591776.00,Alphavantage
2005-04-15,2284.00,2304.00,2254.00,2296.37,16378177.00,Alphavantage
2005-04-18,2278.00,2293.70,2231.70,2246.91,9960644.00,Alphavantage
2005-04-19,2265.00,2286.28,2245.00,2272.51,4849657.00,Alphavantage
2005-04-20,2285.00,2285.00,2255.00,2267.72,4768935.00,Alphavantage
2005-04-21,2250.00,2275.00,2245.00,2263.00,7260943.00,Alphavantage
2005-04-22,2281.00,2281.00,2248.00,2257.82,3160330.00,Alphavantage
2005-04-25,2264.00,2267.00,2247.00,2254.46,3453023.00,Alphavantage
2005-04-26,2264.00,2300.45,2252.00,2276.75,7019254.00,Alphavantage
2005-04-27,2290.00,2309.00,2260.00,2271.46,6949308.00,Alphavantage
2005-04-28,2298.00,2365.00,2271.00,2337.48,12907598.00,Alphavantage
2005-04-29,2290.00,2305.00,2265.55,2292.54,7520845.00,Alphavantage
2005-05-03,2311.00,2347.52,2281.97,2340.01,6808255.00,Alphavantage
2005-05-04,2345.00,2374.00,2321.00,2362.00,7944904.00,Alphavantage
2005-05-05,2370.00,2372.00,2324.00,2363.45,7550799.00,Alphavantage
2005-05-06,2339.00,2370.00,2325.86,2363.50,3682110.00,Alphavantage
2005-05-09,2349.00,2349.00,2310.00,2328.00,6324028.00,Alphavantage
2005-05-10,2343.00,2354.00,2294.00,2334.50,9962989.00,Alphavantage
2005-05-11,2312.00,2335.24,2286.00,2297.07,6015883.00,Alphavantage
2005-05-12,2321.00,2363.32,2291.00,2300.00,7553378.00,Alphavantage
2005-05-13,2296.00,2308.95,2273.94,2287.55,5905135.00,Alphavantage
2005-05-16,2303.00,2327.00,2276.21,2319.65,3736528.00,Alphavantage
2005-05-17,2336.00,2352.00,2322.00,2349.68,6847179.00,Alphavantage
2005-05-18,2349.00,2377.00,2276.11,2363.00,8142479.00,Alphavantage
2005-05-19,2368.00,2379.00,2321.00,2348.00,9456220.00,Alphavantage
2005-05-20,2347.00,2356.00,2233.50,2329.93,5484208.00,Alphavantage
2005-05-23,2322.00,2332.00,2306.00,2325.00,5992441.00,Alphavantage
2005-05-24,2301.00,2325.00,2301.00,2310.00,7561220.00,Alphavantage
2005-05-25,2316.00,2339.67,2311.00,2328.00,4866308.00,Alphavantage
2005-05-26,2315.00,2348.00,2315.00,2336.00,4957653.00,Alphavantage
2005-05-27,2349.00,2351.00,2248.32,2341.76,4119782.00,Alphavantage
2005-05-31,2361.00,2361.00,2324.00,2335.00,6187305.00,Alphavantage
2005-06-01,2343.00,2360.00,2323.00,2345.22,4456644.00,Alphavantage
2005-06-02,2354.00,2356.00,2316.00,2322.12,4451849.00,Alphavantage
2005-06-03,2326.00,2346.00,2316.00,2328.30,5443722.00,Alphavantage
2005-06-06,2328.00,2329.00,2303.00,2308.00,2826036.00,Alphavantage
2005-06-07,2308.00,2326.00,2288.00,2305.35,11093291.00,Alphavantage
2005-06-08,2290.00,2309.00,2289.00,2294.00,6196233.00,Alphavantage
2005-06-09,2286.00,2318.00,2275.00,2314.00,7054976.00,Alphavantage
2005-06-10,2314.00,2339.00,2304.00,2317.57,5335584.00,Alphavantage
2005-06-13,2310.00,2321.00,2292.00,2319.63,4931391.00,Alphavantage
2005-06-14,2306.00,2317.24,2272.00,2276.00,7106181.00,Alphavantage
2005-06-15,2287.00,2287.00,2241.50,2250.38,9384138.00,Alphavantage
2005-06-16,2254.00,2261.00,2230.00,2246.14,8512510.00,Alphavantage
2005-06-17,2244.00,2300.00,2240.00,2270.00,11840269.00,Alphavantage
2005-06-20,2254.00,2293.40,2254.00,2280.12,5977482.00,Alphavantage
2005-06-21,2294.00,2308.73,2282.41,2299.14,4733621.00,Alphavantage
2005-06-22,2298.00,2317.00,2293.00,2300.00,2160337.00,Alphavantage
2005-06-23,2305.00,2305.00,2262.00,2270.00,11401205.00,Alphavantage
2005-06-24,2257.00,2269.25,2235.00,2246.79,4656179.00,Alphavantage
2005-06-27,2243.00,2283.14,2220.55,2237.72,3852964.00,Alphavantage
2005-06-28,2240.00,2285.00,2227.72,2245.00,4002649.00,Alphavantage
2005-06-29,2261.00,2273.00,2247.00,2260.72,5342175.00,Alphavantage
2005-06-30,2265.00,2325.00,2265.00,2311.00,12070051.00,Alphavantage
2005-07-01,2300.00,2336.33,2300.00,2311.84,3768038.00,Alphavantage
2005-07-04,2322.00,2322.00,2299.00,2316.00,4590432.00,Alphavantage
2005-07-05,2311.00,2352.00,2311.00,2345.00,6095432.00,Alphavantage
2005-07-06,2360.00,2374.00,2261.98,2360.12,7007260.00,Alphavantage
2005-07-07,2355.00,2361.00,2254.00,2318.40,7842563.00,Alphavantage
2005-07-08,2379.00,2379.00,2358.00,2371.23,5612736.00,Alphavantage
2005-07-11,2395.00,2405.46,2366.00,2382.25,3453901.00,Alphavantage
2005-07-12,2380.00,2393.00,2354.00,2355.00,5882388.00,Alphavantage
2005-07-13,2377.00,2381.00,2357.00,2378.00,3547455.00,Alphavantage
2005-07-14,2371.00,2398.00,2364.57,2386.00,5203324.00,Alphavantage
2005-07-15,2380.00,2413.00,2371.00,2379.00,7201685.00,Alphavantage
2005-07-18,2379.00,2398.79,2366.00,2369.00,5080488.00,Alphavantage
2005-07-19,2378.00,2378.00,2325.00,2344.00,14318980.00,Alphavantage
2005-07-20,2345.00,2373.00,2333.00,2346.06,10316107.00,Alphavantage
2005-07-21,2350.00,2372.00,2315.00,2346.00,6399586.00,Alphavantage
2005-07-22,2354.00,2374.00,2333.00,2342.00,4770783.00,Alphavantage
2005-07-25,2349.00,2361.18,2318.10,2352.00,4203317.00,Alphavantage
2005-07-26,2344.00,2357.00,2326.00,2335.01,4464054.00,Alphavantage
2005-07-27,2329.00,2365.00,2319.00,2356.00,5634624.00,Alphavantage
2005-07-28,2388.00,2493.18,2249.92,2470.93,26035395.00,Alphavantage
2005-07-29,2506.00,2605.00,2506.00,2569.71,21076083.00,Alphavantage
2005-08-01,2562.00,2584.35,2450.00,2562.18,8440749.00,Alphavantage
2005-08-02,2551.00,2578.00,2551.00,2565.43,9568047.00,Alphavantage
2005-08-03,2570.00,2604.82,2560.00,2587.64,9351939.00,Alphavantage
2005-08-04,2593.00,2619.00,2580.30,2599.00,4125255.00,Alphavantage
2005-08-05,2586.00,2641.73,2586.00,2609.77,7885975.00,Alphavantage
2005-08-08,2612.00,2612.00,2590.00,2607.01,4222714.00,Alphavantage
2005-08-09,2599.00,2612.00,2568.00,2588.30,8365791.00,Alphavantage
2005-08-10,2590.00,2608.00,2569.09,2588.70,5926106.00,Alphavantage
2005-08-11,2584.00,2595.00,2565.96,2579.93,4477320.00,Alphavantage
2005-08-12,2595.00,2596.00,2579.00,2590.54,6840360.00,Alphavantage
2005-08-15,2577.00,2587.25,2559.00,2580.00,2519340.00,Alphavantage
2005-08-16,2585.00,2618.00,2564.65,2606.20,6693064.00,Alphavantage
2005-08-17,2605.00,2620.00,2580.00,2587.72,8919564.00,Alphavantage
2005-08-18,2586.00,2605.00,2556.25,2574.30,7634859.00,Alphavantage
2005-08-19,2572.00,2593.00,2557.00,2563.00,4734421.00,Alphavantage
2005-08-22,2551.00,2582.00,2538.00,2570.00,3948795.00,Alphavantage
2005-08-23,2562.00,2568.00,2542.00,2551.60,7259095.00,Alphavantage
2005-08-24,2559.00,2566.00,2526.55,2540.48,5883702.00,Alphavantage
2005-08-25,2506.00,2548.40,2504.00,2513.06,7080863.00,Alphavantage
2005-08-26,2526.00,2526.00,2477.30,2501.42,6411708.00,Alphavantage
2005-08-30,2504.00,2537.00,2479.00,2526.00,8387973.00,Alphavantage
2005-08-31,2539.00,2549.00,2516.00,2518.10,3704580.00,Alphavantage
2005-09-01,2548.00,2569.00,2527.13,2560.00,5708299.00,Alphavantage
2005-09-02,2559.00,2611.18,2556.00,2590.34,7214928.00,Alphavantage
2005-09-05,2613.00,2613.00,2585.00,2591.57,4354017.00,Alphavantage
2005-09-06,2599.00,2629.00,2586.00,2613.70,4275587.00,Alphavantage
2005-09-07,2633.00,2662.00,2616.62,2657.00,7020276.00,Alphavantage
2005-09-08,2667.00,2677.00,2642.00,2647.00,7704772.00,Alphavantage
2005-09-09,2649.00,2671.00,2622.74,2653.00,4747302.00,Alphavantage
2005-09-12,2653.00,2677.00,2648.00,2662.96,5665370.00,Alphavantage
2005-09-13,2660.00,2666.10,2633.92,2645.00,3647992.00,Alphavantage
2005-09-14,2643.00,2668.00,2643.00,2653.25,5871725.00,Alphavantage
2005-09-15,2636.00,2654.00,2624.00,2645.68,4495860.00,Alphavantage
2005-09-16,2640.00,2657.00,2625.00,2628.99,9796674.00,Alphavantage
2005-09-19,2625.00,2647.00,2615.00,2637.00,3109946.00,Alphavantage
2005-09-20,2632.00,2647.00,2587.00,2598.70,8670111.00,Alphavantage
2005-09-21,2583.00,2606.90,2560.00,2583.00,6396357.00,Alphavantage
2005-09-22,2567.00,2613.88,2565.00,2597.00,5488303.00,Alphavantage
2005-09-23,2614.00,2634.00,2587.00,2628.00,4083685.00,Alphavantage
2005-09-26,2643.00,2667.00,2624.00,2654.03,3430631.00,Alphavantage
2005-09-27,2649.00,2704.00,2649.00,2668.00,6891975.00,Alphavantage
2005-09-28,2660.00,2705.70,2612.00,2640.65,19644580.00,Alphavantage
2005-09-29,2640.00,2665.00,2623.00,2643.33,9102164.00,Alphavantage
2005-09-30,2638.00,2654.00,2628.05,2635.00,6474360.00,Alphavantage
2005-10-03,2649.00,2679.00,2635.00,2656.00,5952799.00,Alphavantage
2005-10-04,2656.00,2714.07,2655.00,2704.00,6766599.00,Alphavantage
2005-10-05,2698.00,2775.54,2691.00,2719.00,7247702.00,Alphavantage
2005-10-06,2725.00,2761.13,2715.00,2752.00,6044568.00,Alphavantage
2005-10-07,2752.00,2768.00,2742.00,2756.62,4814206.00,Alphavantage
2005-10-10,2777.00,2777.00,2745.00,2750.00,6180042.00,Alphavantage
2005-10-11,2768.00,2768.00,2724.00,2728.00,5566852.00,Alphavantage
2005-10-12,2713.00,2878.00,2699.00,2714.00,7508761.00,Alphavantage
2005-10-13,2719.00,2724.00,2670.00,2692.05,4896202.00,Alphavantage
2005-10-14,2695.00,2698.00,2667.00,2680.13,5340189.00,Alphavantage
2005-10-17,2690.00,2742.88,2651.76,2667.00,3299809.00,Alphavantage
2005-10-18,2599.00,2627.62,2582.00,2604.00,13100741.00,Alphavantage
2005-10-19,2617.00,2646.00,2593.00,2631.00,10605358.00,Alphavantage
2005-10-20,2670.00,2670.00,2560.15,2567.00,8533560.00,Alphavantage
2005-10-21,2568.00,2615.00,2560.00,2590.85,7829460.00,Alphavantage
2005-10-24,2596.00,2627.00,2584.00,2612.00,3691283.00,Alphavantage
2005-10-25,2637.00,2637.00,2575.00,2590.00,5749519.00,Alphavantage
2005-10-26,2580.00,2620.25,2570.00,2585.00,6987285.00,Alphavantage
2005-10-27,2578.00,2630.00,2490.00,2506.64,19187611.00,Alphavantage
2005-10-28,2499.00,2503.75,2455.00,2485.00,16112553.00,Alphavantage
2005-10-31,2487.00,2534.00,2471.80,2518.10,8356361.00,Alphavantage
2005-11-01,2534.00,2534.00,2515.00,2534.00,6746679.00,Alphavantage
2005-11-02,2525.00,2560.00,2520.00,2531.00,7657959.00,Alphavantage
2005-11-03,2569.00,2575.00,2545.00,2561.90,6111220.00,Alphavantage
2005-11-04,2581.00,2620.00,2564.93,2602.10,9446555.00,Alphavantage
2005-11-07,2601.00,2637.00,2592.00,2605.00,5702542.00,Alphavantage
2005-11-08,2639.00,2642.00,2591.00,2615.25,5678586.00,Alphavantage
2005-11-09,2580.00,2595.00,2564.00,2570.16,11075175.00,Alphavantage
2005-11-10,2576.00,2588.00,2529.00,2546.24,14504308.00,Alphavantage
2005-11-11,2550.00,2584.00,2540.35,2584.00,6908226.00,Alphavantage
2005-11-14,2589.00,2609.00,2579.00,2587.00,7792304.00,Alphavantage
