date,open,high,low,close,volume,comment
2025-03-17,385.20,385.20,385.20,385.20,0.00,FTFeed
2025-03-18,387.30,387.30,387.30,387.30,0.00,FTFeed
2025-03-19,386.20,386.20,386.20,386.20,0.00,FTFeed
2025-03-20,385.70,385.70,385.70,385.70,0.00,FTFeed
2025-03-21,385.40,385.40,385.40,385.40,0.00,FTFeed
2025-03-24,384.70,384.70,384.70,384.70,0.00,FTFeed
2025-03-25,386.40,386.40,386.40,386.40,0.00,FTFeed
2025-03-26,385.10,385.10,385.10,385.10,0.00,FTFeed
2025-03-27,383.90,383.90,383.90,383.90,0.00,FTFeed
2025-03-28,385.30,385.30,385.30,385.30,0.00,FTFeed
2025-03-31,380.90,380.90,380.90,380.90,0.00,FTFeed
2025-04-01,385.40,385.40,385.40,385.40,0.00,FTFeed
2025-04-02,382.70,382.70,382.70,382.70,0.00,FTFeed
2025-04-03,377.70,377.70,377.70,377.70,0.00,FTFeed
2025-04-04,372.90,372.90,372.90,372.90,0.00,FTFeed
2025-04-07,359.00,359.00,359.00,359.00,0.00,FTFeed
2025-04-08,365.00,365.00,365.00,365.00,0.00,FTFeed
2025-04-09,357.70,357.70,357.70,357.70,0.00,FTFeed
2025-04-10,370.20,370.20,370.20,370.20,0.00,FTFeed
2025-04-11,371.80,371.80,371.80,371.80,0.00,FTFeed
2025-04-14,376.10,376.10,376.10,376.10,0.00,FTFeed
2025-04-15,378.10,378.10,378.10,378.10,0.00,FTFeed
2025-04-16,377.90,377.90,377.90,377.90,0.00,FTFeed
