date,open,high,low,close,volume,comment
2015-04-13,216.36,216.50,215.40,215.50,132320.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-14,216.40,217.10,215.60,216.10,241150.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-15,216.21,217.30,216.20,216.60,111450.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-16,217.30,217.30,216.00,216.30,218970.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-17,216.00,217.29,216.00,216.10,120770.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-20,217.00,217.20,215.40,215.50,457950.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-21,215.30,216.00,212.50,212.90,1422140.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-22,212.83,212.83,210.40,211.20,842060.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-23,210.65,211.50,210.00,210.00,838080.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-24,210.00,210.70,209.51,209.60,680380.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-27,209.57,210.00,209.00,209.80,435690.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-28,209.24,212.50,209.10,212.50,633730.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-29,211.90,213.50,211.50,212.40,526690.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-30,212.40,213.40,211.60,212.50,784340.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-01,212.30,212.80,212.00,212.50,129070.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-05,212.68,212.70,211.50,211.50,131560.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-06,211.50,212.15,211.00,211.20,125860.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-07,211.00,212.00,210.50,211.90,452490.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-08,212.00,212.00,210.50,212.00,364800.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-11,210.50,212.00,209.50,210.50,742340.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-12,210.50,210.50,209.00,210.40,249150.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-13,209.00,210.50,208.50,208.60,329010.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-14,208.50,209.90,208.50,209.30,260400.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-15,209.30,210.00,208.50,209.50,240570.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-18,210.00,210.00,208.10,208.10,214740.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-19,208.97,209.03,201.40,207.20,440820.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-20,207.70,208.39,207.00,207.40,294580.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-21,207.00,208.40,207.00,207.70,205800.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-22,207.10,208.80,207.10,208.10,296500.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-26,209.15,209.30,208.10,209.00,279380.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-27,209.10,209.40,208.50,209.40,187860.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-28,209.10,210.30,208.50,210.00,206000.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-29,209.64,210.00,209.00,209.30,391480.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-01,209.00,210.50,209.00,209.70,98480.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-02,209.01,210.40,209.00,209.60,221410.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-03,210.31,210.50,209.30,210.30,216090.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-04,210.20,211.00,209.10,209.60,279110.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-05,209.00,210.00,209.00,209.80,91770.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-08,210.00,210.00,208.50,209.00,399790.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-09,209.00,209.79,208.60,209.00,28270.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-10,208.50,209.90,208.50,209.70,62300.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-11,208.51,209.72,208.50,209.50,66960.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-12,208.50,209.60,208.50,209.10,156090.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-15,208.50,209.22,208.00,208.10,860040.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-16,208.10,209.40,207.50,207.70,267860.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-17,207.50,208.00,207.30,207.50,298020.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-18,208.17,208.50,207.50,207.60,111860.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-19,208.00,208.10,205.50,205.50,1517930.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-22,205.50,206.90,204.10,206.50,1212880.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-23,205.60,206.80,205.50,206.80,430990.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-24,205.30,206.00,205.00,206.00,316400.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-25,205.00,206.10,204.50,206.00,681280.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-26,206.00,206.30,205.10,206.30,526330.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-29,206.35,206.44,205.00,206.40,585260.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-30,205.50,208.10,205.50,207.90,477300.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-01,207.50,209.40,207.50,209.10,411040.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-02,207.90,208.41,206.80,207.90,398170.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-03,207.14,208.00,207.00,207.70,207260.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-06,207.62,207.80,207.00,207.80,119420.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-07,208.32,208.32,206.60,207.70,206400.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-08,206.85,208.00,206.50,207.90,67480.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-09,206.67,208.00,206.50,207.80,147880.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-10,207.86,208.00,207.30,207.90,188350.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-13,208.00,208.00,206.90,207.80,239760.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-14,207.90,208.00,207.50,207.90,151320.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-15,207.20,208.00,207.20,207.90,112950.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-16,207.68,208.50,207.30,208.40,204990.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-17,207.90,208.50,207.60,208.50,80260.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-20,208.60,209.40,208.00,208.40,414780.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-21,208.00,209.20,208.00,209.00,573330.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-22,208.00,209.20,208.00,209.10,730100.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-23,208.00,209.00,208.00,208.50,472650.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-24,208.04,208.89,208.00,208.50,560770.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-27,208.03,208.60,208.00,208.60,215590.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-28,208.00,208.50,208.00,208.00,1226130.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-29,207.50,208.80,207.50,208.50,258250.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-30,208.44,208.90,207.97,208.50,169890.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-31,208.10,208.90,208.10,208.70,148490.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-03,208.69,208.70,208.00,208.70,91610.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-04,208.70,209.00,208.00,208.50,231490.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-05,208.16,209.49,208.00,208.60,464550.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-06,209.49,209.50,208.30,209.50,152090.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-07,209.50,209.50,208.60,209.50,114840.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-10,209.35,209.40,209.00,209.10,125140.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-11,209.38,209.90,208.50,209.90,272600.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-12,210.00,210.00,209.00,209.30,195200.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-13,209.71,209.80,209.00,209.80,164610.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-14,209.70,210.60,209.00,209.80,274370.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-17,209.00,210.35,209.00,209.70,100240.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-18,209.55,210.50,209.36,210.30,88550.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
