date,open,high,low,close,volume,comment
2011-07-08,14321.00,14321.00,14321.00,14321.00,2300.00,Alphavantage
2011-07-19,13172.00,13188.00,13172.00,13172.00,4600.00,Alphavantage
2011-12-19,11067.00,11067.00,11067.00,11067.00,2300.00,Alphavantage
2012-01-12,11478.00,11478.00,11478.00,11478.00,2300.00,Alphavantage
2012-01-26,11841.00,11841.00,11841.00,11841.00,2300.00,Alphavantage
2012-03-30,10795.35,10795.35,10795.35,10795.35,11.00,Alphavantage
2012-04-02,10629.00,10629.00,10629.00,10629.00,11.00,Alphavantage
2012-04-18,9840.00,9960.00,9770.00,9770.00,2344.00,Alphavantage
2012-04-25,9533.00,9697.45,9533.00,9535.50,30.00,Alphavantage
2012-04-30,9453.00,9453.00,9347.45,9347.45,146.00,Alphavantage
2012-05-01,9431.00,9431.00,9431.00,9431.00,42.00,Alphavantage
2012-05-02,9080.00,9098.50,9014.00,9050.50,412.00,Alphavantage
2012-05-08,9369.00,9425.60,9369.00,9369.00,176.00,Alphavantage
2012-05-10,9253.55,9313.00,9253.55,9275.50,200.00,Alphavantage
2012-05-15,9004.00,9004.00,9004.00,9004.00,32.00,Alphavantage
2012-05-16,8620.00,8620.00,8620.00,8620.00,11.00,Alphavantage
2012-05-23,8730.90,8730.90,8730.90,8730.90,10.00,Alphavantage
2012-05-24,8560.00,8765.00,8560.00,8724.00,310.00,Alphavantage
2012-06-01,8110.00,8110.00,8110.00,8110.00,311.00,Alphavantage
2012-06-06,8614.50,8614.50,8614.50,8614.50,57.00,Alphavantage
2012-06-07,8865.00,8865.00,8865.00,8865.00,57.00,Alphavantage
2012-06-08,8811.00,8811.00,8720.50,8811.00,68.00,Alphavantage
2012-06-21,9289.00,9289.00,9197.00,9197.00,2321.00,Alphavantage
2012-07-03,9682.00,9701.60,9682.00,9701.60,108.00,Alphavantage
2012-07-04,9710.00,9736.55,9710.00,9710.00,220.00,Alphavantage
2012-07-20,8238.00,8238.00,8238.00,8238.00,300.00,Alphavantage
2012-08-06,9235.00,9474.00,9235.00,9472.50,9200.00,Alphavantage
2012-08-08,9553.00,9569.40,9553.00,9569.40,104.00,Alphavantage
2012-08-16,9696.00,9696.00,9696.00,9696.00,300.00,Alphavantage
