date,open,high,low,close,volume,comment
2015-04-13,297.00,297.68,295.38,296.52,382455.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-14,295.97,297.23,294.68,297.00,379599.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-15,297.00,297.80,294.40,297.14,415305.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-16,297.60,297.60,295.58,296.43,233625.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-17,297.23,298.18,292.75,292.82,499330.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-20,295.21,296.65,294.15,295.93,446212.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-21,296.28,297.68,294.91,296.28,241650.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-22,295.58,296.66,292.75,294.62,364312.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-23,294.35,295.85,293.87,295.36,197625.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-24,295.72,296.95,294.77,296.28,304320.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-27,295.58,298.39,294.20,296.57,473375.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-28,297.00,297.60,292.75,294.49,352361.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-29,295.56,295.71,292.30,292.45,437094.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-30,289.76,291.21,287.32,288.41,591609.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-01,289.55,290.77,287.10,289.20,251822.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-05,290.49,294.40,289.13,289.13,629833.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-06,289.76,291.87,287.49,288.02,460392.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-07,288.97,288.97,283.77,288.15,572683.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-08,293.34,296.52,292.21,295.93,775509.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
