date,open,high,low,close,volume,comment
2005-01-04,745.00,762.50,743.00,753.00,18351548.00,Alphavantage
2005-01-05,749.50,754.50,744.00,746.75,14677397.00,Alphavantage
2005-01-06,747.00,750.00,737.91,745.28,11751804.00,Alphavantage
2005-01-07,740.50,759.00,740.50,755.50,18085441.00,Alphavantage
2005-01-10,749.00,749.50,737.50,739.10,12640285.00,Alphavantage
2005-01-11,743.00,744.50,728.38,736.00,16286034.00,Alphavantage
2005-01-12,739.00,740.50,726.50,728.00,20647152.00,Alphavantage
2005-01-13,733.50,735.00,728.00,728.36,18009570.00,Alphavantage
2005-01-14,732.50,742.00,725.00,740.00,26728831.00,Alphavantage
2005-01-17,746.00,753.00,741.00,746.00,12040920.00,Alphavantage
2005-01-18,742.50,746.00,734.50,742.00,14836150.00,Alphavantage
2005-01-19,742.00,748.50,736.00,739.55,14321144.00,Alphavantage
2005-01-20,740.00,742.20,733.00,734.00,12263298.00,Alphavantage
2005-01-21,738.00,738.00,723.00,726.50,12139209.00,Alphavantage
2005-01-24,725.00,725.18,716.00,721.00,10432490.00,Alphavantage
2005-01-25,719.00,736.10,717.35,726.75,16957987.00,Alphavantage
2005-01-26,727.00,732.50,725.50,728.50,22737893.00,Alphavantage
2005-01-27,728.00,780.34,717.50,725.50,42936116.00,Alphavantage
2005-01-28,729.50,729.68,720.00,726.00,16795376.00,Alphavantage
2005-01-31,720.00,725.50,716.00,723.50,21166259.00,Alphavantage
2005-02-01,721.50,729.00,720.25,729.00,8939559.00,Alphavantage
2005-02-02,729.00,839.50,728.75,739.00,17911074.00,Alphavantage
2005-02-03,736.00,741.50,730.54,735.71,20138768.00,Alphavantage
2005-02-04,740.00,743.00,734.10,739.58,30695866.00,Alphavantage
2005-02-07,742.00,773.61,740.00,750.00,25207869.00,Alphavantage
2005-02-08,748.00,754.00,742.00,748.50,34749606.00,Alphavantage
2005-02-09,745.00,749.00,735.50,739.16,35832589.00,Alphavantage
2005-02-10,734.50,744.20,734.50,737.18,16100365.00,Alphavantage
2005-02-11,737.00,747.00,737.00,740.85,19862110.00,Alphavantage
2005-02-14,736.00,745.50,736.00,742.86,10118261.00,Alphavantage
2005-02-15,745.00,753.00,743.00,751.00,19301848.00,Alphavantage
2005-02-16,752.50,755.00,739.50,745.78,18617259.00,Alphavantage
2005-02-17,740.00,755.00,735.00,739.27,28275570.00,Alphavantage
2005-02-18,741.50,754.50,737.50,752.00,71203960.00,Alphavantage
2005-02-21,752.00,763.00,746.67,756.88,17244171.00,Alphavantage
2005-02-22,754.50,763.50,753.50,759.00,43113912.00,Alphavantage
2005-02-23,755.00,770.20,754.65,758.39,23754553.00,Alphavantage
2005-02-24,753.00,756.50,748.50,751.15,12822265.00,Alphavantage
2005-02-25,756.00,758.00,749.00,755.02,8195715.00,Alphavantage
2005-02-28,758.00,758.00,740.50,740.50,60724807.00,Alphavantage
2005-03-01,738.00,748.00,735.50,742.10,62775417.00,Alphavantage
2005-03-02,733.00,747.37,729.50,734.18,13387841.00,Alphavantage
2005-03-03,733.00,739.00,729.27,736.56,15467727.00,Alphavantage
2005-03-04,732.00,747.00,731.00,734.50,13975290.00,Alphavantage
2005-03-07,739.50,742.61,733.00,736.87,9340961.00,Alphavantage
2005-03-08,737.00,746.00,732.00,735.78,16568481.00,Alphavantage
2005-03-09,740.00,742.50,738.00,740.51,26254324.00,Alphavantage
2005-03-10,739.00,757.75,737.00,745.50,23366283.00,Alphavantage
2005-03-11,745.50,767.85,745.50,758.00,27803206.00,Alphavantage
2005-03-14,759.50,760.50,753.50,758.50,15151163.00,Alphavantage
2005-03-15,758.50,759.70,752.00,754.50,17531567.00,Alphavantage
2005-03-16,755.50,758.84,749.00,753.00,19432713.00,Alphavantage
2005-03-17,755.00,757.50,747.00,748.00,16070499.00,Alphavantage
2005-03-18,750.00,759.00,747.50,750.78,19022440.00,Alphavantage
2005-03-21,749.50,751.00,742.00,745.37,13459188.00,Alphavantage
2005-03-22,748.50,758.76,743.13,754.50,18332868.00,Alphavantage
2005-03-23,749.00,763.61,747.50,757.96,60627637.00,Alphavantage
2005-03-24,758.00,762.00,754.37,757.25,25607843.00,Alphavantage
2005-03-29,759.00,760.00,753.50,758.00,25824044.00,Alphavantage
2005-03-30,755.00,764.00,745.50,751.50,27661039.00,Alphavantage
2005-03-31,757.00,758.50,743.50,746.00,20988045.00,Alphavantage
2005-04-01,747.00,763.62,746.00,757.29,22484668.00,Alphavantage
2005-04-04,760.00,760.00,751.00,755.00,13949072.00,Alphavantage
2005-04-05,764.00,788.28,755.00,779.00,58336964.00,Alphavantage
2005-04-06,783.00,786.50,776.00,782.74,23500960.00,Alphavantage
2005-04-07,785.50,792.50,782.20,787.93,34543457.00,Alphavantage
2005-04-08,792.50,792.50,782.23,788.00,21526349.00,Alphavantage
2005-04-11,786.00,795.50,785.00,794.00,63461759.00,Alphavantage
2005-04-12,789.00,797.00,788.71,792.00,11845155.00,Alphavantage
2005-04-13,795.00,798.17,782.00,790.50,22168586.00,Alphavantage
2005-04-14,785.00,792.58,783.00,787.50,17365769.00,Alphavantage
2005-04-15,782.50,792.50,782.50,788.20,14181033.00,Alphavantage
2005-04-18,781.00,787.50,767.11,773.28,15368761.00,Alphavantage
2005-04-19,770.50,778.05,766.00,772.42,35330880.00,Alphavantage
2005-04-20,776.50,783.00,771.50,775.18,36578368.00,Alphavantage
2005-04-21,773.50,782.05,768.60,772.50,43817621.00,Alphavantage
2005-04-22,772.00,774.16,767.50,769.75,17343735.00,Alphavantage
2005-04-25,768.00,784.00,765.00,775.37,14223878.00,Alphavantage
2005-04-26,782.00,782.00,770.00,774.60,16145868.00,Alphavantage
2005-04-27,775.00,782.00,772.00,776.58,43246617.00,Alphavantage
2005-04-28,775.50,782.00,767.00,773.70,15085285.00,Alphavantage
2005-04-29,770.00,776.50,768.00,772.91,10388315.00,Alphavantage
2005-05-03,778.00,784.00,770.50,776.58,10912400.00,Alphavantage
2005-05-04,787.00,789.00,777.00,788.50,12250422.00,Alphavantage
2005-05-05,790.00,798.00,789.00,792.06,16040889.00,Alphavantage
2005-05-06,795.00,798.00,789.00,792.50,11491598.00,Alphavantage
2005-05-09,792.00,792.00,783.00,786.34,12612493.00,Alphavantage
2005-05-10,790.00,792.00,783.00,784.50,18067199.00,Alphavantage
2005-05-11,786.00,797.00,783.00,793.50,17911466.00,Alphavantage
2005-05-12,800.00,802.50,796.50,799.04,11065140.00,Alphavantage
2005-05-13,797.00,809.00,794.75,806.05,15032086.00,Alphavantage
2005-05-16,802.50,806.50,796.50,801.98,10625782.00,Alphavantage
2005-05-17,809.00,809.50,801.50,806.50,18562136.00,Alphavantage
2005-05-18,807.50,812.50,804.50,807.31,15445034.00,Alphavantage
2005-05-19,811.50,811.50,799.50,804.50,18899781.00,Alphavantage
2005-05-20,806.00,811.00,801.00,807.50,8109688.00,Alphavantage
2005-05-23,805.50,808.50,798.50,802.67,13906846.00,Alphavantage
2005-05-24,801.50,807.50,800.00,802.83,19333172.00,Alphavantage
2005-05-25,801.50,806.50,795.50,799.37,12045930.00,Alphavantage
2005-05-26,800.00,808.00,791.00,797.00,11423619.00,Alphavantage
2005-05-27,796.00,806.35,794.36,797.78,10734033.00,Alphavantage
2005-05-31,795.00,800.00,775.10,790.25,23514496.00,Alphavantage
2005-06-01,791.00,796.00,787.50,791.33,20561329.00,Alphavantage
2005-06-02,793.00,797.00,785.50,794.66,18285116.00,Alphavantage
2005-06-03,788.50,792.00,780.00,788.50,19172511.00,Alphavantage
2005-06-06,788.50,792.00,784.00,787.50,10743864.00,Alphavantage
2005-06-07,797.00,812.50,787.50,805.77,22523454.00,Alphavantage
2005-06-08,806.50,813.90,804.00,808.68,12138675.00,Alphavantage
2005-06-09,803.00,811.50,803.00,809.50,15382309.00,Alphavantage
2005-06-10,809.50,818.50,806.00,813.45,12741839.00,Alphavantage
2005-06-13,811.50,814.00,806.00,811.50,13667200.00,Alphavantage
2005-06-14,808.50,820.50,807.50,812.79,22127037.00,Alphavantage
2005-06-15,817.50,819.50,806.25,809.88,9544907.00,Alphavantage
2005-06-16,810.00,810.00,801.50,804.71,16360518.00,Alphavantage
2005-06-17,810.00,830.50,806.00,807.00,21360036.00,Alphavantage
2005-06-20,804.50,811.50,802.00,809.47,10397650.00,Alphavantage
2005-06-21,810.00,812.50,805.00,809.79,9309178.00,Alphavantage
2005-06-22,810.50,820.50,807.50,816.00,14064199.00,Alphavantage
2005-06-23,816.00,826.00,816.00,822.50,17891555.00,Alphavantage
2005-06-24,816.00,819.00,810.50,813.16,4487410.00,Alphavantage
2005-06-27,807.50,813.00,801.50,805.00,15938385.00,Alphavantage
2005-06-28,803.00,815.00,799.70,811.50,23282261.00,Alphavantage
2005-06-29,813.00,818.00,809.00,813.03,15965394.00,Alphavantage
2005-06-30,817.00,827.00,810.50,823.00,15675221.00,Alphavantage
2005-07-01,821.00,827.50,818.00,823.50,17965228.00,Alphavantage
2005-07-04,826.50,827.50,817.96,824.50,6677796.00,Alphavantage
2005-07-05,822.00,823.00,814.00,817.52,10645013.00,Alphavantage
2005-07-06,824.00,840.00,818.50,828.68,15354876.00,Alphavantage
2005-07-07,823.00,826.76,775.00,791.86,42802438.00,Alphavantage
2005-07-08,817.00,823.75,795.50,803.18,31040122.00,Alphavantage
2005-07-11,803.00,805.00,784.00,787.93,33026174.00,Alphavantage
2005-07-12,793.00,796.50,789.00,791.00,19626534.00,Alphavantage
2005-07-13,796.00,796.00,786.00,789.64,15855960.00,Alphavantage
2005-07-14,790.00,800.00,787.00,791.40,17191347.00,Alphavantage
2005-07-15,795.50,795.50,781.50,784.83,22855902.00,Alphavantage
2005-07-18,784.50,789.63,782.00,787.00,15584276.00,Alphavantage
2005-07-19,791.00,793.00,784.00,786.15,35793238.00,Alphavantage
2005-07-20,792.00,796.00,786.00,789.50,17489776.00,Alphavantage
2005-07-21,791.00,793.00,783.00,788.75,19917725.00,Alphavantage
2005-07-22,782.00,793.40,782.00,789.50,11859857.00,Alphavantage
2005-07-25,790.00,794.00,784.32,788.50,14738173.00,Alphavantage
