date,open,high,low,close,volume,comment
2013-10-21,100.04,100.04,100.04,100.04,0.00,Alphavantage
2013-10-22,100.05,100.05,100.05,100.05,0.00,Alphavantage
2013-10-23,100.14,100.14,100.04,100.06,5161.00,Alphavantage
2013-10-24,100.01,100.01,100.01,100.01,0.00,Alphavantage
2013-10-25,100.06,100.06,100.06,100.06,0.00,Alphavantage
2013-10-28,100.14,100.14,100.14,100.14,239.00,Alphavantage
2013-10-29,100.08,100.08,100.08,100.08,0.00,Alphavantage
2013-10-30,99.99,100.05,99.99,100.05,2399.00,Alphavantage
2013-10-31,100.02,100.02,100.02,100.02,500.00,Alphavantage
2013-11-01,100.00,100.00,100.00,100.00,0.00,Alphavantage
2013-11-04,100.05,100.05,100.05,100.05,0.00,Alphavantage
2013-11-05,100.03,100.03,100.03,100.03,0.00,Alphavantage
2013-11-06,100.03,100.03,100.03,100.03,0.00,Alphavantage
2013-11-07,100.05,100.05,100.05,100.05,0.00,Alphavantage
2013-11-08,100.03,100.03,100.03,100.03,0.00,Alphavantage
2013-11-11,100.10,100.11,100.05,100.05,5786.00,Alphavantage
2013-11-12,100.05,100.05,100.05,100.05,0.00,Alphavantage
2013-11-13,100.06,100.06,100.06,100.06,0.00,Alphavantage
2013-11-14,100.05,100.05,100.05,100.05,0.00,Alphavantage
2013-11-15,100.11,100.11,100.11,100.11,20.00,Alphavantage
2013-11-18,100.06,100.06,100.06,100.06,0.00,Alphavantage
2013-11-19,100.05,100.05,100.05,100.05,0.00,Alphavantage
2013-11-20,100.06,100.06,100.06,100.06,0.00,Alphavantage
2013-11-21,100.06,100.06,100.06,100.06,0.00,Alphavantage
2013-11-22,100.06,100.06,100.06,100.06,0.00,Alphavantage
2013-11-25,100.02,100.02,100.02,100.02,0.00,Alphavantage
2013-11-26,99.99,100.12,99.99,100.05,2937.00,Alphavantage
2013-11-27,99.99,99.99,99.99,99.99,2869.00,Alphavantage
2013-11-28,100.07,100.07,100.07,100.07,1898.00,Alphavantage
2013-11-29,100.00,100.00,100.00,100.00,0.00,Alphavantage
2013-12-02,100.00,100.00,100.00,100.00,0.00,Alphavantage
2013-12-03,100.07,100.07,100.07,100.07,68.00,Alphavantage
2013-12-04,100.06,100.07,100.01,100.01,27841.00,Alphavantage
2013-12-05,100.03,100.10,100.03,100.03,5483.00,Alphavantage
2013-12-06,100.08,100.11,100.07,100.07,2216.00,Alphavantage
2013-12-09,100.03,100.03,100.03,100.03,0.00,Alphavantage
2013-12-10,100.09,100.10,100.03,100.10,6795.00,Alphavantage
2013-12-11,100.10,100.10,100.06,100.07,5001.00,Alphavantage
2013-12-12,100.05,100.05,100.05,100.05,0.00,Alphavantage
2013-12-13,100.05,100.12,100.05,100.05,414.00,Alphavantage
2013-12-16,100.10,100.11,99.96,100.00,15257.00,Alphavantage
2013-12-17,100.10,100.12,100.03,100.06,24026.00,Alphavantage
2013-12-18,100.13,100.16,99.98,100.06,43453.00,Alphavantage
2013-12-19,100.10,100.16,99.98,100.04,7365.00,Alphavantage
2013-12-20,100.12,100.17,100.05,100.05,17441.00,Alphavantage
2013-12-23,100.15,100.18,100.14,100.14,7520.00,Alphavantage
2013-12-24,100.23,100.26,100.03,100.08,12600.00,Alphavantage
2013-12-27,100.16,100.22,100.16,100.16,1000.00,Alphavantage
2013-12-30,100.07,100.07,100.07,100.07,1000.00,Alphavantage
2013-12-31,100.15,100.21,100.15,100.15,4160.00,Alphavantage
2014-01-02,99.99,100.20,99.99,100.09,13760.00,Alphavantage
2014-01-03,100.18,100.19,100.18,100.18,100.00,Alphavantage
2014-01-06,100.15,100.20,100.02,100.03,9190.00,Alphavantage
2014-01-07,100.14,100.15,100.00,100.02,22970.00,Alphavantage
2014-01-08,100.02,100.12,100.02,100.06,22270.00,Alphavantage
2014-01-09,100.09,100.14,99.99,100.05,57343.00,Alphavantage
2014-01-10,100.05,100.08,100.03,100.05,36875.00,Alphavantage
2014-01-13,100.10,100.19,100.02,100.06,8677.00,Alphavantage
2014-01-14,100.05,100.10,100.04,100.05,12043.00,Alphavantage
2014-01-15,100.13,100.18,100.08,100.08,32584.00,Alphavantage
2014-01-16,100.08,100.18,100.06,100.13,23818.00,Alphavantage
2014-01-17,100.13,100.18,100.13,100.13,8050.00,Alphavantage
2014-01-20,100.20,100.28,100.15,100.19,48205.00,Alphavantage
2014-01-21,100.23,100.26,100.23,100.23,47336.00,Alphavantage
2014-01-22,100.23,100.26,100.17,100.19,27489.00,Alphavantage
2014-01-23,100.23,100.26,100.11,100.19,7511.00,Alphavantage
2014-01-24,100.23,100.26,100.11,100.19,29243.00,Alphavantage
2014-01-27,100.23,100.26,100.23,100.23,823.00,Alphavantage
2014-01-28,100.22,100.23,100.20,100.20,5568.00,Alphavantage
2014-01-29,100.17,100.17,100.09,100.09,14032.00,Alphavantage
