date,open,high,low,close,volume,comment
2015-04-15,12.82,12.86,12.80,12.85,23949.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-16,12.74,12.74,12.67,12.69,17467.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-17,12.67,12.71,12.46,12.49,14086.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-20,12.47,12.57,12.47,12.55,10347.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-21,12.67,12.67,12.59,12.63,3980.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-22,12.64,12.64,12.40,12.43,8816.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-23,12.44,12.44,12.31,12.39,24333.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-24,12.46,12.49,12.38,12.40,30973.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-27,12.43,12.53,12.29,12.48,5675.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-28,12.42,12.44,12.35,12.35,2507.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-29,12.34,12.34,12.22,12.25,31115.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-30,12.09,12.31,12.09,12.29,12673.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-01,12.24,12.57,12.24,12.55,4187.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-05,12.49,12.52,12.31,12.31,20010.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-06,12.27,12.38,12.27,12.38,8528.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-07,12.24,12.39,12.20,12.32,12768.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-08,12.13,12.30,12.13,12.28,10357.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-11,12.18,12.28,12.09,12.09,5029.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-12,12.14,12.14,11.95,12.08,10796.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-13,12.12,12.17,12.06,12.08,6113.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-14,12.17,12.24,12.14,12.20,15091.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-15,12.33,12.33,12.21,12.25,4624.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-18,12.36,12.36,12.23,12.31,2931.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-19,12.30,12.39,12.30,12.36,2754.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-20,12.34,12.34,12.29,12.30,19718.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-21,12.28,12.28,12.21,12.24,8649.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-22,12.28,12.33,12.26,12.28,43683.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-26,12.15,12.15,12.02,12.02,23005.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-27,12.07,12.21,12.04,12.21,28681.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-28,12.23,12.29,12.20,12.22,30556.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-29,12.34,12.34,12.17,12.17,13991.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-01,12.18,12.21,12.11,12.19,23404.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-02,12.18,12.33,12.16,12.31,12837.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-03,12.35,12.53,12.28,12.52,18012.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-04,12.33,12.41,12.29,12.35,10356.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-05,12.22,12.26,12.08,12.16,4346.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-08,12.08,12.13,12.07,12.13,7132.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-09,12.10,12.14,11.98,12.01,7555.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-10,12.01,12.08,12.01,12.04,18737.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-11,12.14,12.22,12.14,12.14,19647.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-12,12.07,12.07,11.87,11.92,12326.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-15,11.82,11.83,11.76,11.76,9154.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
