date,open,high,low,close,volume,comment
2005-01-04,944.50,951.50,936.00,948.50,5525687.00,Alphavantage
2005-01-05,941.50,950.00,918.00,928.55,10809554.00,Alphavantage
2005-01-06,931.50,932.00,924.00,928.39,6115616.00,Alphavantage
2005-01-07,928.00,940.05,926.28,936.00,5811166.00,Alphavantage
2005-01-10,939.00,939.00,923.83,925.00,5398263.00,Alphavantage
2005-01-11,931.50,931.50,918.00,923.56,3810493.00,Alphavantage
2005-01-12,920.00,929.86,904.77,905.00,7617082.00,Alphavantage
2005-01-13,913.00,938.50,896.79,927.00,14851226.00,Alphavantage
2005-01-14,938.50,956.00,927.30,946.00,6149348.00,Alphavantage
2005-01-17,952.50,960.00,946.00,948.00,3204896.00,Alphavantage
2005-01-18,948.00,948.00,940.00,942.31,3902219.00,Alphavantage
2005-01-19,941.00,953.50,941.00,943.50,4409586.00,Alphavantage
2005-01-20,943.50,950.50,937.50,948.07,1704430.00,Alphavantage
2005-01-21,955.50,963.50,946.00,956.00,3369086.00,Alphavantage
2005-01-24,956.00,964.00,945.53,962.50,3054404.00,Alphavantage
2005-01-25,955.00,975.53,955.00,967.21,5944280.00,Alphavantage
2005-01-26,966.00,979.50,960.00,967.74,5671953.00,Alphavantage
2005-01-27,967.00,973.00,957.00,959.95,2249842.00,Alphavantage
2005-01-28,964.50,974.50,957.00,958.58,3818386.00,Alphavantage
2005-01-31,977.50,978.00,962.50,966.50,2510808.00,Alphavantage
2005-02-01,966.50,976.00,956.25,965.44,6871064.00,Alphavantage
2005-02-02,962.50,971.50,957.21,964.49,3563366.00,Alphavantage
2005-02-03,965.50,974.00,960.00,969.40,3652672.00,Alphavantage
2005-02-04,970.50,971.00,963.57,968.50,3128091.00,Alphavantage
2005-02-07,977.50,981.00,958.05,963.63,3091720.00,Alphavantage
2005-02-08,962.50,967.00,959.00,963.72,6429192.00,Alphavantage
2005-02-09,965.50,980.00,961.00,977.35,5422487.00,Alphavantage
2005-02-10,976.50,995.00,970.00,989.88,4111663.00,Alphavantage
2005-02-11,990.00,997.50,986.30,989.50,2872549.00,Alphavantage
2005-02-14,991.50,993.00,977.00,981.79,3183355.00,Alphavantage
2005-02-15,986.00,986.00,967.00,975.25,9075885.00,Alphavantage
2005-02-16,974.00,974.05,951.00,959.50,6453496.00,Alphavantage
2005-02-17,962.00,972.92,956.55,972.92,4480701.00,Alphavantage
2005-02-18,966.00,972.25,955.00,957.21,13743062.00,Alphavantage
2005-02-21,959.50,974.00,959.50,968.90,6212872.00,Alphavantage
2005-02-22,971.50,972.00,950.64,958.90,5878321.00,Alphavantage
2005-02-23,945.00,959.03,936.00,945.76,12881925.00,Alphavantage
2005-02-24,952.50,960.00,943.00,953.50,11445454.00,Alphavantage
2005-02-25,959.50,989.50,954.00,956.00,4501678.00,Alphavantage
2005-02-28,937.50,964.00,937.50,945.25,5866149.00,Alphavantage
2005-03-01,946.00,949.00,935.00,941.93,5922193.00,Alphavantage
2005-03-02,941.00,950.17,927.00,933.73,7891715.00,Alphavantage
2005-03-03,931.50,953.50,927.02,938.25,4346926.00,Alphavantage
2005-03-04,937.50,937.50,926.50,928.50,7210604.00,Alphavantage
2005-03-07,933.50,941.50,928.00,936.12,3728273.00,Alphavantage
2005-03-08,938.00,939.87,916.81,934.62,5222989.00,Alphavantage
2005-03-09,934.50,934.50,908.50,923.32,8829169.00,Alphavantage
2005-03-10,902.50,929.12,902.50,921.68,6359021.00,Alphavantage
2005-03-11,925.50,931.20,917.50,919.00,5151906.00,Alphavantage
2005-03-14,922.00,923.00,909.50,917.00,5177176.00,Alphavantage
2005-03-15,914.00,925.00,912.50,922.92,7591157.00,Alphavantage
2005-03-16,918.50,923.53,912.00,918.38,3764261.00,Alphavantage
2005-03-17,916.00,918.88,897.00,903.59,12207048.00,Alphavantage
2005-03-18,902.50,908.00,899.00,904.00,5038504.00,Alphavantage
2005-03-21,909.00,927.11,902.85,922.61,9090225.00,Alphavantage
