date,open,high,low,close,volume,comment
2018-11-12,642.12,646.80,633.66,633.66,464217.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-13,635.54,639.28,631.78,636.48,377549.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-14,636.48,639.28,627.10,628.02,396731.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-15,628.02,641.16,628.02,641.16,407902.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-16,637.41,642.12,631.78,638.35,357079.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-19,639.28,642.12,633.66,636.48,362078.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-20,635.54,635.54,624.28,626.15,337043.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-21,630.84,634.59,628.02,632.72,258809.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-22,632.72,632.72,622.40,627.10,213950.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-23,625.18,628.97,623.32,628.97,243334.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-26,630.84,634.59,629.89,634.59,306898.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-27,633.66,639.28,633.66,636.48,472769.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-28,635.54,641.16,633.66,637.41,172405.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-29,637.41,643.97,637.41,643.06,307483.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-30,643.97,646.80,638.35,645.87,387840.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-03,657.13,659.01,654.29,657.13,273482.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-04,654.29,655.28,646.80,650.58,317680.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-05,642.12,643.06,637.41,641.16,401991.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-06,634.59,634.59,613.02,617.72,395389.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-07,620.53,632.72,620.53,624.28,335100.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-10,623.32,625.18,617.72,618.63,481115.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-11,620.53,632.72,620.53,628.97,422354.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-12,627.10,638.35,627.10,635.54,350687.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-13,629.89,635.54,624.28,624.28,364232.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-14,624.28,626.15,615.81,622.40,259565.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-17,620.53,622.40,610.20,612.07,395456.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-18,615.81,615.81,603.62,606.45,277647.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-19,608.32,608.32,604.56,608.32,607435.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-20,595.16,600.81,587.67,598.94,717719.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-21,600.81,600.81,590.46,596.13,1063831.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-24,589.55,589.55,578.28,578.28,177816.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-27,582.02,589.55,579.21,582.98,259063.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-28,589.55,597.99,589.55,597.05,320333.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-31,596.13,597.99,594.24,594.24,74109.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-02,594.24,604.56,587.67,604.56,236296.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-03,602.48,604.37,598.72,599.65,155701.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-04,602.48,609.08,600.59,609.08,193490.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-07,606.28,611.90,605.30,610.04,263243.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-08,606.28,620.42,606.28,613.78,296556.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-09,618.51,626.05,617.59,626.05,331972.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-10,620.42,627.93,618.51,626.05,360112.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-11,621.33,629.82,621.33,624.17,331166.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-14,617.59,621.33,617.59,621.33,350200.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
