date,open,high,low,close,volume,comment
2021-08-09,6.49,6.49,6.49,6.49,0.00,FTFeed
2021-08-10,6.48,6.48,6.48,6.48,0.00,FTFeed
2021-08-11,6.48,6.48,6.48,6.48,0.00,FTFeed
2021-08-12,6.47,6.47,6.47,6.47,0.00,FTFeed
2021-08-13,6.52,6.52,6.52,6.52,0.00,FTFeed
2021-08-16,6.51,6.51,6.51,6.51,0.00,FTFeed
2021-08-17,6.57,6.57,6.57,6.57,0.00,FTFeed
2021-08-18,6.55,6.55,6.55,6.55,0.00,FTFeed
2021-08-19,6.49,6.49,6.49,6.49,0.00,FTFeed
2021-08-20,6.56,6.56,6.56,6.56,0.00,FTFeed
2021-08-23,6.59,6.59,6.59,6.59,0.00,FTFeed
2021-08-24,6.58,6.58,6.58,6.58,0.00,FTFeed
2021-08-25,6.57,6.57,6.57,6.57,0.00,FTFeed
2021-08-26,6.56,6.56,6.56,6.56,0.00,FTFeed
2021-08-27,6.54,6.54,6.54,6.54,0.00,FTFeed
2021-08-31,6.61,6.61,6.61,6.61,0.00,FTFeed
2021-09-01,6.62,6.62,6.62,6.62,0.00,FTFeed
2021-09-02,6.63,6.63,6.63,6.63,0.00,FTFeed
2021-09-03,6.60,6.60,6.60,6.60,0.00,FTFeed
2021-09-06,6.61,6.61,6.61,6.61,0.00,FTFeed
2021-09-07,6.63,6.63,6.63,6.63,0.00,FTFeed
