date,open,high,low,close,volume,comment
2012-12-03,18.95,18.95,18.95,18.95,9.00,Alphavantage
2012-12-07,18.85,18.85,18.85,18.85,10.00,Alphavantage
2012-12-10,18.92,18.92,18.92,18.92,7.00,Alphavantage
2013-01-02,19.31,19.33,19.31,19.31,160.00,Alphavantage
2013-01-11,19.53,19.53,19.53,19.53,8.00,Alphavantage
2013-01-22,19.94,19.94,19.91,19.94,632.00,Alphavantage
2013-01-25,20.23,20.24,20.23,20.23,2962.00,Alphavantage
2013-01-28,20.24,20.25,20.24,20.24,492.00,Alphavantage
2013-01-31,19.97,20.07,19.97,19.97,246.00,Alphavantage
2013-02-05,20.25,20.25,20.25,20.25,8.00,Alphavantage
2013-02-19,20.81,20.81,20.71,20.81,144.00,Alphavantage
2013-02-20,21.09,21.10,21.09,21.09,94.00,Alphavantage
2013-02-21,20.86,20.86,20.85,20.86,390.00,Alphavantage
2013-02-28,21.02,21.05,21.02,21.02,94.00,Alphavantage
2013-03-05,21.50,21.50,21.50,21.50,7.00,Alphavantage
2013-03-14,21.66,21.66,21.66,21.66,22.00,Alphavantage
2013-03-19,21.29,21.29,21.29,21.29,10000.00,Alphavantage
2013-04-05,21.82,21.82,21.67,21.67,5136.00,Alphavantage
2013-04-09,21.95,21.95,21.95,21.95,6.00,Alphavantage
2013-04-10,22.10,22.10,22.05,22.10,88.00,Alphavantage
2013-04-12,22.24,22.25,22.24,22.24,448.00,Alphavantage
2013-04-15,22.24,22.24,22.19,22.24,136.00,Alphavantage
2013-04-16,22.18,22.18,21.98,22.18,528.00,Alphavantage
2013-04-19,22.25,22.25,22.17,22.17,5800.00,Alphavantage
2013-05-03,22.60,22.60,22.60,22.60,8.00,Alphavantage
2013-05-13,22.70,22.70,22.70,22.70,0.00,Alphavantage
2013-05-14,22.84,22.84,22.84,22.84,0.00,Alphavantage
2013-05-15,22.86,22.86,22.86,22.86,0.00,Alphavantage
2013-05-16,22.84,22.84,22.84,22.84,0.00,Alphavantage
2013-05-17,23.09,23.09,23.09,23.09,0.00,Alphavantage
2013-05-20,23.11,23.11,23.11,23.11,0.00,Alphavantage
2013-05-21,23.26,23.29,23.26,23.26,522.00,Alphavantage
2013-05-22,23.35,23.35,23.35,23.35,0.00,Alphavantage
2013-05-23,22.39,22.39,22.39,22.39,0.00,Alphavantage
2013-05-24,22.08,22.08,22.08,22.08,0.00,Alphavantage
2013-05-28,22.45,22.45,22.45,22.45,0.00,Alphavantage
2013-05-29,21.89,21.89,21.88,21.88,10000.00,Alphavantage
2013-05-30,21.46,21.46,21.46,21.46,0.00,Alphavantage
2013-05-31,21.34,21.34,21.34,21.34,0.00,Alphavantage
2013-06-03,21.04,21.04,21.04,21.04,5000.00,Alphavantage
2013-06-04,21.10,21.10,21.10,21.10,0.00,Alphavantage
2013-06-05,20.58,20.58,20.58,20.58,0.00,Alphavantage
2013-06-06,20.30,20.30,20.30,20.30,0.00,Alphavantage
2013-06-07,20.47,20.72,20.46,20.64,21678.00,Alphavantage
2013-06-10,20.54,20.54,20.54,20.54,11.00,Alphavantage
2013-06-11,20.15,20.15,20.15,20.15,0.00,Alphavantage
2013-06-12,19.87,19.87,19.87,19.87,0.00,Alphavantage
2013-06-13,19.75,19.96,19.75,19.89,644.00,Alphavantage
2013-06-14,20.28,20.28,20.28,20.28,10000.00,Alphavantage
2013-06-17,20.34,20.34,20.34,20.34,0.00,Alphavantage
2013-06-18,20.52,20.52,20.52,20.52,0.00,Alphavantage
2013-06-19,20.40,20.40,20.40,20.40,0.00,Alphavantage
2013-06-20,19.59,19.59,19.59,19.59,0.00,Alphavantage
2013-06-21,19.42,19.42,19.42,19.42,1023.00,Alphavantage
2013-06-24,19.12,19.12,19.05,19.05,25500.00,Alphavantage
2013-06-25,19.41,19.41,19.41,19.41,0.00,Alphavantage
2013-06-26,19.82,19.82,19.82,19.82,0.00,Alphavantage
2013-06-27,20.32,20.32,20.32,20.32,0.00,Alphavantage
2013-06-28,20.55,20.55,20.55,20.55,5000.00,Alphavantage
2013-07-01,20.48,20.48,20.48,20.48,5000.00,Alphavantage
2013-07-02,20.68,20.68,20.68,20.68,0.00,Alphavantage
2013-07-03,20.30,20.30,20.30,20.30,0.00,Alphavantage
2013-07-04,20.86,20.86,20.86,20.86,0.00,Alphavantage
2013-07-05,21.01,21.01,20.78,20.78,15318.00,Alphavantage
2013-07-08,21.00,21.00,21.00,21.00,9.00,Alphavantage
2013-07-09,21.21,21.21,21.21,21.21,0.00,Alphavantage
2013-07-10,21.03,21.12,21.03,21.03,576.00,Alphavantage
2013-07-11,21.17,21.17,21.17,21.17,5000.00,Alphavantage
2013-07-12,21.21,21.21,21.21,21.21,0.00,Alphavantage
2013-07-15,21.39,21.39,21.39,21.39,0.00,Alphavantage
2013-07-16,21.33,21.33,21.33,21.33,5000.00,Alphavantage
2013-07-17,21.24,21.24,21.24,21.24,0.00,Alphavantage
2013-07-18,21.31,21.31,21.31,21.31,0.00,Alphavantage
2013-07-19,21.27,21.27,21.27,21.27,0.00,Alphavantage
2013-07-22,21.21,21.21,21.21,21.21,0.00,Alphavantage
2013-07-23,21.18,21.18,21.18,21.18,0.00,Alphavantage
2013-07-24,21.24,21.24,20.96,21.01,20000.00,Alphavantage
2013-07-25,20.86,20.86,20.86,20.86,0.00,Alphavantage
2013-07-26,20.80,20.80,20.80,20.80,0.00,Alphavantage
2013-07-29,20.77,20.77,20.77,20.77,0.00,Alphavantage
2013-07-30,20.92,20.92,20.92,20.92,0.00,Alphavantage
2013-07-31,20.62,20.62,20.62,20.62,0.00,Alphavantage
2013-08-01,20.77,20.77,20.77,20.77,0.00,Alphavantage
2013-08-02,20.62,20.62,20.62,20.62,0.00,Alphavantage
2013-08-05,20.55,20.55,20.55,20.55,0.00,Alphavantage
2013-08-06,20.54,20.54,20.54,20.54,8.00,Alphavantage
2013-08-07,20.18,20.18,20.18,20.18,0.00,Alphavantage
2013-08-08,20.11,20.11,20.11,20.11,0.00,Alphavantage
2013-08-09,20.27,20.27,20.27,20.27,0.00,Alphavantage
2013-08-12,20.26,20.26,20.23,20.23,148.00,Alphavantage
2013-08-13,20.09,20.09,20.09,20.09,0.00,Alphavantage
2013-08-14,20.02,20.12,20.02,20.02,986.00,Alphavantage
2013-08-15,19.73,19.73,19.62,19.62,10122.00,Alphavantage
2013-08-16,19.49,19.49,19.49,19.49,0.00,Alphavantage
2013-08-19,19.16,19.16,19.16,19.16,0.00,Alphavantage
2013-08-20,19.08,19.24,19.08,19.24,13666.00,Alphavantage
2013-08-21,19.09,19.17,19.09,19.09,148.00,Alphavantage
2013-08-22,19.21,19.21,19.21,19.21,0.00,Alphavantage
2013-08-23,19.38,19.38,19.21,19.38,10106.00,Alphavantage
2013-08-27,19.26,19.27,19.26,19.26,15000.00,Alphavantage
2013-08-28,19.27,19.27,19.27,19.27,0.00,Alphavantage
2013-08-29,19.24,19.24,19.24,19.24,0.00,Alphavantage
2013-08-30,19.24,19.24,19.20,19.24,10200.00,Alphavantage
