date,open,high,low,close,volume,comment
2015-04-21,15408.90,15408.90,15408.90,15408.90,13.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-22,15310.90,15310.90,15310.90,15310.90,16.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-16,14855.00,14855.00,14779.10,14779.10,100.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-23,14599.00,14624.10,14599.00,14624.10,342.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-07,14961.90,15111.00,14961.90,15111.00,70.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-10,14692.20,14692.20,14586.10,14586.10,342.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-13,14590.10,14590.10,14590.10,14590.10,2066.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-20,14590.10,14693.10,14590.10,14693.10,2066.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-28,14996.00,14996.00,14996.00,14996.00,50.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-04,15191.00,15206.00,15191.00,15206.00,80.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-07,15251.00,15251.00,15251.00,15251.00,40.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-12,15538.90,15538.90,15538.90,15538.90,160.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-24,15503.90,15503.90,15311.90,15427.90,2129.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-25,15180.00,15180.00,15180.00,15180.00,2066.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-15,15194.20,15194.20,15194.20,15194.20,140.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-16,15182.00,15182.00,15182.00,15182.00,140.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-17,15108.00,15108.00,15108.00,15108.00,30.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-21,14980.90,15146.00,14980.90,15052.00,504.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-24,15118.20,15118.20,15118.20,15118.20,244.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-25,15105.00,15105.00,15105.00,15105.00,244.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-07,15168.90,15168.90,15168.00,15168.00,132.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-09,14928.00,14928.00,14928.00,14928.00,160.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-13,14889.00,14980.90,14889.00,14923.00,226.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-14,14944.90,14987.00,14944.90,14987.00,106.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-05,14701.00,14754.10,14701.00,14754.10,100.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-09,14425.20,14425.20,14425.20,14425.20,150.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-10,14795.30,14795.30,14795.30,14795.30,141.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-11,14697.20,14697.20,14697.10,14697.10,88.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-13,14888.00,14888.00,14888.00,14888.00,12.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
