date,open,high,low,close,volume,comment
2015-04-13,891.97,891.97,861.40,872.13,276310.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-14,881.22,881.22,858.94,866.34,390117.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-15,871.34,897.73,865.54,894.44,482437.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-16,893.62,897.73,878.75,885.35,716050.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-17,882.07,891.15,874.63,874.63,240239.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-20,882.88,887.23,877.09,880.40,288870.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-21,883.71,900.23,881.22,894.44,381534.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-22,893.62,898.58,883.17,895.28,513681.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-23,888.67,904.35,888.67,896.91,473608.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-24,891.97,906.00,891.97,904.35,419852.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-27,901.88,930.27,896.09,917.58,260579.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-28,913.43,915.42,887.01,888.67,495282.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-29,909.31,958.03,896.09,953.91,988061.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-30,959.70,988.58,936.09,982.00,1146420.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-01,982.81,985.19,952.26,954.73,280550.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-05,964.65,969.59,935.73,944.82,814545.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-06,946.46,951.44,933.27,938.20,298291.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
