date,open,high,low,close,volume,comment
2015-11-24,1046.00,1046.00,1043.50,1046.00,958.00,Alphavantage
2015-12-01,1065.00,1065.00,1065.00,1065.00,958.00,Alphavantage
2015-12-24,998.14,998.14,998.14,998.14,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-29,1004.64,1004.64,1004.64,1004.64,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-30,1001.76,1001.76,1001.76,1001.76,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-31,993.14,993.14,993.14,993.14,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-04,958.45,958.45,958.45,958.45,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-05,963.69,963.69,963.69,963.69,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-06,950.96,950.96,950.96,950.96,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-07,933.48,933.48,933.48,933.48,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-08,919.99,919.99,919.99,919.99,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-11,919.49,919.49,919.49,919.49,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-12,1063.41,1063.41,929.48,929.48,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-13,927.61,927.61,927.61,927.61,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-14,914.88,914.88,914.88,914.88,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-15,888.19,888.19,888.19,888.19,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-18,890.18,890.18,890.18,890.18,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-19,903.78,903.78,903.78,903.78,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-20,873.20,873.20,873.20,873.20,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-21,1063.41,1063.41,895.30,895.30,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-22,924.36,924.36,924.36,924.36,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
