date,open,high,low,close,volume,comment
2009-08-25,4896.00,4947.00,4896.00,4947.00,20345.00,Alphavantage
2009-08-26,4927.00,4927.00,4927.00,4927.00,1190.00,Alphavantage
2009-08-27,4921.00,4921.00,4887.00,4887.00,13523.00,Alphavantage
2009-08-28,4921.00,4959.00,4921.00,4959.00,20007.00,Alphavantage
2009-09-01,4913.00,4913.00,4867.00,4867.00,710.00,Alphavantage
2009-09-02,4846.00,4847.00,4806.00,4837.00,5910.00,Alphavantage
2009-09-03,4851.00,4859.00,4851.00,4859.00,40.00,Alphavantage
2009-09-04,4865.00,4881.00,4865.00,4878.00,4086.00,Alphavantage
2009-09-07,4951.00,4953.00,4951.00,4953.00,760.00,Alphavantage
2009-09-08,4992.00,4997.00,4973.00,4974.00,3504.00,Alphavantage
2009-09-09,4969.00,5030.00,4968.00,5027.00,1329.00,Alphavantage
2009-09-10,5058.00,5058.00,5004.00,5009.00,1826.00,Alphavantage
2009-09-11,5052.00,5060.00,5039.00,5060.00,1784.00,Alphavantage
2009-09-14,5004.00,5049.00,4993.00,5045.00,2170.00,Alphavantage
2009-09-15,5036.00,5091.00,5036.00,5087.00,267.00,Alphavantage
2009-09-16,5100.00,5164.00,5100.00,5149.00,3115.00,Alphavantage
2009-09-17,5194.00,5206.00,5178.00,5179.00,1074.00,Alphavantage
2009-09-18,5188.00,5203.00,5183.00,5203.00,248.00,Alphavantage
2009-09-21,5200.00,5200.00,5150.00,5167.00,368.00,Alphavantage
2009-09-22,5199.00,5214.00,5190.00,5190.00,924.00,Alphavantage
2009-09-23,5190.00,5206.00,5167.00,5172.00,897.00,Alphavantage
2009-09-24,5151.00,5197.00,5151.00,5151.00,1046.00,Alphavantage
2009-09-25,5132.00,5145.00,5124.00,5124.00,21759.00,Alphavantage
2009-09-28,5087.00,5160.00,5085.00,5160.00,256.00,Alphavantage
2009-09-29,5185.00,5200.00,5178.00,5191.00,16776.00,Alphavantage
2009-09-30,5198.00,5204.00,5135.00,5164.00,15307.00,Alphavantage
2009-10-01,5180.00,5180.00,5135.00,5135.00,190445.00,Alphavantage
2009-10-02,5047.00,5053.00,4993.00,5019.00,41528.00,Alphavantage
2009-10-05,5021.00,5024.00,5020.00,5024.00,44711.00,Alphavantage
2009-10-06,5095.00,5168.00,5095.00,5168.00,1087.00,Alphavantage
2009-10-07,5178.00,5178.00,5178.00,5178.00,2330.00,Alphavantage
2009-10-08,5190.00,5195.00,5170.00,5192.00,2529.00,Alphavantage
2009-10-09,5201.00,5201.00,5164.00,5194.00,15599.00,Alphavantage
2009-10-12,5246.00,5258.00,5246.00,5246.00,575.00,Alphavantage
2009-10-13,5235.00,5251.00,5197.00,5197.00,6706.00,Alphavantage
2009-10-14,5247.00,5291.00,5247.00,5289.00,13994.00,Alphavantage
2009-10-15,5291.00,5293.00,5258.00,5258.00,53321.00,Alphavantage
2009-10-16,5294.00,5294.00,5225.00,5225.00,2445.00,Alphavantage
2009-10-19,5295.00,5300.00,5292.00,5300.00,1278.00,Alphavantage
2009-10-20,5319.00,5320.00,5290.00,5290.00,3198.00,Alphavantage
2009-10-21,5285.00,5288.00,5285.00,5288.00,31014.00,Alphavantage
2009-10-22,5212.00,5240.00,5203.00,5238.00,3674.00,Alphavantage
2009-10-23,5301.00,5333.00,5301.00,5301.00,11680.00,Alphavantage
2009-10-26,5292.00,5301.00,5203.00,5226.00,11749.00,Alphavantage
2009-10-27,5249.00,5256.00,5218.00,5234.00,67335.00,Alphavantage
2009-10-28,5166.00,5166.00,5107.00,5111.00,2710.00,Alphavantage
2009-10-29,5109.00,5176.00,5103.00,5174.00,26373.00,Alphavantage
2009-10-30,5168.00,5188.00,5087.00,5087.00,84498.00,Alphavantage
2009-11-02,5097.00,5103.00,5081.00,5103.00,4746.00,Alphavantage
2009-11-03,5081.00,5081.00,5027.00,5062.00,31941.00,Alphavantage
2009-11-04,5104.00,5153.00,5104.00,5146.00,41653.00,Alphavantage
2009-11-05,5104.00,5189.00,5104.00,5165.00,4614.00,Alphavantage
2009-11-06,5161.00,5185.00,5132.00,5179.00,57812.00,Alphavantage
2009-11-09,5224.00,5271.00,5224.00,5269.00,5700.00,Alphavantage
2009-11-10,5302.00,5302.00,5267.00,5268.00,10084.00,Alphavantage
2009-11-11,5327.00,5346.00,5311.00,5311.00,62970.00,Alphavantage
2009-11-12,5310.00,5342.00,5308.00,5325.00,81290.00,Alphavantage
2009-11-13,5334.00,5341.00,5308.00,5341.00,62576.00,Alphavantage
2009-11-16,5393.00,5445.00,5393.00,5434.00,74312.00,Alphavantage
2009-11-17,5413.00,5419.00,5400.00,5400.00,6842.00,Alphavantage
2009-11-18,5415.00,5424.00,5405.00,5405.00,4661.00,Alphavantage
2009-11-19,5393.00,5399.00,5328.00,5328.00,3040.00,Alphavantage
2009-11-20,5373.00,5373.00,5291.00,5314.00,5086.00,Alphavantage
2009-11-23,5364.00,5437.00,5364.00,5419.00,30516.00,Alphavantage
2009-11-24,5391.00,5435.00,5389.00,5389.00,19139.00,Alphavantage
2009-11-25,5427.00,5429.00,5392.00,5427.00,13488.00,Alphavantage
2009-11-26,5350.00,5354.00,5249.00,5255.00,54284.00,Alphavantage
2009-11-27,5228.00,5327.00,5226.00,5308.00,62119.00,Alphavantage
2009-11-30,5316.00,5316.00,5257.00,5257.00,2065.00,Alphavantage
2009-12-01,5293.00,5348.00,5293.00,5348.00,8195.00,Alphavantage
2009-12-02,5371.00,5411.00,5350.00,5392.00,32216.00,Alphavantage
2009-12-03,5427.00,5429.00,5385.00,5385.00,39810.00,Alphavantage
2009-12-04,5363.00,5363.00,5358.00,5363.00,38393.00,Alphavantage
2009-12-07,5330.00,5384.00,5330.00,5376.00,13513.00,Alphavantage
2009-12-08,5345.00,5377.00,5286.00,5287.00,24781.00,Alphavantage
2009-12-09,5280.00,5305.00,5251.00,5268.00,42919.00,Alphavantage
2009-12-10,5260.00,5311.00,5260.00,5311.00,43279.00,Alphavantage
2009-12-11,5317.00,5370.00,5317.00,5324.00,45786.00,Alphavantage
2009-12-14,5378.00,5385.00,5370.00,5380.00,13650.00,Alphavantage
2009-12-15,5373.00,5373.00,5332.00,5351.00,17342.00,Alphavantage
2009-12-16,5389.00,5389.00,5351.00,5385.00,10503.00,Alphavantage
2009-12-17,5343.00,5343.00,5295.00,5295.00,32970.00,Alphavantage
2009-12-18,5293.00,5343.00,5283.00,5283.00,69321.00,Alphavantage
2009-12-21,5288.00,5377.00,5288.00,5359.00,101144.00,Alphavantage
2009-12-22,5400.00,5400.00,5400.00,5400.00,12501.00,Alphavantage
2009-12-23,5437.00,5449.00,5421.00,5436.00,5123.00,Alphavantage
2009-12-24,5457.00,5464.00,5457.00,5461.00,219.00,Alphavantage
2009-12-29,5486.00,5508.00,5486.00,5506.00,7862.00,Alphavantage
2009-12-30,5480.00,5482.00,5480.00,5480.00,14353.00,Alphavantage
2009-12-31,5470.00,5470.00,5470.00,5470.00,555.00,Alphavantage
