date,open,high,low,close,volume,comment
2006-06-12,65.51,65.51,35.47,35.47,80.00,Alphavantage
2006-06-13,65.53,65.53,65.53,65.53,14.00,Alphavantage
2006-06-14,65.61,65.61,65.61,65.61,310.00,Alphavantage
2006-06-15,65.30,65.30,65.30,65.30,3.00,Alphavantage
2006-06-19,65.49,65.49,65.49,65.49,230.00,Alphavantage
2006-06-20,65.53,65.53,65.36,65.36,1000.00,Alphavantage
2006-07-13,65.55,65.76,65.55,65.55,397.00,Alphavantage
2006-07-17,66.36,66.36,66.36,66.36,150.00,Alphavantage
2006-07-20,65.63,65.63,65.63,65.63,8.00,Alphavantage
2006-07-26,65.62,65.62,65.62,65.62,15.00,Alphavantage
2006-07-27,65.10,65.10,65.10,65.10,160.00,Alphavantage
2006-07-31,65.13,65.13,65.13,65.13,33.00,Alphavantage
2006-08-01,65.19,65.19,65.10,65.10,198.00,Alphavantage
2006-08-03,65.02,65.02,64.98,64.98,8.00,Alphavantage
2006-08-04,64.45,64.46,64.45,64.45,670.00,Alphavantage
2006-08-07,63.83,63.85,63.83,63.85,168.00,Alphavantage
2006-08-08,63.85,63.87,63.85,63.87,16.00,Alphavantage
2006-08-09,63.80,63.80,63.80,63.80,3000.00,Alphavantage
2006-08-10,64.04,64.04,64.04,64.04,4.00,Alphavantage
2006-08-11,64.32,64.32,64.32,64.32,188.00,Alphavantage
2006-08-15,64.45,64.45,64.45,64.45,4.00,Alphavantage
2006-08-17,64.30,64.33,64.30,64.33,5139.00,Alphavantage
2006-08-18,64.75,64.93,64.75,64.93,1761.00,Alphavantage
2006-08-21,64.36,64.36,64.36,64.36,31.00,Alphavantage
2006-08-30,63.60,63.64,63.60,63.64,9.00,Alphavantage
2006-08-31,63.48,63.48,63.48,63.48,384.00,Alphavantage
2006-09-01,63.58,63.58,63.56,63.56,5001.00,Alphavantage
2006-09-05,63.90,63.96,63.90,63.96,2.00,Alphavantage
2006-09-06,64.32,64.32,64.32,64.32,3500.00,Alphavantage
2006-09-12,64.62,64.62,64.62,64.62,5000.00,Alphavantage
2006-09-21,64.11,64.11,64.11,64.11,5000.00,Alphavantage
2006-10-09,65.06,65.06,65.06,65.06,310.00,Alphavantage
2006-10-18,65.04,65.04,65.04,65.04,1153.00,Alphavantage
2006-10-19,65.04,65.06,65.04,65.06,21.00,Alphavantage
2006-10-20,64.84,64.84,64.84,64.84,46.00,Alphavantage
2006-10-23,65.02,65.02,64.73,65.02,477.00,Alphavantage
2006-10-24,64.94,65.01,64.94,64.94,800.00,Alphavantage
2006-10-25,64.74,64.74,64.74,64.74,5000.00,Alphavantage
2006-10-30,64.10,64.10,64.10,64.10,80.00,Alphavantage
2006-10-31,64.17,64.22,63.98,63.98,183.00,Alphavantage
2006-11-01,63.88,64.13,63.88,64.13,9.00,Alphavantage
2006-11-02,64.14,64.14,64.14,64.14,1000.00,Alphavantage
2006-11-03,64.00,64.00,64.00,64.00,2.00,Alphavantage
2006-11-07,64.10,64.10,64.10,64.10,1.00,Alphavantage
2006-11-08,64.03,64.06,64.03,64.06,357.00,Alphavantage
2006-11-10,63.87,63.87,63.87,63.87,156.00,Alphavantage
2006-11-14,64.18,64.18,64.18,64.18,153.00,Alphavantage
2006-11-15,64.75,64.75,64.75,64.75,14.00,Alphavantage
2006-11-20,64.56,64.56,64.56,64.56,46.00,Alphavantage
2006-11-24,63.51,63.51,63.26,63.26,402.00,Alphavantage
2006-11-29,62.80,62.89,62.80,62.80,10005.00,Alphavantage
2006-11-30,62.60,62.60,62.60,62.60,1000.00,Alphavantage
2006-12-01,62.35,62.40,62.12,62.12,2631.00,Alphavantage
2006-12-04,62.09,62.09,62.09,62.09,23.00,Alphavantage
2006-12-05,62.13,62.14,62.10,62.14,3046.00,Alphavantage
2006-12-06,62.34,62.57,62.30,62.57,20066.00,Alphavantage
2006-12-08,62.66,62.73,62.33,62.36,5477.00,Alphavantage
2006-12-11,62.94,62.94,62.94,62.94,4000.00,Alphavantage
2006-12-13,62.35,62.35,62.35,62.35,1.00,Alphavantage
2006-12-14,62.40,62.51,62.40,62.51,218.00,Alphavantage
2006-12-18,62.91,62.91,62.91,62.91,33.00,Alphavantage
2006-12-19,62.49,62.56,62.49,62.56,161.00,Alphavantage
2006-12-20,62.27,62.30,62.27,62.30,1169.00,Alphavantage
2006-12-21,62.36,62.60,62.36,62.60,3127.00,Alphavantage
2006-12-28,62.65,62.65,62.65,62.65,160.00,Alphavantage
2007-01-02,62.25,62.25,62.25,62.25,347.00,Alphavantage
2007-01-05,63.63,63.63,63.46,63.61,34150.00,Alphavantage
2007-01-09,63.23,63.23,63.23,63.23,9.00,Alphavantage
2007-01-10,63.33,63.33,63.33,63.33,641.00,Alphavantage
2007-01-11,63.33,63.33,63.33,63.33,19.00,Alphavantage
2007-01-12,62.91,62.91,62.80,62.80,161.00,Alphavantage
2007-01-15,62.60,62.60,62.60,62.60,31.00,Alphavantage
2007-01-16,62.47,62.47,62.47,62.47,159.00,Alphavantage
2007-01-17,62.40,62.40,62.35,62.35,161.00,Alphavantage
2007-01-18,62.14,62.37,62.14,62.37,201.00,Alphavantage
2007-01-19,62.21,62.21,62.21,62.21,15.00,Alphavantage
2007-01-23,61.92,61.92,61.77,61.77,12081.00,Alphavantage
2007-01-24,62.41,62.41,62.17,62.41,4002.00,Alphavantage
2007-01-26,62.55,62.55,62.55,62.55,7000.00,Alphavantage
2007-01-29,62.67,62.77,62.67,62.77,124.00,Alphavantage
2007-01-30,62.48,62.57,62.48,62.57,1713.00,Alphavantage
2007-02-01,62.39,62.39,62.39,62.39,1275.00,Alphavantage
2007-02-02,62.41,62.41,62.41,62.41,1.00,Alphavantage
2007-02-06,62.59,62.59,62.58,62.58,40.00,Alphavantage
2007-02-07,62.45,62.45,62.40,62.40,76.00,Alphavantage
2007-02-08,62.85,62.85,62.85,62.85,72.00,Alphavantage
2007-02-09,63.23,63.23,63.14,63.23,37235.00,Alphavantage
2007-02-12,63.10,63.23,63.10,63.23,101.00,Alphavantage
2007-02-14,62.90,62.90,62.90,62.90,160.00,Alphavantage
2007-02-15,62.98,62.98,62.91,62.94,100000.00,Alphavantage
2007-02-16,63.27,63.27,63.27,63.27,88.00,Alphavantage
2007-02-22,63.30,63.30,63.15,63.15,72156.00,Alphavantage
2007-02-23,62.90,62.90,62.90,62.90,25.00,Alphavantage
2007-02-26,63.00,63.00,62.94,62.94,135.00,Alphavantage
2007-02-28,62.29,62.31,62.20,62.29,1572.00,Alphavantage
2007-03-02,63.72,63.72,62.41,62.83,11675.00,Alphavantage
2007-03-05,63.61,63.61,63.60,63.60,6235.00,Alphavantage
2007-03-06,63.34,63.41,63.34,63.41,1000.00,Alphavantage
2007-03-08,63.30,63.39,63.30,63.39,447.00,Alphavantage
2007-03-09,63.22,63.22,63.22,63.22,46.00,Alphavantage
2007-03-12,63.03,63.29,63.03,63.29,532.00,Alphavantage
2007-03-13,63.34,63.34,63.34,63.34,393.00,Alphavantage
2007-03-14,63.61,63.66,63.31,63.31,10093.00,Alphavantage
2007-03-15,63.15,63.24,63.15,63.15,5086.00,Alphavantage
2007-03-20,62.59,62.59,62.59,62.59,18.00,Alphavantage
2007-03-22,62.12,62.24,62.12,62.12,744.00,Alphavantage
2007-03-26,62.42,62.42,62.42,62.42,6.00,Alphavantage
2007-03-29,62.34,62.35,62.34,62.35,1039.00,Alphavantage
2007-03-30,62.39,62.39,62.22,62.22,4064.00,Alphavantage
2007-04-02,62.07,62.18,62.00,62.00,1468.00,Alphavantage
2007-04-10,62.13,62.13,61.67,61.94,1021.00,Alphavantage
2007-04-11,61.90,61.90,61.90,61.90,600.00,Alphavantage
2007-04-12,62.04,62.04,61.91,61.91,100.00,Alphavantage
2007-04-13,61.60,61.65,61.56,61.65,5811.00,Alphavantage
2007-04-16,61.45,61.45,61.40,61.40,2.00,Alphavantage
2007-04-17,61.35,61.44,61.02,61.10,6145.00,Alphavantage
2007-04-18,61.17,61.18,60.94,61.18,2871.00,Alphavantage
2007-04-19,61.27,61.33,61.27,61.33,619.00,Alphavantage
2007-04-20,61.21,61.23,61.21,61.23,60.00,Alphavantage
2007-04-23,61.76,61.76,61.33,61.33,161.00,Alphavantage
2007-04-24,61.37,61.37,61.37,61.37,11.00,Alphavantage
2007-04-26,61.41,61.68,61.41,61.68,411.00,Alphavantage
2007-04-27,61.48,61.78,61.31,61.48,2289.00,Alphavantage
2007-04-30,61.56,62.56,61.56,62.56,180.00,Alphavantage
2007-05-01,61.47,61.47,61.31,61.31,401.00,Alphavantage
2007-05-02,61.56,61.56,61.53,61.53,510.00,Alphavantage
2007-05-03,61.62,61.76,61.62,61.76,153.00,Alphavantage
2007-05-04,61.86,61.86,61.76,61.76,89.00,Alphavantage
2007-05-08,61.71,61.71,61.60,61.71,13486.00,Alphavantage
2007-05-09,61.63,61.63,61.52,61.52,3385.00,Alphavantage
2007-05-11,60.92,62.12,60.92,62.12,433.00,Alphavantage
2007-05-14,61.87,62.03,61.87,62.03,853.00,Alphavantage
2007-05-16,61.88,61.88,61.88,61.88,200.00,Alphavantage
2007-05-18,62.16,62.31,62.16,62.26,1376.00,Alphavantage
2007-05-21,62.28,62.28,62.21,62.28,40160.00,Alphavantage
2007-05-22,62.26,62.28,62.19,62.21,2457.00,Alphavantage
2007-05-23,62.08,62.08,62.08,62.08,100.00,Alphavantage
2007-05-25,61.86,61.86,61.86,61.86,266.00,Alphavantage
2007-05-30,62.15,62.19,62.11,62.15,155707.00,Alphavantage
2007-05-31,62.10,62.20,62.00,62.00,1048.00,Alphavantage
2007-06-04,61.86,61.86,61.86,61.86,7.00,Alphavantage
2007-06-05,61.47,61.47,61.47,61.47,156.00,Alphavantage
2007-06-06,61.55,61.55,61.55,61.55,250.00,Alphavantage
2007-06-08,62.30,62.45,62.27,62.36,43115.00,Alphavantage
2007-06-11,62.37,62.37,62.37,62.37,63.00,Alphavantage
2007-06-13,62.23,62.23,62.09,62.09,49.00,Alphavantage
2007-06-14,62.26,62.26,62.22,62.22,15400.00,Alphavantage
2007-06-15,62.20,62.20,62.18,62.18,328.00,Alphavantage
2007-06-20,61.78,61.78,61.78,61.78,195.00,Alphavantage
2007-06-21,61.70,61.76,61.70,61.76,30.00,Alphavantage
2007-06-22,61.50,61.50,61.50,61.50,48.00,Alphavantage
2007-06-25,61.50,61.50,61.50,61.50,49.00,Alphavantage
2007-06-27,61.77,61.78,61.77,61.78,18500.00,Alphavantage
2007-06-28,61.59,61.74,61.59,61.59,6762.00,Alphavantage
2007-06-29,61.47,61.48,61.42,61.47,12563.00,Alphavantage
2007-07-03,61.18,61.18,61.18,61.18,58.00,Alphavantage
2007-07-04,61.15,61.18,61.15,61.18,99.00,Alphavantage
