date,open,high,low,close,volume,comment
2015-04-15,1025.48,1035.27,1024.79,1029.48,175380.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-16,1026.18,1027.88,1010.53,1014.32,107465.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-17,1013.63,1020.17,976.63,994.15,311528.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-20,995.22,1005.23,990.14,1005.23,55091.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-21,1007.34,1007.73,991.87,999.26,49387.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-22,1003.83,1003.83,991.37,994.36,79590.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-23,991.47,998.26,980.90,993.97,9433190.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-24,1003.22,1011.12,994.26,1004.08,4997917.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-27,1002.25,1018.90,992.43,1018.90,139557.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-28,1017.81,1021.39,1006.53,1007.83,119145.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-29,1008.83,1011.13,994.36,995.02,283425.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-30,984.69,1002.93,981.32,1002.93,5970.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-01,999.93,1020.89,996.16,1020.89,23240.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-05,1014.94,1020.87,994.56,994.56,191542.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-06,996.68,1010.53,993.47,1007.33,269403.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-07,1004.77,1007.33,998.79,1003.33,286492.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-08,995.06,1012.12,992.58,1011.89,79289.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-11,1008.73,1008.84,997.04,997.04,113335.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-12,993.13,997.14,986.05,990.17,146447.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-13,992.27,1006.83,992.27,1000.97,197728.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-14,1001.98,1013.23,996.66,1012.73,185179.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-15,1019.60,1021.29,1012.23,1015.12,229001.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-18,1018.64,1025.35,1013.33,1014.82,302349.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-19,1015.69,1030.77,1015.69,1030.08,393134.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-20,1026.58,1028.38,1022.19,1026.88,480935.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-21,1028.28,1028.28,995.41,1020.31,93246.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-22,1022.62,1029.78,1022.59,1023.09,54690.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-26,998.21,1009.73,992.56,998.24,128966.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-27,1007.33,1026.09,1005.94,1026.09,44179.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-28,1021.65,1030.08,1014.15,1023.55,43154.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-29,1029.71,1035.07,1025.74,1027.28,35438.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-01,1024.90,1025.23,1014.92,1019.80,55753.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-02,1023.08,1038.48,1016.12,1034.37,136368.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-03,1038.71,1054.44,1035.07,1048.56,262530.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-04,1044.86,1046.96,1036.57,1038.57,209762.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-05,1028.32,1033.07,1006.71,1008.43,609182.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-08,1009.13,1011.53,1005.43,1005.43,85487.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-09,1006.53,1014.23,996.36,1003.23,45443.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-10,999.73,1020.48,997.44,1017.51,119090.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-11,1019.00,1028.28,1011.33,1017.11,96003.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-12,1012.63,1019.40,995.06,1003.23,189086.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-15,986.69,989.17,955.80,977.81,57863.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-16,966.42,975.10,943.10,974.71,132673.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-17,974.91,979.11,963.14,963.14,184362.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-18,959.35,976.41,947.63,976.41,263498.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-19,969.42,982.40,966.52,980.93,264172.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-22,1007.89,1028.08,1004.93,1028.08,389387.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-23,1034.57,1034.57,1016.32,1018.21,197623.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-24,1016.62,1020.30,1005.43,1013.83,136650.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-25,1008.83,1029.78,1008.83,1023.69,26058.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-26,1016.62,1028.28,1014.81,1024.98,52105.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-29,966.02,997.84,960.88,972.51,115066.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-30,970.89,987.88,967.02,967.02,61436.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-01,971.81,997.14,971.31,987.68,217419.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-02,986.69,993.17,977.94,978.41,187356.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-03,974.71,980.11,965.85,975.41,12394.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-06,942.97,953.39,913.62,931.50,25243.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-07,932.29,940.29,903.37,904.57,388146.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-08,918.76,944.08,912.75,944.08,172643.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-09,941.37,973.61,941.37,969.12,221467.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-10,996.08,1004.42,989.47,1002.98,132670.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-13,1008.91,1010.33,996.26,996.26,4417098.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-14,997.34,997.34,986.19,991.04,170663.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-15,989.45,997.64,988.57,996.66,23090.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-16,997.24,1009.83,997.24,1004.91,883384.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-17,1001.43,1008.23,1001.23,1002.03,60397.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-20,1014.23,1022.69,1014.23,1016.37,105600.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-21,1014.34,1019.70,1011.27,1013.03,16337.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-22,1008.83,1010.35,1001.73,1005.13,69643.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-23,1010.13,1016.81,1010.13,1015.92,38116.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-24,1014.62,1021.59,1009.58,1009.58,57096.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-27,1010.23,1011.23,987.19,1000.47,754881.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-28,990.87,1003.13,990.87,1003.13,126384.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-29,1009.78,1009.78,987.29,996.11,283521.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-30,998.13,998.13,988.57,990.17,7147.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-31,997.34,1010.15,997.34,1010.13,59673.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-03,1002.24,1013.13,1002.24,1011.73,22113.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-04,1004.23,1004.23,997.64,1001.53,6880.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-05,999.93,1011.13,999.43,1011.13,12364.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-06,1011.38,1022.79,1009.33,1015.42,187381.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-07,1008.53,1021.49,1008.53,1018.60,153151.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-10,1026.48,1028.95,1019.40,1028.83,655577.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-11,1026.18,1029.80,1021.39,1023.19,161448.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-12,1004.44,1008.73,996.26,1001.83,2213492.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-13,1009.63,1016.62,1006.23,1013.93,70006.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-14,1016.17,1019.44,1001.83,1004.53,392864.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
