date,open,high,low,close,volume,comment
2006-12-15,68.87,68.87,68.87,68.87,29.00,Alphavantage
2006-12-21,68.01,68.01,68.00,68.00,12294.00,Alphavantage
2006-12-27,68.03,68.03,68.03,68.03,2029.00,Alphavantage
2007-01-08,68.55,68.55,68.55,68.55,3000.00,Alphavantage
2007-01-23,66.46,66.46,66.46,66.46,160.00,Alphavantage
2007-02-12,68.02,68.02,67.74,67.74,168.00,Alphavantage
2007-02-15,67.69,67.69,67.69,67.69,4000.00,Alphavantage
2007-02-21,68.12,68.45,68.12,68.45,148.00,Alphavantage
2007-02-28,69.03,69.03,69.03,69.03,6650.00,Alphavantage
2007-03-02,69.23,69.23,69.23,69.23,5000.00,Alphavantage
2007-03-16,69.73,69.73,69.73,69.73,8000.00,Alphavantage
2007-03-28,69.49,69.49,69.45,69.45,104.00,Alphavantage
2007-03-30,69.48,69.48,69.48,69.48,150.00,Alphavantage
2007-04-19,67.71,67.83,67.71,67.83,15257.00,Alphavantage
2007-04-25,67.90,67.90,67.90,67.90,28000.00,Alphavantage
2007-04-26,68.03,68.45,68.03,68.45,2580.00,Alphavantage
2007-05-04,68.51,68.51,68.51,68.51,3000.00,Alphavantage
2007-05-16,68.08,68.08,68.08,68.08,14.00,Alphavantage
2007-05-17,68.45,68.45,68.45,68.45,730.00,Alphavantage
2007-05-21,68.38,68.38,68.38,68.38,981.00,Alphavantage
2007-05-22,68.09,68.09,68.09,68.09,150.00,Alphavantage
2007-06-01,68.05,68.05,68.05,68.05,15000.00,Alphavantage
2007-06-15,67.27,67.27,67.27,67.27,74.00,Alphavantage
2007-06-20,67.14,67.14,66.83,66.83,10347.00,Alphavantage
2007-06-21,66.93,66.93,66.83,66.93,7694.00,Alphavantage
2007-06-29,66.86,66.86,66.86,66.86,15000.00,Alphavantage
2007-07-10,66.52,66.52,66.52,66.52,66000.00,Alphavantage
2007-07-13,65.82,65.86,65.82,65.86,545.00,Alphavantage
2007-08-03,67.38,67.38,67.38,67.38,262.00,Alphavantage
2007-08-09,67.17,67.17,67.17,67.17,720.00,Alphavantage
2007-08-10,67.45,67.45,67.45,67.45,921.00,Alphavantage
2007-08-23,68.74,68.74,68.74,68.74,975.00,Alphavantage
2007-09-05,69.06,69.06,69.06,69.06,4000.00,Alphavantage
2007-10-09,68.37,68.37,68.35,68.35,9700.00,Alphavantage
2007-10-11,68.08,68.36,68.08,68.36,815.00,Alphavantage
2007-10-18,68.90,68.90,68.90,68.90,2190.00,Alphavantage
2007-11-01,68.30,68.30,68.30,68.30,300.00,Alphavantage
2007-11-07,68.83,68.83,68.83,68.83,180.00,Alphavantage
2007-11-12,69.96,69.96,69.96,69.96,35000.00,Alphavantage
2007-11-13,70.22,70.22,70.22,70.22,1.00,Alphavantage
2007-11-21,71.60,71.60,71.60,71.60,99.00,Alphavantage
2007-12-03,71.60,71.60,71.60,71.60,40000.00,Alphavantage
2007-12-05,72.48,72.48,72.48,72.48,1145.00,Alphavantage
2007-12-17,72.08,72.08,72.05,72.08,1393.00,Alphavantage
2007-12-18,72.32,72.32,72.32,72.32,248.00,Alphavantage
2007-12-19,73.18,73.18,73.18,73.18,248.00,Alphavantage
2007-12-21,73.70,73.70,73.70,73.70,310.00,Alphavantage
2007-12-27,73.33,73.33,73.33,73.33,10000.00,Alphavantage
2007-12-28,73.11,73.11,73.11,73.11,13.00,Alphavantage
2008-01-03,75.09,75.11,75.09,75.11,13.00,Alphavantage
2008-01-04,75.58,75.78,75.58,75.78,31.00,Alphavantage
2008-01-07,75.72,75.72,75.56,75.67,5160.00,Alphavantage
2008-01-08,75.09,75.39,75.09,75.39,2770.00,Alphavantage
2008-01-09,76.36,76.36,76.36,76.36,196.00,Alphavantage
2008-01-10,76.39,76.39,76.39,76.39,250.00,Alphavantage
2008-01-11,76.35,76.35,76.35,76.35,32.00,Alphavantage
2008-01-14,76.53,76.53,76.53,76.53,110.00,Alphavantage
2008-01-15,77.01,77.01,77.01,77.01,2040.00,Alphavantage
2008-01-16,77.20,77.20,77.20,77.20,247.00,Alphavantage
2008-01-17,76.66,76.66,76.53,76.53,109.00,Alphavantage
2008-01-18,77.04,77.04,77.04,77.04,500.00,Alphavantage
2008-01-22,79.51,79.51,78.50,78.50,3903.00,Alphavantage
2008-01-23,79.16,79.30,79.14,79.20,344.00,Alphavantage
2008-01-24,77.18,77.84,77.18,77.18,4432.00,Alphavantage
2008-01-25,76.34,76.34,76.03,76.03,160.00,Alphavantage
2008-01-28,77.26,77.26,77.26,77.26,45.00,Alphavantage
2008-02-01,76.86,76.86,76.86,76.86,645.00,Alphavantage
2008-02-04,77.50,77.50,77.50,77.50,91.00,Alphavantage
2008-02-05,77.50,77.50,77.50,77.50,128.00,Alphavantage
2008-02-06,78.18,78.18,78.18,78.18,12.00,Alphavantage
2008-02-07,77.95,78.25,77.89,78.11,2102.00,Alphavantage
