date,open,high,low,close,volume,comment
2005-11-07,991.00,997.75,991.00,992.00,105349.00,Alphavantage
2005-11-08,999.00,1000.75,994.75,996.00,276860.00,Alphavantage
2005-11-09,994.00,996.00,992.75,993.00,383364.00,Alphavantage
2005-11-10,994.00,999.00,992.88,997.88,345694.00,Alphavantage
2005-11-11,1000.00,1000.75,996.25,998.88,572972.00,Alphavantage
2005-11-14,999.00,1002.00,997.00,997.00,321038.00,Alphavantage
2005-11-15,997.00,1004.00,996.99,1004.00,118238.00,Alphavantage
2005-11-16,1003.00,1003.00,992.99,998.00,247866.00,Alphavantage
2005-11-17,1003.00,1005.99,1001.00,1002.00,116234.00,Alphavantage
2005-11-18,1010.00,1013.00,1008.00,1009.99,195161.00,Alphavantage
2005-11-21,1014.00,1016.90,1013.99,1014.99,84131.00,Alphavantage
2005-11-22,1017.00,1020.99,1013.99,1018.00,372350.00,Alphavantage
2005-11-23,1021.00,1027.00,1021.00,1026.00,85534.00,Alphavantage
2005-11-24,1024.00,1024.00,1018.99,1020.99,118360.00,Alphavantage
2005-11-25,1021.00,1024.99,1018.99,1018.99,60828.00,Alphavantage
2005-11-28,1023.00,1029.00,1018.00,1018.99,92980.00,Alphavantage
2005-11-29,1020.00,1049.99,1017.99,1027.00,395121.00,Alphavantage
2005-11-30,1026.00,1031.99,1024.99,1026.00,457635.00,Alphavantage
2005-12-01,1033.00,1033.99,1026.01,1033.99,105107.00,Alphavantage
2005-12-02,1037.00,1040.99,1034.99,1039.99,65686.00,Alphavantage
2005-12-05,1040.00,1042.99,1036.99,1038.00,103659.00,Alphavantage
2005-12-06,1038.00,1043.00,1035.99,1043.00,293280.00,Alphavantage
2005-12-07,1043.00,1046.99,1040.99,1043.01,188164.00,Alphavantage
2005-12-08,1043.00,1046.00,1038.99,1046.00,405246.00,Alphavantage
2005-12-09,1044.00,1048.99,1043.01,1044.00,129643.00,Alphavantage
2005-12-12,1051.00,1051.00,1047.99,1048.99,105360.00,Alphavantage
2005-12-13,1053.00,1055.00,1050.99,1055.00,415776.00,Alphavantage
2005-12-14,1055.00,1056.00,1050.00,1052.00,361518.00,Alphavantage
2005-12-15,1053.00,1053.00,1049.99,1049.99,62454.00,Alphavantage
2005-12-16,1054.00,1059.00,1052.99,1057.00,106062.00,Alphavantage
2005-12-19,1054.00,1056.99,1051.99,1052.99,124066.00,Alphavantage
2005-12-20,1052.00,1055.99,1051.99,1055.99,69849.00,Alphavantage
2005-12-21,1057.00,1061.99,1055.01,1060.99,177288.00,Alphavantage
2005-12-22,1059.00,1068.99,1059.00,1064.99,50127.00,Alphavantage
2005-12-23,1067.99,1067.99,1065.01,1066.99,11522.00,Alphavantage
2005-12-28,1073.00,1083.99,1071.00,1074.99,194784.00,Alphavantage
2005-12-29,1074.00,1079.00,1073.99,1079.00,48655.00,Alphavantage
2005-12-30,1074.00,1078.99,1072.99,1075.99,145727.00,Alphavantage
2006-01-03,1081.00,1082.99,1078.99,1082.00,471179.00,Alphavantage
2006-01-04,1082.00,1090.99,1080.01,1086.99,54943.00,Alphavantage
2006-01-05,1084.00,1090.99,1075.01,1078.99,107240.00,Alphavantage
2006-01-06,1078.00,1081.99,1075.99,1077.00,74499.00,Alphavantage
2006-01-09,1080.00,1082.99,1073.01,1074.00,274892.00,Alphavantage
2006-01-10,1075.00,1078.99,1070.01,1074.00,188927.00,Alphavantage
2006-01-11,1080.00,1085.00,1077.99,1078.99,81923.00,Alphavantage
2006-01-12,1087.00,1091.99,1083.01,1087.00,85597.00,Alphavantage
2006-01-13,1082.00,1082.00,1074.99,1077.00,285575.00,Alphavantage
2006-01-16,1077.00,1081.99,1074.00,1079.00,82787.00,Alphavantage
2006-01-17,1075.00,1076.00,1071.00,1072.00,79801.00,Alphavantage
2006-01-18,1061.00,1069.99,1055.01,1068.99,54147.00,Alphavantage
2006-01-19,1075.00,1078.99,1072.00,1077.99,73319.00,Alphavantage
2006-01-20,1080.00,1086.99,1074.00,1074.00,278298.00,Alphavantage
2006-01-23,1066.00,1072.00,1064.00,1069.99,75199.00,Alphavantage
2006-01-24,1071.00,1076.99,1067.01,1071.99,25573.00,Alphavantage
2006-01-25,1072.00,1081.99,1072.00,1081.99,47770.00,Alphavantage
2006-01-26,1086.00,1090.99,1083.00,1086.00,86804.00,Alphavantage
2006-01-27,1090.01,1093.99,1090.01,1092.99,31115.00,Alphavantage
2006-01-30,1094.00,1097.99,1091.01,1096.99,40178.00,Alphavantage
2006-01-31,1093.00,1101.99,1091.01,1096.00,88962.00,Alphavantage
2006-02-01,1095.00,1103.99,1092.99,1103.99,55935.00,Alphavantage
2006-02-02,1108.00,1109.99,1103.01,1104.00,82299.00,Alphavantage
2006-02-03,1105.00,1107.99,1102.50,1107.00,437743.00,Alphavantage
2006-02-06,1109.00,1110.99,1106.01,1110.99,89590.00,Alphavantage
2006-02-07,1108.00,1114.99,1103.99,1106.99,74912.00,Alphavantage
2006-02-08,1102.00,1113.00,1099.99,1111.99,58666.00,Alphavantage
2006-02-09,1115.00,1119.99,1111.99,1117.99,76524.00,Alphavantage
2006-02-10,1117.00,1122.00,1116.99,1120.00,57299.00,Alphavantage
2006-02-13,1121.00,1123.00,1119.01,1122.99,93151.00,Alphavantage
2006-02-14,1124.00,1127.99,1118.00,1120.99,55797.00,Alphavantage
2006-02-15,1121.00,1122.99,1113.01,1120.99,59555.00,Alphavantage
2006-02-16,1120.00,1124.99,1119.00,1124.99,85120.00,Alphavantage
2006-02-17,1126.00,1129.99,1123.99,1128.99,68223.00,Alphavantage
2006-02-20,1128.00,1130.99,1128.00,1130.99,45128.00,Alphavantage
2006-02-21,1134.00,1136.99,1129.01,1133.99,90251.00,Alphavantage
2006-02-22,1125.00,1131.00,1121.01,1131.00,712958.00,Alphavantage
2006-02-23,1129.00,1132.99,1126.00,1126.00,147534.00,Alphavantage
2006-02-24,1130.00,1131.99,1126.99,1131.00,79250.00,Alphavantage
2006-02-27,1131.00,1135.00,1130.01,1135.00,96115.00,Alphavantage
