date,open,high,low,close,volume,comment
2015-04-13,282.33,284.69,282.33,283.71,34880.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-14,285.13,286.93,282.25,284.19,28815.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-15,285.13,285.13,281.85,284.19,71924.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-16,284.01,285.28,282.44,285.13,71084.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-17,281.86,283.26,278.78,279.05,46508.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-20,281.39,282.59,276.72,276.72,43632.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-21,279.70,281.21,277.88,277.88,26258.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-22,278.14,280.46,277.66,277.66,39512.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-23,278.03,279.89,276.72,277.19,17571.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-24,279.07,279.07,275.80,275.80,51558.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-27,279.99,280.84,273.94,273.94,65775.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-28,275.80,278.58,273.47,275.32,50056.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-29,274.56,274.56,270.70,271.15,170657.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-30,270.21,270.21,263.69,264.84,218424.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-01,263.69,269.27,263.69,269.27,31810.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-05,268.04,270.21,265.55,267.40,251935.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-06,266.27,266.60,264.05,266.01,24939.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-07,264.52,266.38,262.04,262.29,53188.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-08,265.37,265.37,262.76,263.69,39628.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-11,265.08,266.53,262.07,264.15,71023.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-12,265.08,265.08,260.41,262.76,83567.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-13,264.61,264.84,260.41,264.84,214143.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-14,260.24,262.27,260.20,261.82,39680.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-15,260.01,264.37,260.01,262.76,15180.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-18,262.36,264.61,262.36,264.61,60950.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-19,264.56,266.68,263.69,264.44,553101.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-20,267.40,267.40,264.58,267.40,173838.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-21,266.01,268.07,264.84,267.40,13301.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-22,267.40,268.34,265.55,267.40,131725.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-26,270.21,270.21,264.61,264.61,37478.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-27,266.95,268.82,266.01,268.82,13653.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-28,270.17,270.17,266.01,266.01,30670.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-29,265.55,269.44,265.55,266.26,369217.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-01,270.48,270.48,268.82,268.82,22865.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-02,271.15,271.15,266.70,269.51,140057.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-03,270.91,272.36,268.59,271.36,190723.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-04,268.58,270.75,267.19,267.64,13962.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-05,271.84,271.84,267.42,270.66,48783.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-08,269.51,270.21,268.31,269.27,238744.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-09,268.13,268.13,265.55,267.19,27775.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-10,269.74,270.66,266.91,270.66,95436.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-11,272.49,272.49,266.48,267.19,19755.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-12,268.60,268.82,266.18,267.40,18615.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-15,268.82,268.82,263.44,263.44,40292.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-16,265.55,265.55,260.20,263.69,39753.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-17,260.35,262.74,260.22,262.52,35556.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-18,261.15,263.10,260.20,262.76,33704.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-19,261.82,267.39,261.82,263.21,45421.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-22,267.98,268.34,266.29,268.34,21697.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-23,268.36,272.07,267.40,267.40,44604.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-24,268.34,270.91,266.48,270.91,37183.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-25,268.34,271.36,268.34,271.36,8844.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-26,270.86,271.81,268.34,268.58,12262.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-29,263.69,265.55,261.24,264.61,57203.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-30,266.11,267.19,264.80,265.55,80932.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-01,270.21,272.97,267.40,270.21,44064.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-02,270.00,272.99,270.00,272.99,19547.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-03,272.96,272.97,270.21,270.66,31497.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-06,266.48,271.68,266.48,270.21,47943.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-07,271.59,272.80,268.34,268.82,73089.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-08,265.55,268.34,264.17,266.01,102638.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-09,266.71,270.17,266.71,268.34,17902.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-10,268.31,269.57,268.03,268.10,28287.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-13,269.86,271.84,268.10,268.10,18744.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-14,272.07,272.54,268.10,269.27,14415.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-15,269.63,273.94,269.63,273.94,21057.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-16,273.94,277.88,272.09,277.43,79280.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-17,273.14,279.05,273.11,278.82,62026.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-20,276.26,280.46,276.26,279.05,568330.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-21,277.95,283.43,277.95,281.39,129274.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-22,280.46,280.46,276.94,278.36,89778.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-23,282.33,284.19,279.82,282.78,34421.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-24,282.78,283.26,279.14,281.30,21989.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-27,279.04,280.02,276.02,276.02,58325.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-28,279.51,279.51,274.87,276.72,44867.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-29,275.99,278.96,275.43,276.72,6992.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-30,276.87,276.87,275.09,276.72,30397.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-31,275.84,276.64,274.15,274.15,17354.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
