date,open,high,low,close,volume,comment
2015-04-15,60.45,61.00,60.45,60.73,716174.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-16,60.86,61.04,60.27,60.45,322596.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-17,60.27,60.73,58.95,59.04,930190.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-20,59.27,59.27,58.91,59.13,537493.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-21,59.54,59.54,58.50,58.59,611875.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-22,58.82,58.82,58.31,58.36,389388.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-23,58.31,58.81,58.31,58.45,899779.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-24,58.72,58.77,58.31,58.41,451539.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-27,58.95,58.95,58.31,58.77,773746.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-28,58.31,58.55,57.63,58.04,925837.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-29,57.68,58.04,56.90,56.95,578320.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-30,57.36,57.36,56.54,56.54,682209.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-01,57.18,57.18,56.45,56.63,448354.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-05,56.90,56.90,56.29,56.40,563694.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-06,56.36,56.64,56.27,56.31,901521.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-07,56.40,56.67,55.72,55.90,498409.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-08,56.27,56.72,55.90,56.72,1510078.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-11,56.08,56.72,56.04,56.31,851498.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-12,56.22,56.22,55.26,55.63,3309906.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-13,55.63,55.81,55.36,55.81,1095555.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-14,55.64,55.81,55.36,55.72,823269.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-15,55.50,55.90,55.50,55.90,390985.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-18,55.99,55.99,55.47,55.77,560437.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-19,55.59,56.17,55.59,55.90,1131311.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-20,56.17,56.17,55.95,56.08,317998.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-21,55.81,56.17,55.54,55.81,395831.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-22,56.17,56.45,55.90,56.40,135108.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-26,56.34,56.45,55.90,55.95,509430.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-27,55.88,56.40,55.85,56.17,1035144.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-28,55.81,55.90,55.45,55.86,226471.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-29,55.84,55.95,55.36,55.81,486200.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-01,55.54,55.90,55.31,55.31,177717.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-02,55.77,55.77,54.94,55.31,795358.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-03,55.40,55.40,54.90,54.99,762070.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-04,54.94,55.17,53.94,53.94,664583.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-05,53.99,54.17,53.68,54.17,1145364.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-08,53.69,54.17,53.63,53.76,1195337.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-09,53.67,54.17,53.67,53.81,213667.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-10,53.63,54.17,53.60,53.94,333905.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-11,53.81,54.09,53.58,53.90,121578.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-12,53.59,53.90,53.26,53.35,476049.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-15,53.05,53.28,52.69,52.90,736352.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-16,52.31,52.90,52.31,52.81,362121.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-17,52.65,52.81,52.39,52.71,547439.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-18,52.63,53.08,52.44,53.04,373451.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-19,53.17,53.54,52.81,53.26,2280179.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-22,53.44,53.70,53.04,53.58,369825.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-23,53.72,53.90,53.35,53.81,476644.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-24,53.75,54.17,53.44,53.72,365062.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-25,53.94,54.17,53.80,54.08,786334.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-26,53.67,53.67,53.26,53.44,410722.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-29,52.44,53.13,52.35,52.99,578556.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-30,53.17,53.63,52.93,53.44,564492.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-01,53.08,53.99,53.08,53.99,532557.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-02,53.35,54.17,53.35,54.17,582048.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-03,53.96,54.14,53.72,53.81,107270.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-06,53.42,53.81,53.08,53.81,624308.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-07,53.54,54.13,53.35,53.90,1527829.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-08,54.08,54.08,53.26,53.94,472669.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-09,53.55,54.31,53.55,54.31,350866.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-10,54.63,54.82,54.49,54.76,384389.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-13,55.25,55.25,54.17,54.54,789111.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-14,54.72,54.72,54.08,54.35,3835805.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-15,54.08,54.60,54.08,54.58,2231486.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-16,54.40,54.63,54.35,54.63,393044.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-17,54.30,55.04,54.26,54.99,431331.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-20,54.99,55.17,54.71,55.08,1083674.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-21,54.87,55.17,54.76,54.81,319986.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-22,54.63,54.63,54.22,54.22,269029.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-23,53.86,54.32,53.81,53.85,175504.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-24,53.86,54.08,53.08,53.13,642080.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-27,52.63,52.80,52.08,52.21,246587.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-28,52.12,52.44,51.90,51.90,437262.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-29,52.44,52.67,52.26,52.31,1426008.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-30,52.35,52.71,51.90,51.90,392881.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-31,52.07,52.50,52.07,52.44,813970.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-03,52.20,52.58,52.08,52.58,174685.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-04,52.58,52.63,52.13,52.53,220233.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-05,52.63,53.08,52.35,52.99,256892.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-06,52.99,52.99,52.35,52.63,425083.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-07,52.84,52.90,52.36,52.49,199452.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-10,52.45,52.89,52.44,52.85,232913.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-11,52.44,52.71,51.90,51.99,585745.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-12,51.53,51.72,50.67,50.89,1601215.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-13,50.99,51.35,50.94,51.12,425523.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-14,50.80,51.26,50.76,50.80,1104169.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-17,50.99,50.99,50.53,50.53,474042.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-18,50.53,50.68,49.66,49.98,1002451.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-19,49.71,50.03,49.16,49.30,665330.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-20,49.35,49.35,48.44,48.80,714667.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-21,47.53,48.25,47.44,47.48,578114.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-24,46.25,46.74,44.25,44.98,1613343.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-25,44.60,47.34,44.35,47.30,1058119.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-26,46.73,47.12,45.82,46.75,543977.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-27,47.66,48.57,47.66,48.53,1778093.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-28,48.44,48.76,48.03,48.53,296048.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-01,47.88,48.16,47.40,47.66,855902.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-02,47.12,47.71,47.12,47.43,340982.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-03,47.34,48.44,47.34,48.44,605791.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-04,47.75,47.75,47.34,47.34,991021.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-07,47.79,47.79,46.89,46.89,252609.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-08,47.88,47.89,47.12,47.34,217897.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-09,48.05,48.57,47.93,48.21,555408.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-10,48.04,48.04,46.89,46.89,595293.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-11,47.03,47.56,46.89,47.02,321613.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-14,46.78,47.30,46.78,47.25,288827.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
