date,open,high,low,close,volume,comment
2015-04-15,179.84,180.16,178.32,178.95,31353143.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-16,179.96,179.96,176.99,178.57,24480486.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-17,178.83,179.96,175.79,176.29,37402816.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-20,176.79,177.55,176.03,176.87,21612068.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-21,178.09,179.16,176.19,176.87,23160072.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-22,177.75,178.00,174.59,175.50,36777075.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-23,175.69,176.62,173.16,173.29,44978086.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-24,173.68,173.68,170.74,172.15,31549055.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-27,172.15,173.68,169.82,172.30,25493663.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-28,172.10,172.10,167.98,169.24,26239727.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-29,169.87,170.87,167.91,168.64,24264824.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-30,168.64,171.57,167.00,169.96,28741685.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-01,170.08,170.08,167.21,168.19,10799301.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-05,169.69,171.33,168.19,168.19,30651941.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-06,168.24,171.51,168.24,169.36,23272081.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-07,169.46,171.99,167.72,171.24,38204848.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-08,175.89,177.85,173.74,175.84,44908499.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-11,176.22,179.10,174.92,175.48,16650806.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-12,174.60,175.24,171.33,172.15,25327671.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-13,172.55,173.33,171.84,172.36,13428771.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-14,173.02,174.07,171.47,173.29,14254099.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-15,174.07,175.38,173.08,173.93,14502771.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-18,174.40,175.38,172.55,173.87,13174867.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-19,175.10,176.56,174.85,176.48,15670879.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-20,177.08,177.25,174.46,175.69,16608293.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-21,175.24,176.41,174.85,176.17,14726642.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-22,177.08,177.15,175.84,176.01,19841546.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-26,176.94,177.25,174.53,174.85,16367626.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-27,175.31,176.76,173.74,176.22,26097526.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
