date,open,high,low,close,volume,comment
2015-04-15,584.21,588.59,583.84,588.59,9673.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-16,583.49,590.40,583.49,587.87,15662.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-17,592.98,595.02,580.92,582.77,17931.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-20,576.20,588.24,576.20,585.31,17422.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-21,576.20,586.30,576.20,583.84,2315.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-22,576.20,587.14,576.20,578.03,4446.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-23,576.20,584.94,576.20,577.82,15080.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-24,589.68,591.87,577.30,580.92,8406.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-27,577.54,587.14,575.10,583.49,17470.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-28,582.08,587.14,578.37,581.31,6232.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-29,568.89,583.49,568.89,583.13,14751.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-30,586.83,587.95,581.99,581.99,5099.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-01,585.81,586.47,579.41,579.41,11613.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-05,583.49,585.36,579.77,579.77,22664.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-06,583.50,589.43,579.77,579.77,55051.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-07,568.64,588.71,567.56,580.16,66090.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-08,582.54,588.71,579.77,584.23,10631.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-11,590.92,602.07,587.50,597.25,46321.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-12,594.45,605.79,593.89,600.59,19345.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-13,605.79,609.51,596.87,604.30,11227.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-14,602.20,605.79,590.92,601.70,13225.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-15,603.26,606.55,592.03,597.99,5606.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-18,600.97,605.41,594.66,594.66,12298.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-19,603.92,612.09,598.35,612.09,16760.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-20,613.21,616.57,606.95,609.13,6984.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-21,598.35,613.60,598.35,600.22,7788.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-22,598.35,605.79,598.35,605.79,6197.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-26,606.16,616.94,604.30,613.21,49040.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-27,620.65,621.04,611.75,614.71,9967.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-28,615.85,631.81,609.87,619.17,34385.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-29,620.31,625.49,612.09,612.09,7628.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-01,613.21,628.47,596.87,605.05,23224.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-02,613.21,614.33,609.51,613.21,6530.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-03,615.07,615.07,607.65,611.36,12034.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-04,605.79,624.36,600.22,622.52,3263.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-05,602.07,624.36,602.07,624.36,6199.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-08,609.51,631.06,609.51,631.06,7204.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-09,626.24,631.81,626.24,631.81,4609.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-10,609.51,631.43,609.51,627.35,2983.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-11,609.51,631.81,609.51,630.30,5680.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-12,616.94,642.95,616.94,641.84,5118.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-15,624.36,628.58,620.65,624.01,12713.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-16,621.58,621.58,596.87,608.39,12996.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-17,594.66,619.03,594.66,609.13,11471.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-18,605.51,616.94,605.51,616.57,1963.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-19,597.60,603.56,558.60,558.60,132613.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-22,576.04,594.66,576.04,588.71,76525.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-23,594.66,599.46,590.18,599.46,2984.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-24,590.55,597.99,587.20,590.18,10671.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-25,593.11,593.11,590.18,590.18,2184.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-26,594.66,594.66,593.52,593.52,90462.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-29,585.53,609.51,583.65,606.16,7041.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-30,613.21,616.94,604.85,613.21,18125.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-01,609.51,615.22,607.29,609.51,6457.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-02,605.79,616.94,605.79,609.51,2148.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-03,608.01,616.57,603.18,616.57,5355.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-06,594.66,611.36,575.68,595.01,12823.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-07,598.35,605.51,594.66,599.09,2750.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-08,598.35,602.17,597.02,602.07,4100.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-09,594.66,598.35,592.56,598.35,2847.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-10,597.99,607.29,594.66,607.29,6600.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-13,608.77,612.85,599.46,602.07,9484.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-14,596.51,602.07,594.66,602.07,5083.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-15,608.57,609.51,608.57,609.51,3215.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-16,613.21,613.21,599.57,610.98,3755.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-17,613.21,613.21,594.66,608.39,7538.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-20,613.21,620.65,600.03,620.65,7437.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-21,631.81,631.81,610.24,616.94,14525.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-22,624.36,624.36,598.35,604.69,56866.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-23,603.92,610.89,602.45,607.29,2839.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-24,609.51,618.80,602.45,602.45,8583.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-27,598.35,609.51,598.35,606.55,10066.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-28,612.06,617.58,601.33,601.33,9585.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-29,615.83,615.83,615.83,615.83,159.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-30,598.35,603.92,587.57,598.35,10370.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-31,605.79,605.79,598.35,603.56,3756.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-03,598.35,598.82,598.35,598.35,2565.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-04,594.66,594.66,582.16,583.49,27183.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-05,583.49,594.66,583.49,594.66,17704.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-06,593.61,602.07,593.61,597.25,6693.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-07,604.30,613.21,598.35,600.59,10078.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-10,607.29,608.04,602.07,603.56,116875.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-11,602.07,612.85,602.07,605.79,5687.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-12,606.16,608.39,602.45,605.41,2577.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-13,604.77,615.07,604.23,610.24,26541.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-14,602.07,614.33,602.07,610.98,10576.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-17,610.98,611.36,609.51,609.87,14535.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-18,615.36,616.94,613.21,613.21,3519.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-19,614.63,624.01,612.48,612.48,3152.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-20,613.71,613.71,613.21,613.21,213.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-21,609.51,612.09,609.51,609.51,12419.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-24,600.93,610.24,600.93,605.79,21846.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-25,609.51,609.51,601.78,603.92,22013.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-26,605.84,608.39,602.07,604.30,9626.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-27,606.16,608.39,602.07,605.05,4900.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-28,605.05,610.24,605.05,610.24,26490.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
