date,open,high,low,close,volume,comment
2018-10-01,99.31,100.02,99.29,100.02,387105.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-10-02,100.57,100.57,99.29,99.68,189233.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-10-03,99.29,99.29,98.79,99.29,242179.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-10-04,99.63,99.63,99.29,99.29,74679.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-10-05,99.29,99.29,99.09,99.29,173334.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-10-08,99.49,99.49,99.29,99.29,102945.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-10-09,99.09,99.09,99.09,99.09,153462.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-10-10,98.79,98.79,98.64,98.64,575436.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-10-11,96.90,97.30,96.80,96.80,225544.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-10-12,96.40,96.80,96.40,96.80,109601.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-10-15,97.03,97.30,96.80,96.80,61243.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-10-16,96.31,97.10,96.31,97.10,32552.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-10-17,97.80,97.80,95.31,96.31,78841.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-10-18,95.31,96.31,95.31,96.31,75285.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-10-19,96.40,96.85,96.40,96.85,50179.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-10-22,96.80,96.80,95.31,96.31,262815.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-10-23,97.30,97.30,95.31,96.31,41309.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-10-24,95.41,96.31,95.31,96.31,146827.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-10-25,95.31,95.31,94.72,94.77,749158.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-10-26,94.72,94.72,93.82,94.22,111215.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-10-29,94.22,94.22,93.33,94.07,163915.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-10-30,93.33,94.07,93.33,94.07,239083.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-10-31,94.82,94.82,92.83,93.58,270803.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-01,94.22,94.32,92.83,93.58,431024.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-02,93.33,94.32,93.33,93.58,184613.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-05,92.83,93.58,92.83,93.58,65686.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-06,94.32,94.32,92.83,93.58,174293.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-07,93.33,93.82,93.33,93.82,65975.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-08,93.82,94.32,93.82,94.32,78529.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-09,94.32,94.32,93.82,94.32,86705.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-12,94.12,94.32,94.12,94.32,38240.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-13,94.32,94.32,92.93,93.83,207304.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-14,92.84,93.83,92.84,93.83,37581.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-15,94.03,94.03,93.62,93.62,62947.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-16,94.02,94.02,93.33,93.33,437142.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-19,92.46,93.24,92.46,93.24,20881.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-20,92.45,93.24,92.45,93.24,20364.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-21,93.33,93.33,92.45,93.24,30420.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-22,92.45,93.33,92.45,93.24,15677.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-23,92.46,93.24,92.46,93.24,33589.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-26,92.46,93.24,92.46,93.24,74311.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-27,92.46,93.23,92.46,93.23,62182.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-28,92.46,93.23,92.46,93.23,46256.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-29,92.83,93.33,92.83,93.33,300123.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-11-30,93.46,93.46,93.33,93.33,35039.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-03,93.34,94.07,93.34,94.07,85092.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-04,93.09,93.92,93.08,93.92,47759.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-05,92.83,93.77,92.83,93.77,35381.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-06,94.32,94.32,92.83,93.80,251118.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-07,92.91,93.84,92.91,93.84,72080.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-10,92.83,93.77,92.83,93.77,54723.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-11,92.84,93.82,92.84,93.82,15070.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-12,92.85,93.82,92.85,93.82,27827.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-13,93.33,94.82,93.33,94.08,226492.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-14,93.34,94.07,93.34,94.07,37686.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-17,94.76,94.82,94.08,94.08,316796.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-18,93.33,93.97,93.33,93.97,18106.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-19,93.33,93.82,93.33,93.82,55057.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-20,93.33,93.58,93.33,93.58,64678.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-21,94.32,94.32,92.83,93.82,37948.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-24,92.83,93.81,92.83,93.81,23396.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-27,92.83,93.77,92.83,93.77,58724.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-28,92.83,93.78,92.83,93.78,47814.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-12-31,92.83,93.77,92.83,93.77,19260.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-02,93.77,93.77,92.83,93.77,48714.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-03,93.96,93.96,92.83,93.77,26206.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-04,93.07,93.82,93.07,93.82,65989.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-07,94.81,94.82,94.13,94.13,157766.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-08,95.31,95.31,94.37,94.37,111195.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-09,95.42,95.42,95.12,95.12,85228.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-10,95.60,95.62,95.31,95.62,49128.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-11,95.50,95.83,95.50,95.83,80082.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-14,96.06,96.06,95.69,95.69,36917.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-15,95.89,96.06,95.69,95.69,23857.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-16,95.89,96.06,95.69,95.69,75646.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-17,95.89,96.06,95.81,95.81,26580.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-18,95.53,96.56,95.53,96.56,38811.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-21,96.87,96.87,96.06,96.61,65708.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-22,97.00,97.05,96.06,97.05,149383.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-23,97.80,97.80,97.05,97.05,86553.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-24,97.48,97.80,97.06,97.06,60218.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-25,97.80,97.86,97.46,97.86,98166.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-28,98.41,99.78,98.41,99.29,111118.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-29,100.28,100.28,100.28,100.28,82979.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-30,100.77,101.36,100.77,101.36,129331.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-31,102.26,102.26,101.51,101.51,36922.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
