date,open,high,low,close,volume,comment
2015-04-13,969.15,973.26,965.85,969.97,2948279.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-14,966.67,970.17,959.27,962.57,3808636.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-15,960.09,963.38,944.45,946.92,6305712.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-16,948.56,948.56,930.43,940.33,5979369.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-17,940.33,946.09,929.20,930.43,5751338.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-20,929.61,938.67,926.32,932.91,6414552.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-21,935.37,946.92,932.09,937.02,6811539.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-22,937.02,943.62,917.26,924.68,7064325.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-23,926.32,934.56,918.10,929.61,6144160.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-24,927.15,932.91,913.99,918.92,5588802.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-27,920.57,923.86,905.75,916.46,5657531.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-28,913.16,913.99,890.92,899.96,7077822.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-29,904.10,911.51,896.68,896.68,8325300.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-30,900.03,908.41,885.98,906.74,9999939.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-01,909.25,929.38,904.22,928.53,5130081.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-05,936.08,939.43,905.89,905.89,9033490.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-06,904.22,919.32,895.85,900.87,11777907.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-07,900.87,903.39,887.45,898.36,9248580.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-08,908.41,921.83,889.14,916.81,9704187.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-11,918.47,921.83,908.41,909.25,6227971.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-12,907.58,909.25,892.49,895.00,7183830.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-13,898.36,909.25,892.49,905.06,7032871.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-14,900.87,919.32,898.36,916.81,4342533.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-15,921.00,928.53,916.81,919.32,4205386.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-18,922.67,927.67,914.89,922.67,3331947.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-19,935.24,946.12,934.40,941.95,6542779.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-20,941.10,943.61,934.40,936.91,6438361.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-21,939.43,940.26,926.86,926.86,5603397.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-22,930.21,932.71,925.18,925.18,6221408.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-26,925.18,928.53,913.43,914.29,6512116.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-27,913.43,925.18,912.60,921.00,7205631.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-28,927.67,937.74,921.83,926.86,7053343.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-29,926.01,928.53,906.74,909.25,7401061.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-01,908.41,918.47,905.89,908.41,5837567.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-02,912.60,913.43,899.23,902.54,7418007.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-03,905.06,915.95,902.54,911.77,7257283.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-04,909.25,909.25,895.85,900.87,4701209.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-05,897.52,897.52,882.44,887.45,5391925.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-08,887.45,897.52,884.12,889.99,5372246.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-09,900.87,915.12,897.52,902.54,8174316.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-10,897.52,906.74,894.18,903.39,5606000.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-11,898.36,910.91,898.36,905.89,4641278.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-12,905.06,905.06,892.49,895.85,5075807.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-15,890.81,896.68,888.29,893.34,3411658.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-16,889.99,898.36,884.12,897.52,4364573.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-17,897.52,900.03,885.79,889.14,4525447.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-18,889.99,890.81,879.09,887.45,5062401.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-19,887.45,895.00,879.91,881.59,7197453.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-22,899.23,904.22,892.49,897.52,4299841.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-23,900.87,904.22,895.85,900.03,3313866.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-24,899.23,905.89,897.52,900.87,3943887.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-25,898.36,905.06,896.68,902.54,4392102.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-26,900.03,903.67,892.49,898.36,3337443.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-29,875.74,889.99,869.02,876.58,5529174.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-30,874.89,881.59,867.35,867.35,6813232.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-01,870.70,890.81,870.70,890.81,6082576.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-02,889.99,895.00,886.64,888.29,5892381.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-03,886.64,892.49,879.91,881.59,3334149.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-06,864.83,879.91,859.81,873.23,5025164.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-07,875.74,876.58,857.31,858.13,4287998.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-08,863.17,870.70,859.81,867.35,4024228.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-09,869.02,881.59,865.67,880.76,3492004.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-10,892.49,903.39,884.95,902.54,4696852.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-13,910.09,911.77,903.39,909.25,2988085.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-14,912.60,925.18,910.91,925.18,3936372.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-15,923.49,926.86,919.32,924.33,2856196.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-16,929.38,932.71,924.33,931.05,2746674.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-17,929.38,935.24,926.86,928.53,3597821.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-20,931.05,932.71,923.49,929.38,2884368.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-21,931.88,936.08,925.18,928.53,2759760.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-22,920.14,925.18,913.43,915.95,3619212.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-23,938.58,942.78,918.47,925.18,3422217.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-24,920.14,934.40,919.32,921.00,4134140.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-27,916.81,919.03,895.85,896.68,3848640.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-28,900.87,907.58,897.52,900.03,5295639.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-29,905.89,922.67,902.54,922.67,4500347.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-30,922.67,928.53,915.95,919.32,4930732.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-31,921.00,938.58,921.00,936.91,4204328.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-03,933.54,944.46,932.71,941.95,3942023.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-04,940.26,949.46,936.08,948.66,3449297.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
