date,open,high,low,close,volume,comment
2008-02-18,5152.00,5152.00,5152.00,5152.00,57.00,Alphavantage
2008-02-19,5188.43,5188.43,5188.43,5188.43,69.00,Alphavantage
2008-02-25,5152.19,5152.19,5152.19,5152.19,23.00,Alphavantage
2008-02-28,5118.82,5118.82,5118.82,5118.82,68.00,Alphavantage
2008-02-29,5104.00,5104.00,5104.00,5104.00,125.00,Alphavantage
2008-03-05,5199.16,5199.16,5199.16,5199.16,50.00,Alphavantage
2008-03-06,5145.50,5145.50,5145.50,5145.50,9.00,Alphavantage
2008-03-07,5079.68,5079.68,5075.39,5075.39,196.00,Alphavantage
2008-03-10,5062.04,5062.04,5024.70,5024.70,159.00,Alphavantage
2008-03-14,5049.98,5049.98,5033.54,5036.34,202.00,Alphavantage
2008-03-17,5090.00,5090.00,5090.00,5090.00,25.00,Alphavantage
2008-03-18,5018.54,5018.54,5018.54,5018.54,79.00,Alphavantage
2008-03-20,5117.97,5117.97,5117.97,5117.97,38.00,Alphavantage
2008-03-25,5085.72,5085.72,5029.01,5029.01,848.00,Alphavantage
2008-03-26,5055.76,5055.76,5055.76,5055.76,79.00,Alphavantage
2008-03-28,5055.55,5055.55,5004.53,5004.53,102.00,Alphavantage
2008-03-31,5067.50,5067.50,5067.50,5067.50,18.00,Alphavantage
2008-04-01,5086.97,5086.97,5086.97,5086.97,943.00,Alphavantage
2008-04-04,5101.00,5101.00,5101.00,5101.00,20.00,Alphavantage
2008-04-07,5127.32,5127.32,5127.32,5127.32,2.00,Alphavantage
2008-04-09,5178.36,5178.36,5178.36,5178.36,136.00,Alphavantage
2008-04-11,5184.00,5210.00,5184.00,5210.00,403.00,Alphavantage
2008-04-14,5113.59,5168.33,5113.59,5125.07,2663.00,Alphavantage
2008-04-15,5142.12,5142.12,5142.12,5142.12,2000.00,Alphavantage
2008-04-22,5130.91,5130.91,5130.91,5130.91,13.00,Alphavantage
2008-04-23,5107.15,5107.15,5107.15,5107.15,100.00,Alphavantage
2008-04-24,5139.81,5139.81,5139.81,5139.81,139.00,Alphavantage
2008-04-25,5091.53,5091.53,5091.53,5091.53,252.00,Alphavantage
2008-04-29,5141.84,5142.00,5116.58,5141.84,408.00,Alphavantage
2008-04-30,5067.59,5067.59,5067.59,5067.59,222.00,Alphavantage
2008-05-02,5116.03,5116.03,5116.03,5116.03,51.00,Alphavantage
2008-05-06,5148.00,5148.00,5135.02,5135.02,278.00,Alphavantage
2008-05-07,5177.60,5189.82,5177.60,5189.82,1809.00,Alphavantage
2008-05-08,5164.34,5164.34,5164.34,5164.34,3.00,Alphavantage
2008-05-09,5195.92,5195.92,5195.92,5195.92,100.00,Alphavantage
