date,open,high,low,close,volume,comment
2020-10-01,4507.00,4551.00,4401.50,4432.50,3746.00,Yahoo
2020-11-01,4454.00,4594.50,4196.00,4180.50,12155.00,Yahoo
2020-12-01,4246.00,4445.00,4246.00,4445.00,5711.00,Yahoo
2021-01-01,4445.00,4569.50,4287.50,4352.50,6665.00,Yahoo
2021-02-01,4366.00,4441.00,4028.00,4035.50,7103.00,Yahoo
2021-03-01,4061.50,4067.50,3936.00,3983.00,4942.00,Yahoo
2021-04-01,4037.50,4186.00,4037.50,4124.00,16554.00,Yahoo
2021-05-01,4124.00,4580.00,4124.00,4421.00,24074.00,Yahoo
2021-06-01,4468.00,4480.00,4095.00,4111.50,12986.00,Yahoo
2021-07-01,4144.00,4259.00,4144.00,4243.00,12517.00,Yahoo
2021-08-01,4217.00,4219.00,4009.00,4198.50,12865.00,Yahoo
2021-09-01,4216.50,4216.50,4203.00,4215.00,257.00,Yahoo
2021-09-03,4212.00,4212.00,4212.00,4238.00,450.00,Yahoo
