date,open,high,low,close,volume,comment
2015-04-15,526.78,534.58,526.78,534.58,3020.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-16,540.61,544.98,540.61,542.00,2149.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-17,538.00,538.00,530.00,537.50,74888.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-20,525.78,532.00,525.78,532.00,4558.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-21,537.50,541.00,531.50,531.88,28926.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-22,533.41,533.41,519.50,525.50,17766.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-23,520.93,520.93,520.93,520.93,360.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-24,520.96,529.24,520.25,520.25,22019.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-27,521.00,530.00,521.00,530.00,11687.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-28,525.00,541.50,523.25,539.00,36845.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-29,540.29,542.50,540.29,541.00,51825.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-30,537.80,538.28,535.00,535.00,414465.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-01,527.35,538.00,526.75,534.36,13337.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-05,543.50,552.00,543.50,543.75,63482.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-06,539.31,539.31,522.00,522.50,76898.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-07,515.25,517.50,515.25,515.75,48049.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-08,520.50,520.89,515.01,516.75,3816.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-11,517.50,524.28,514.25,514.25,38.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-13,521.50,522.88,521.50,522.88,19369.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-14,532.25,540.75,529.61,539.80,11778.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-15,529.89,529.89,528.00,528.00,3425.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-18,537.64,537.64,534.75,534.75,749.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-19,530.00,537.98,527.00,527.00,46277.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-20,522.50,524.50,522.50,523.00,3195.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-21,518.39,518.39,509.88,509.88,1104.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-22,520.00,520.89,519.09,519.09,8318.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-26,516.00,516.00,506.10,506.10,6214.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-27,509.50,512.25,509.50,512.25,7407.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-28,506.34,512.80,506.34,510.91,2179.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-29,521.50,521.50,518.70,519.00,176577.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-01,527.50,527.50,520.20,520.20,341.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-02,518.50,522.28,517.38,520.37,74631.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-03,518.52,520.25,516.75,517.25,7550.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-04,508.00,508.00,500.70,506.06,6564.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-05,505.04,505.04,498.44,501.77,90592.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-08,501.02,501.02,497.00,497.00,1000.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-09,503.00,508.25,498.51,508.00,8294.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-10,498.53,498.53,494.70,497.50,56925.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-11,493.52,493.56,486.00,486.00,6968.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-12,482.85,487.97,482.85,484.79,26642.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-15,478.81,482.90,476.90,482.90,4930.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-16,477.65,477.65,472.96,472.96,14973.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-17,471.11,471.11,468.88,470.08,4053.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-18,481.26,487.50,481.26,486.00,24204.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
