date,open,high,low,close,volume,comment
2009-06-23,10986.00,11100.00,10920.00,11063.00,22054.00,Alphavantage
2009-06-24,11100.00,11100.00,10752.00,10805.00,7054.00,Alphavantage
2009-06-25,10874.00,11130.00,10796.00,10935.50,60854.00,Alphavantage
2009-06-26,11020.00,11097.00,10974.00,10990.00,10436.00,Alphavantage
2009-06-29,10708.01,10708.01,10707.99,10708.00,25.00,Alphavantage
2009-06-30,10786.00,10993.00,10730.00,10931.50,29952.00,Alphavantage
2009-07-01,10679.00,10679.00,10491.00,10491.00,15045.00,Alphavantage
2009-07-02,10700.00,11000.00,10645.00,10986.00,28054.00,Alphavantage
2009-07-03,10921.00,10921.00,10921.00,10921.00,457.00,Alphavantage
2009-07-06,11250.00,11250.00,11195.00,11195.00,2364.00,Alphavantage
2009-07-07,11147.00,11226.00,10920.00,11216.00,27603.00,Alphavantage
2009-07-08,11251.00,11463.00,11171.00,11463.00,53918.00,Alphavantage
2009-07-09,11376.00,11376.00,11240.00,11342.00,52838.00,Alphavantage
2009-07-10,11482.00,11500.00,11476.00,11500.00,14443.00,Alphavantage
2009-07-13,11600.00,11660.00,11072.00,11094.00,43778.00,Alphavantage
2009-07-14,10950.00,11100.00,10835.00,10919.50,32731.00,Alphavantage
2009-07-15,10743.00,10743.00,10420.00,10420.00,19137.00,Alphavantage
2009-07-16,10371.00,10371.00,10222.00,10278.00,12085.00,Alphavantage
2009-07-17,10149.00,10192.00,10053.00,10152.50,18746.00,Alphavantage
2009-07-20,10097.00,10097.00,9850.00,9900.50,15704.00,Alphavantage
2009-07-21,9932.00,9932.00,9677.00,9719.50,6817.00,Alphavantage
2009-07-22,9760.00,9855.00,9681.00,9681.00,4914.00,Alphavantage
2009-07-23,9735.00,9735.00,9372.00,9384.00,18791.00,Alphavantage
2009-07-24,9205.00,9392.00,9205.00,9317.00,19546.00,Alphavantage
2009-07-27,9236.00,9336.00,9236.00,9276.50,10297.00,Alphavantage
2009-07-28,9206.00,9548.00,9169.00,9518.50,31289.00,Alphavantage
2009-07-29,9550.00,9550.00,9300.00,9475.00,34929.00,Alphavantage
2009-07-30,9294.00,9361.00,9046.00,9064.50,29237.00,Alphavantage
2009-07-31,9050.00,9117.00,9025.00,9117.00,45015.00,Alphavantage
2009-08-03,9113.00,9113.00,8789.00,8852.00,12806.00,Alphavantage
2009-08-04,8875.00,9075.00,8875.00,8898.50,13944.00,Alphavantage
2009-08-05,8911.00,8983.00,8812.00,8965.00,6613.00,Alphavantage
2009-08-06,8810.00,8852.00,8707.00,8852.00,9857.00,Alphavantage
2009-08-07,8878.00,9004.00,8655.00,8655.00,16521.00,Alphavantage
2009-08-10,8772.00,8772.00,8682.00,8695.50,1064.00,Alphavantage
2009-08-11,8632.00,8889.00,8632.00,8876.50,5698.00,Alphavantage
2009-08-12,8840.00,8933.00,8605.00,8650.50,13015.00,Alphavantage
2009-08-13,8560.00,8591.00,8379.00,8501.00,12511.00,Alphavantage
2009-08-14,8470.00,8697.00,8470.00,8660.00,10866.00,Alphavantage
2009-08-17,8773.00,9008.00,8773.00,8905.00,32484.00,Alphavantage
