date,open,high,low,close,volume,comment
2010-10-28,1706.00,1706.00,1706.00,1706.00,2100.00,Alphavantage
2010-11-02,1718.00,1718.00,1718.00,1718.00,578.00,Alphavantage
2010-11-03,1715.00,1715.00,1703.00,1706.00,8900.00,Alphavantage
2011-01-14,1839.00,1839.00,1839.00,1839.00,3.00,Alphavantage
2011-01-19,1834.00,1834.00,1834.00,1834.00,674.00,Alphavantage
2011-01-20,1823.00,1823.00,1823.00,1823.00,680.00,Alphavantage
2011-01-21,1823.00,1823.00,1823.00,1823.00,980.00,Alphavantage
2011-01-24,1833.00,1833.00,1833.00,1833.00,4000.00,Alphavantage
2011-01-25,1847.00,1852.00,1847.00,1847.00,60331.00,Alphavantage
2011-01-26,1866.00,1866.00,1866.00,1866.00,53228.00,Alphavantage
2011-01-27,1856.00,1856.00,1856.00,1856.00,1555.00,Alphavantage
2011-01-28,1859.00,1859.00,1859.00,1859.00,1074.00,Alphavantage
2011-01-31,1839.00,1839.00,1839.00,1839.00,186.00,Alphavantage
2011-02-01,1827.00,1828.00,1827.00,1828.00,4785.00,Alphavantage
2011-02-02,1844.00,1844.00,1844.00,1844.00,19512.00,Alphavantage
2011-02-03,1837.00,1837.00,1830.00,1837.00,5754.00,Alphavantage
2011-02-04,1849.00,1849.00,1849.00,1849.00,499.00,Alphavantage
2011-02-07,1863.00,1863.00,1863.00,1863.00,33.00,Alphavantage
2011-02-08,1859.00,1859.00,1859.00,1859.00,196.00,Alphavantage
2011-02-09,1868.00,1868.00,1868.00,1868.00,3666.00,Alphavantage
2011-02-11,1851.00,1851.00,1850.00,1851.00,14636.00,Alphavantage
2011-02-14,1878.95,1878.95,1878.95,1878.95,3.00,Alphavantage
2011-02-16,1875.00,1875.00,1875.00,1875.00,16100.00,Alphavantage
2011-02-18,1880.00,1880.00,1880.00,1880.00,43.00,Alphavantage
2011-02-21,1875.00,1878.00,1875.00,1875.00,4898.00,Alphavantage
2011-02-28,1859.00,1865.00,1859.00,1859.00,5847.00,Alphavantage
2011-03-01,1864.00,1865.00,1845.00,1845.00,49243.00,Alphavantage
2011-03-02,1835.00,1835.00,1835.00,1835.00,52.00,Alphavantage
2011-03-04,1862.00,1868.04,1855.00,1855.00,4432.00,Alphavantage
2011-03-07,1847.00,1847.00,1847.00,1847.00,250.00,Alphavantage
2011-03-08,1858.00,1858.00,1858.00,1858.00,24830.00,Alphavantage
2011-03-09,1854.95,1857.95,1854.95,1854.95,78.00,Alphavantage
2011-03-10,1838.00,1838.00,1838.00,1838.00,78.00,Alphavantage
2011-03-11,1822.33,1825.05,1822.33,1825.05,621.00,Alphavantage
2011-03-15,1761.00,1770.55,1742.10,1770.55,2729.00,Alphavantage
2011-03-16,1753.00,1776.96,1753.00,1753.00,554.00,Alphavantage
2011-03-17,1768.00,1773.00,1761.00,1771.00,90263.00,Alphavantage
2011-03-21,1802.00,1806.00,1796.55,1803.00,8082.00,Alphavantage
2011-03-22,1797.00,1799.93,1791.00,1792.50,4403.00,Alphavantage
2011-03-24,1804.00,1837.00,1804.00,1801.54,328.00,Alphavantage
2011-03-25,1840.36,1840.36,1840.36,1840.36,164.00,Alphavantage
2011-03-28,1855.00,1858.95,1850.00,1850.00,21253.00,Alphavantage
2011-03-29,1840.00,1849.00,1839.00,1849.00,7798.00,Alphavantage
2011-03-30,1862.00,1866.00,1861.00,1863.50,140247.00,Alphavantage
2011-04-01,1876.00,1876.00,1876.00,1876.00,543.00,Alphavantage
2011-04-04,1869.00,1870.00,1869.00,1869.50,36556.00,Alphavantage
2011-04-06,1855.00,1859.95,1845.95,1852.50,1160.00,Alphavantage
2011-04-07,1853.00,1853.00,1850.05,1850.05,2575.00,Alphavantage
