date,open,high,low,close,volume,comment
2005-01-04,132.00,132.00,130.00,130.64,544565.00,Alphavantage
2005-01-05,130.00,131.75,126.25,126.75,762054.00,Alphavantage
2005-01-06,126.25,127.15,125.75,125.75,376746.00,Alphavantage
2005-01-07,126.75,127.25,126.00,126.00,976035.00,Alphavantage
2005-01-10,126.75,127.50,126.23,127.31,468346.00,Alphavantage
2005-01-11,127.75,129.00,127.63,128.75,967404.00,Alphavantage
2005-01-12,128.50,129.75,128.50,129.25,509369.00,Alphavantage
2005-01-13,130.00,131.75,129.90,131.00,674720.00,Alphavantage
2005-01-14,131.75,132.00,130.50,132.00,385229.00,Alphavantage
2005-01-17,132.25,132.75,131.00,131.87,666754.00,Alphavantage
2005-01-18,132.75,133.00,129.50,130.00,1004346.00,Alphavantage
2005-01-19,131.50,132.02,130.61,132.00,465945.00,Alphavantage
2005-01-20,130.25,131.25,129.75,131.25,387325.00,Alphavantage
2005-01-21,130.75,131.25,130.00,130.88,370544.00,Alphavantage
2005-01-24,130.75,132.25,130.25,131.75,223414.00,Alphavantage
2005-01-25,131.73,132.00,130.25,131.25,413654.00,Alphavantage
2005-01-26,132.25,133.00,130.61,133.00,462341.00,Alphavantage
2005-01-27,132.00,133.00,131.00,131.75,149906.00,Alphavantage
2005-01-28,132.00,132.50,131.05,132.00,493659.00,Alphavantage
2005-01-31,132.50,132.66,129.56,130.50,905376.00,Alphavantage
2005-02-01,130.75,132.00,130.00,131.50,1019838.00,Alphavantage
2005-02-02,132.00,133.00,131.50,132.06,878269.00,Alphavantage
2005-02-03,132.25,133.00,131.49,132.01,288679.00,Alphavantage
2005-02-04,131.75,132.77,131.50,131.50,657599.00,Alphavantage
2005-02-07,132.25,133.00,131.75,132.55,3189672.00,Alphavantage
2005-02-08,133.00,134.75,132.80,133.73,1505467.00,Alphavantage
2005-02-09,134.50,135.00,134.00,134.00,548010.00,Alphavantage
2005-02-10,134.75,135.75,134.00,134.40,794254.00,Alphavantage
2005-02-11,135.75,137.25,135.50,136.28,524264.00,Alphavantage
2005-02-14,137.25,138.50,136.25,138.25,659452.00,Alphavantage
2005-02-15,138.00,138.00,137.00,138.00,424260.00,Alphavantage
2005-02-16,138.00,138.43,135.50,136.00,541817.00,Alphavantage
2005-02-17,136.50,137.50,136.23,136.50,704021.00,Alphavantage
2005-02-18,137.50,138.00,137.00,137.00,575225.00,Alphavantage
2005-02-21,137.50,138.00,135.00,135.00,900287.00,Alphavantage
2005-02-22,135.00,136.00,134.00,134.00,1030186.00,Alphavantage
2005-02-23,133.25,134.50,132.50,134.00,581552.00,Alphavantage
2005-02-24,133.25,134.50,133.25,134.50,464664.00,Alphavantage
2005-02-25,134.00,134.50,132.84,134.50,281091.00,Alphavantage
2005-02-28,134.50,135.75,133.00,134.67,485137.00,Alphavantage
2005-03-01,134.25,135.88,134.00,134.00,321306.00,Alphavantage
2005-03-02,134.25,136.00,134.00,135.00,781985.00,Alphavantage
2005-03-03,134.50,135.68,134.50,134.82,282295.00,Alphavantage
2005-03-04,134.50,136.00,134.10,135.25,377410.00,Alphavantage
2005-03-07,134.75,136.25,134.73,134.80,1255522.00,Alphavantage
2005-03-08,134.50,135.90,134.25,135.32,614080.00,Alphavantage
2005-03-09,136.25,136.50,134.50,134.50,848653.00,Alphavantage
2005-03-10,134.00,135.50,134.00,134.00,405420.00,Alphavantage
2005-03-11,134.75,135.50,134.01,134.50,413417.00,Alphavantage
2005-03-14,135.50,135.50,134.30,135.25,436952.00,Alphavantage
2005-03-15,135.00,136.00,134.50,135.50,682268.00,Alphavantage
2005-03-16,135.50,135.75,133.50,133.50,1284946.00,Alphavantage
2005-03-17,133.50,135.00,128.50,128.78,941500.00,Alphavantage
2005-03-18,130.50,132.00,129.08,131.50,794995.00,Alphavantage
2005-03-21,130.75,132.00,130.50,132.00,476100.00,Alphavantage
2005-03-22,130.50,131.77,130.25,131.52,868624.00,Alphavantage
2005-03-23,130.50,131.35,127.50,127.50,743895.00,Alphavantage
2005-03-24,128.50,129.73,128.25,129.25,476048.00,Alphavantage
2005-03-29,128.00,129.70,127.00,129.06,547136.00,Alphavantage
2005-03-30,126.50,128.00,126.05,127.00,485047.00,Alphavantage
2005-03-31,127.75,129.50,127.25,128.25,629744.00,Alphavantage
2005-04-01,129.00,131.00,127.75,129.75,830838.00,Alphavantage
2005-04-04,128.75,130.25,126.50,126.75,602685.00,Alphavantage
2005-04-05,128.00,129.00,127.00,128.00,840128.00,Alphavantage
2005-04-06,128.00,130.25,127.25,130.25,747753.00,Alphavantage
2005-04-07,130.00,131.75,129.81,130.76,631755.00,Alphavantage
2005-04-08,131.50,132.00,130.00,131.75,633605.00,Alphavantage
2005-04-11,130.50,132.00,130.00,131.75,603138.00,Alphavantage
2005-04-12,131.50,132.50,131.50,131.50,536996.00,Alphavantage
2005-04-13,132.50,132.75,131.50,132.25,217900.00,Alphavantage
2005-04-14,131.75,132.25,131.00,131.00,521714.00,Alphavantage
2005-04-15,131.00,132.00,130.00,130.25,495085.00,Alphavantage
2005-04-18,128.75,130.50,126.50,128.56,1243787.00,Alphavantage
2005-04-19,127.50,129.50,127.50,128.50,620718.00,Alphavantage
2005-04-20,128.75,129.75,128.75,129.00,878316.00,Alphavantage
2005-04-21,128.75,129.94,128.50,129.25,557971.00,Alphavantage
2005-04-22,129.25,131.75,129.25,130.75,655344.00,Alphavantage
2005-04-25,130.75,131.48,129.00,131.00,430974.00,Alphavantage
2005-04-26,130.00,131.00,129.00,130.00,914649.00,Alphavantage
2005-04-27,129.00,130.06,128.00,128.25,675201.00,Alphavantage
2005-04-28,129.50,129.50,126.50,127.00,894666.00,Alphavantage
2005-04-29,126.75,129.00,126.50,128.44,600753.00,Alphavantage
2005-05-03,129.50,130.77,129.50,130.25,811193.00,Alphavantage
2005-05-04,131.75,131.75,129.50,129.93,693317.00,Alphavantage
2005-05-05,130.75,131.25,129.50,129.89,633865.00,Alphavantage
2005-05-06,130.00,131.50,129.75,130.00,453664.00,Alphavantage
2005-05-09,131.25,131.49,129.75,130.50,526366.00,Alphavantage
2005-05-10,132.00,132.24,129.00,129.75,765626.00,Alphavantage
2005-05-11,128.75,131.00,128.75,130.00,653342.00,Alphavantage
2005-05-12,130.50,131.50,130.42,131.00,383117.00,Alphavantage
2005-05-13,130.75,132.13,130.28,131.50,613519.00,Alphavantage
2005-05-16,131.50,132.25,131.50,131.75,232645.00,Alphavantage
2005-05-17,132.25,133.25,132.00,132.00,315907.00,Alphavantage
2005-05-18,133.25,133.25,131.50,131.50,387445.00,Alphavantage
2005-05-19,132.75,133.50,132.00,132.50,481769.00,Alphavantage
2005-05-20,132.00,133.50,132.00,133.00,342379.00,Alphavantage
2005-05-23,133.50,135.00,132.66,134.66,783449.00,Alphavantage
2005-05-24,135.00,136.00,134.96,135.33,835659.00,Alphavantage
2005-05-25,135.25,136.00,135.15,135.74,3628832.00,Alphavantage
2005-05-26,136.75,138.75,136.75,138.26,1007145.00,Alphavantage
2005-05-27,138.00,138.75,137.75,138.25,240955.00,Alphavantage
2005-05-31,138.75,141.00,137.75,140.27,1499956.00,Alphavantage
2005-06-01,140.50,141.50,139.51,141.08,678964.00,Alphavantage
2005-06-02,141.00,141.00,139.60,140.75,575991.00,Alphavantage
2005-06-03,139.25,141.00,139.25,140.50,1112663.00,Alphavantage
2005-06-06,141.00,141.57,139.98,141.57,262859.00,Alphavantage
2005-06-07,141.25,143.00,140.23,142.78,754929.00,Alphavantage
2005-06-08,141.25,143.00,141.25,142.50,357822.00,Alphavantage
2005-06-09,142.75,143.00,141.00,141.68,638411.00,Alphavantage
2005-06-10,143.00,143.25,142.15,143.00,281242.00,Alphavantage
2005-06-13,143.25,145.00,141.85,144.25,951486.00,Alphavantage
2005-06-14,144.50,144.50,142.50,144.13,267751.00,Alphavantage
2005-06-15,145.00,146.00,143.00,144.43,414585.00,Alphavantage
2005-06-16,143.75,145.75,143.40,143.76,711305.00,Alphavantage
2005-06-17,144.25,145.50,143.65,144.50,299869.00,Alphavantage
2005-06-20,145.50,146.00,144.50,144.80,377196.00,Alphavantage
2005-06-21,145.75,146.50,144.75,144.75,381754.00,Alphavantage
2005-06-22,145.00,146.50,144.50,146.50,224426.00,Alphavantage
2005-06-23,145.50,146.27,145.01,146.00,402322.00,Alphavantage
2005-06-24,146.00,146.50,145.00,145.65,425285.00,Alphavantage
2005-06-27,145.00,146.00,144.50,144.78,439134.00,Alphavantage
2005-06-28,144.25,145.00,144.13,144.50,1309164.00,Alphavantage
2005-06-29,143.50,144.00,143.00,143.43,408770.00,Alphavantage
2005-06-30,143.50,144.00,143.21,143.21,638368.00,Alphavantage
2005-07-01,144.00,146.25,143.37,145.50,408957.00,Alphavantage
2005-07-04,145.75,146.25,145.00,145.43,394462.00,Alphavantage
2005-07-05,146.00,146.50,144.50,145.99,531844.00,Alphavantage
2005-07-06,144.75,146.75,144.50,146.22,568086.00,Alphavantage
2005-07-07,146.50,146.88,140.25,144.32,1448132.00,Alphavantage
2005-07-08,146.00,149.00,145.77,147.25,400913.00,Alphavantage
2005-07-11,149.50,149.50,148.15,149.25,392082.00,Alphavantage
2005-07-12,148.50,149.25,148.25,148.75,321731.00,Alphavantage
2005-07-13,148.75,149.17,148.45,149.00,433511.00,Alphavantage
2005-07-14,148.75,149.00,148.00,149.00,360377.00,Alphavantage
2005-07-15,148.50,149.00,147.00,148.42,564779.00,Alphavantage
2005-07-18,149.00,149.00,147.25,147.50,365467.00,Alphavantage
2005-07-19,147.00,148.50,147.00,147.54,502120.00,Alphavantage
2005-07-20,148.00,148.77,147.00,147.00,379650.00,Alphavantage
2005-07-21,148.00,148.50,147.00,148.25,425373.00,Alphavantage
2005-07-22,148.50,148.50,147.25,148.25,246239.00,Alphavantage
2005-07-25,149.00,151.00,148.42,151.00,475197.00,Alphavantage
2005-07-26,150.75,150.75,149.00,149.45,373494.00,Alphavantage
2005-07-27,150.00,150.75,149.00,149.38,534727.00,Alphavantage
2005-07-28,149.75,151.00,149.18,150.50,575448.00,Alphavantage
2005-07-29,150.75,151.25,149.50,150.75,649287.00,Alphavantage
2005-08-01,151.00,153.31,151.00,152.88,828328.00,Alphavantage
2005-08-02,153.75,155.75,152.75,154.75,849967.00,Alphavantage
2005-08-03,156.00,158.25,155.70,157.00,2739383.00,Alphavantage
2005-08-04,158.25,158.75,157.00,158.12,1031432.00,Alphavantage
2005-08-05,158.50,159.50,157.25,158.39,888796.00,Alphavantage
2005-08-08,159.25,160.00,158.25,158.50,332498.00,Alphavantage
2005-08-09,159.75,162.00,159.25,162.00,1071111.00,Alphavantage
2005-08-10,161.50,163.50,160.25,163.50,1178138.00,Alphavantage
2005-08-11,162.25,163.50,160.50,161.03,859359.00,Alphavantage
2005-08-12,162.75,163.50,161.41,163.21,377279.00,Alphavantage
2005-08-15,161.75,163.50,161.70,162.50,769117.00,Alphavantage
2005-08-16,162.75,163.50,162.05,163.25,500919.00,Alphavantage
2005-08-17,162.00,163.47,160.50,161.25,3852446.00,Alphavantage
2005-08-18,161.00,161.00,159.75,160.42,555076.00,Alphavantage
2005-08-19,160.75,161.50,160.25,161.50,3023136.00,Alphavantage
2005-08-22,161.00,161.50,160.15,161.33,286870.00,Alphavantage
2005-08-23,161.50,161.50,160.25,161.01,709306.00,Alphavantage
2005-08-24,161.00,161.00,159.00,160.57,315170.00,Alphavantage
2005-08-25,160.00,160.00,156.50,158.02,1358161.00,Alphavantage
2005-08-26,156.50,158.00,156.50,157.70,455989.00,Alphavantage
2005-08-30,157.00,158.00,156.75,156.75,338606.00,Alphavantage
2005-08-31,158.50,159.00,157.00,157.90,693729.00,Alphavantage
2005-09-01,159.00,160.50,158.50,160.50,890817.00,Alphavantage
2005-09-02,159.25,160.75,158.50,160.50,430629.00,Alphavantage
2005-09-05,160.50,161.33,159.57,161.00,447595.00,Alphavantage
2005-09-06,160.50,160.50,160.00,160.00,483941.00,Alphavantage
2005-09-07,160.50,161.40,159.00,159.00,1155247.00,Alphavantage
2005-09-08,160.00,160.25,158.50,158.50,401872.00,Alphavantage
2005-09-09,159.25,159.50,157.79,159.49,239374.00,Alphavantage
2005-09-12,159.50,161.00,159.00,160.00,410959.00,Alphavantage
2005-09-13,160.25,161.00,159.25,160.25,290116.00,Alphavantage
2005-09-14,160.50,161.00,159.50,160.17,673417.00,Alphavantage
2005-09-15,159.75,160.78,159.49,159.49,262349.00,Alphavantage
2005-09-16,160.25,160.50,158.00,158.00,778885.00,Alphavantage
2005-09-19,159.75,160.50,158.08,160.02,1198346.00,Alphavantage
2005-09-20,160.25,160.75,159.00,160.00,943923.00,Alphavantage
2005-09-21,159.50,159.83,157.00,158.39,832368.00,Alphavantage
2005-09-22,157.75,158.75,156.50,157.25,480314.00,Alphavantage
2005-09-23,157.25,158.25,156.50,158.25,397663.00,Alphavantage
2005-09-26,157.50,158.75,157.25,158.16,240134.00,Alphavantage
2005-09-27,158.25,158.84,156.00,157.00,758013.00,Alphavantage
2005-09-28,157.25,158.50,156.69,158.50,691747.00,Alphavantage
2005-09-29,158.50,158.50,157.00,157.75,455892.00,Alphavantage
2005-09-30,158.00,158.00,156.50,157.25,1440010.00,Alphavantage
2005-10-03,157.00,159.00,156.67,158.63,743726.00,Alphavantage
2005-10-04,159.00,160.00,158.00,160.00,668080.00,Alphavantage
2005-10-05,157.75,158.75,157.00,157.50,650479.00,Alphavantage
2005-10-06,157.00,158.00,154.75,154.75,840614.00,Alphavantage
2005-10-07,155.50,157.25,154.50,157.25,562826.00,Alphavantage
2005-10-10,157.25,158.75,156.25,156.50,926865.00,Alphavantage
2005-10-11,157.00,158.25,157.00,157.51,329080.00,Alphavantage
2005-10-12,157.25,157.70,155.25,155.25,517580.00,Alphavantage
2005-10-13,155.00,156.00,150.50,151.00,525299.00,Alphavantage
2005-10-14,151.00,153.50,150.50,151.90,280283.00,Alphavantage
2005-10-17,153.50,154.00,150.50,150.50,471147.00,Alphavantage
2005-10-18,151.00,153.00,150.50,152.50,415285.00,Alphavantage
2005-10-19,150.50,151.00,145.50,145.50,1115722.00,Alphavantage
2005-10-20,147.50,149.75,147.50,148.00,869582.00,Alphavantage
2005-10-21,147.00,148.00,146.25,146.88,400889.00,Alphavantage
2005-10-24,147.75,148.85,146.50,148.50,577478.00,Alphavantage
2005-10-25,149.75,150.93,149.00,149.76,657522.00,Alphavantage
