date,open,high,low,close,volume,comment
1999-11-01,19.38,20.00,19.13,20.00,13000.00,Alphavantage
1999-11-02,19.00,19.75,19.00,19.75,5800.00,Alphavantage
1999-11-03,19.75,20.88,19.75,20.88,15200.00,Alphavantage
1999-11-04,20.69,20.88,19.50,19.88,33500.00,Alphavantage
1999-11-05,19.56,19.75,19.00,19.00,11000.00,Alphavantage
1999-11-08,19.38,19.38,19.03,19.06,29900.00,Alphavantage
1999-11-09,19.06,19.25,17.41,17.88,16200.00,Alphavantage
1999-11-10,17.88,18.31,17.25,18.00,27900.00,Alphavantage
1999-11-11,18.50,18.50,18.13,18.19,1600.00,Alphavantage
1999-11-12,17.88,18.25,17.88,18.00,7900.00,Alphavantage
1999-11-15,18.75,19.50,18.75,19.50,7600.00,Alphavantage
1999-11-16,18.75,19.75,18.75,19.25,8000.00,Alphavantage
1999-11-17,19.13,19.50,17.75,18.56,14600.00,Alphavantage
1999-11-18,18.56,18.56,18.13,18.38,15500.00,Alphavantage
1999-11-19,18.38,18.38,17.88,17.88,56900.00,Alphavantage
1999-11-22,17.88,18.13,17.00,17.44,137500.00,Alphavantage
1999-11-23,17.25,18.00,17.13,17.19,6100.00,Alphavantage
1999-11-24,17.19,17.25,17.00,17.19,124300.00,Alphavantage
1999-11-26,17.00,17.25,17.00,17.25,66100.00,Alphavantage
1999-11-29,17.38,17.56,17.25,17.25,43500.00,Alphavantage
1999-11-30,17.25,17.56,16.75,16.94,34900.00,Alphavantage
1999-12-01,17.00,17.25,16.75,16.88,23200.00,Alphavantage
1999-12-02,16.88,17.13,14.00,15.31,105800.00,Alphavantage
1999-12-03,15.63,16.88,15.44,15.75,97900.00,Alphavantage
1999-12-06,16.00,16.13,15.25,15.25,39900.00,Alphavantage
1999-12-07,13.13,14.13,12.75,13.81,378200.00,Alphavantage
1999-12-08,13.75,14.13,13.75,13.88,40100.00,Alphavantage
1999-12-09,13.88,14.50,13.88,14.00,90800.00,Alphavantage
1999-12-10,14.69,14.69,14.00,14.25,10100.00,Alphavantage
1999-12-13,14.69,14.69,14.13,14.38,22600.00,Alphavantage
1999-12-14,14.56,14.56,14.00,14.25,39800.00,Alphavantage
1999-12-15,14.38,14.38,13.81,13.84,25200.00,Alphavantage
1999-12-16,14.25,14.38,14.13,14.25,30200.00,Alphavantage
1999-12-17,14.38,14.50,14.00,14.13,21800.00,Alphavantage
1999-12-20,14.25,14.38,14.19,14.31,39600.00,Alphavantage
1999-12-21,14.31,14.31,13.88,14.25,109900.00,Alphavantage
1999-12-22,14.31,14.38,14.06,14.31,102000.00,Alphavantage
1999-12-23,14.13,14.75,14.13,14.63,25000.00,Alphavantage
1999-12-27,14.88,15.00,14.50,14.88,59000.00,Alphavantage
1999-12-28,14.94,15.25,14.00,14.00,21600.00,Alphavantage
1999-12-29,14.00,15.25,14.00,15.25,6200.00,Alphavantage
1999-12-30,15.00,16.00,15.00,15.75,18100.00,Alphavantage
1999-12-31,16.00,16.25,15.00,16.00,18300.00,Alphavantage
2000-01-03,16.06,16.25,15.88,15.88,8200.00,Alphavantage
2000-01-04,15.75,16.13,15.38,15.53,4200.00,Alphavantage
2000-01-05,16.00,16.00,15.63,15.63,8100.00,Alphavantage
2000-01-06,15.63,15.63,15.38,15.38,11800.00,Alphavantage
2000-01-07,15.38,15.75,15.00,15.75,7300.00,Alphavantage
2000-01-10,15.00,15.75,15.00,15.00,1200.00,Alphavantage
2000-01-11,15.75,16.00,15.13,15.13,5400.00,Alphavantage
2000-01-12,15.50,16.00,15.50,16.00,3800.00,Alphavantage
2000-01-13,16.00,16.25,15.75,15.75,9800.00,Alphavantage
2000-01-14,15.81,16.25,15.81,16.25,21300.00,Alphavantage
2000-01-18,16.13,16.25,15.94,16.06,9800.00,Alphavantage
2000-01-19,16.06,16.06,15.19,15.34,15100.00,Alphavantage
2000-01-20,15.19,16.13,15.19,15.75,18800.00,Alphavantage
2000-01-21,15.69,15.75,15.19,15.25,17200.00,Alphavantage
2000-01-24,15.25,15.75,14.81,14.81,20400.00,Alphavantage
2000-01-25,15.63,15.63,14.63,14.63,161700.00,Alphavantage
2000-01-26,14.88,15.00,14.88,15.00,14600.00,Alphavantage
2000-01-27,15.34,17.50,15.19,17.06,51100.00,Alphavantage
2000-01-28,17.25,17.25,16.13,16.50,31500.00,Alphavantage
2000-01-31,16.88,18.75,16.75,18.00,61400.00,Alphavantage
2000-02-01,17.38,17.75,17.38,17.63,6100.00,Alphavantage
2000-02-02,17.69,17.75,15.19,16.13,67100.00,Alphavantage
2000-02-03,16.00,16.25,15.56,15.88,35800.00,Alphavantage
2000-02-04,16.25,16.25,16.06,16.25,24300.00,Alphavantage
2000-02-07,16.25,17.13,15.88,17.13,7900.00,Alphavantage
2000-02-08,16.81,17.63,16.38,17.19,4700.00,Alphavantage
2000-02-09,17.63,17.63,16.75,17.13,9200.00,Alphavantage
2000-02-10,18.06,18.25,17.50,17.50,28400.00,Alphavantage
2000-02-11,17.50,18.50,17.31,17.75,20700.00,Alphavantage
2000-02-14,18.00,18.00,16.50,16.75,13800.00,Alphavantage
2000-02-15,16.63,17.25,16.63,16.63,62900.00,Alphavantage
2000-02-16,16.75,17.25,16.69,16.72,127600.00,Alphavantage
2000-02-17,16.50,17.00,16.38,16.75,41400.00,Alphavantage
2000-02-18,16.38,17.38,16.38,16.50,49600.00,Alphavantage
2000-02-22,16.38,16.69,16.38,16.50,12600.00,Alphavantage
2000-02-23,16.50,16.56,16.13,16.25,12800.00,Alphavantage
2000-02-24,16.00,16.75,16.00,16.38,29800.00,Alphavantage
2000-02-25,16.63,16.88,16.25,16.88,23400.00,Alphavantage
2000-02-28,17.38,17.75,16.50,17.38,7600.00,Alphavantage
2000-02-29,17.38,18.00,17.38,18.00,15300.00,Alphavantage
2000-03-01,18.00,19.50,17.75,18.88,20600.00,Alphavantage
2000-03-02,18.38,18.88,18.00,18.00,3000.00,Alphavantage
2000-03-03,18.88,19.00,17.75,17.75,19200.00,Alphavantage
2000-03-06,18.00,18.63,17.75,18.25,3300.00,Alphavantage
2000-03-07,18.00,18.25,17.56,17.56,7800.00,Alphavantage
2000-03-08,17.63,18.00,17.50,17.75,28100.00,Alphavantage
2000-03-09,17.75,18.00,17.00,17.38,25100.00,Alphavantage
2000-03-10,16.88,17.75,16.88,17.75,2900.00,Alphavantage
2000-03-13,16.69,18.06,16.69,18.06,2300.00,Alphavantage
2000-03-14,16.69,17.81,16.50,17.13,7700.00,Alphavantage
2000-03-15,17.13,19.00,16.00,18.00,62400.00,Alphavantage
2000-03-16,18.63,19.38,17.88,19.31,20600.00,Alphavantage
2000-03-17,18.81,19.25,18.00,18.75,8600.00,Alphavantage
2000-03-20,18.75,19.25,18.44,19.25,25500.00,Alphavantage
