date,open,high,low,close,volume,comment
2013-06-14,5776.81,5776.81,5776.81,5776.81,8.00,Alphavantage
2013-06-18,5754.59,5754.59,5754.59,5754.59,2.00,Alphavantage
2013-06-24,5663.00,5663.00,5645.08,5650.50,211.00,Alphavantage
2013-06-26,5654.49,5654.49,5654.49,5654.49,57.00,Alphavantage
2013-06-28,5756.56,5756.56,5756.56,5756.56,5.00,Alphavantage
2013-07-02,5761.00,5761.00,5761.00,5761.00,296.00,Alphavantage
2013-07-04,5783.85,5783.85,5783.85,5783.85,1.00,Alphavantage
2013-07-09,5960.00,5960.00,5960.00,5960.00,148.00,Alphavantage
2013-07-16,5928.53,5928.92,5928.53,5928.53,52.00,Alphavantage
2013-07-18,5848.93,5848.93,5848.93,5848.93,122.00,Alphavantage
2013-07-22,5853.31,5853.50,5853.31,5853.31,4.00,Alphavantage
2013-07-30,5773.88,5774.06,5773.88,5773.88,124.00,Alphavantage
2013-08-07,5703.00,5703.00,5702.44,5702.44,120.00,Alphavantage
2013-09-03,5856.96,5857.34,5856.96,5857.34,124.00,Alphavantage
2013-09-11,5714.83,5714.83,5714.83,5714.83,49.00,Alphavantage
2013-09-13,5738.00,5738.00,5738.00,5738.00,434.00,Alphavantage
2013-09-23,5564.77,5564.77,5564.77,5564.77,6.00,Alphavantage
2013-09-25,5613.65,5613.83,5613.65,5613.65,218.00,Alphavantage
2013-09-27,5573.67,5573.67,5573.67,5573.67,6.00,Alphavantage
2013-10-07,5588.05,5588.05,5588.05,5588.05,328.00,Alphavantage
2013-10-09,5643.57,5643.57,5643.39,5643.39,108.00,Alphavantage
2013-10-17,5620.06,5620.06,5620.06,5620.06,42.00,Alphavantage
2013-10-22,5593.90,5593.90,5593.55,5593.55,2.00,Alphavantage
2013-10-28,5537.76,5537.76,5537.42,5537.76,46.00,Alphavantage
2013-10-31,5561.00,5561.00,5561.00,5561.00,100.00,Alphavantage
2014-01-16,5363.00,5363.00,5363.00,5363.00,210.00,Alphavantage
2014-01-22,5286.00,5293.00,5286.00,5286.00,374.00,Alphavantage
2014-02-12,5398.00,5398.00,5398.00,5398.00,4619.00,Alphavantage
2014-04-24,5582.00,5582.00,5582.00,5582.00,900.00,Alphavantage
2014-05-14,5559.00,5559.00,5559.00,5559.00,9.00,Alphavantage
2014-06-04,5469.00,5490.00,5469.00,5483.00,24.00,Alphavantage
2014-06-13,5475.00,5475.00,5471.00,5471.00,444.00,Alphavantage
2014-08-18,5270.00,5283.00,5270.00,5270.00,786.00,Alphavantage
2014-08-27,5363.00,5363.00,5363.00,5363.00,228.00,Alphavantage
2014-09-24,5117.00,5117.00,5112.00,5112.00,38.00,Alphavantage
2014-10-14,5159.00,5159.00,5159.00,5159.00,5000.00,Alphavantage
2014-10-21,5034.00,5037.00,5014.80,5023.50,84144.00,Alphavantage
2014-11-11,5079.00,5081.00,5079.00,5081.00,982.00,Alphavantage
2014-11-17,5131.00,5142.00,5131.00,5131.00,388.00,Alphavantage
2014-11-20,5112.00,5112.00,5111.00,5111.00,390.00,Alphavantage
2014-11-28,4986.00,4986.00,4986.00,4986.00,5000.00,Alphavantage
2014-12-05,4883.00,4883.00,4883.00,4883.00,5000.00,Alphavantage
2014-12-09,4844.10,4844.10,4844.10,4844.10,4134.00,Alphavantage
2014-12-18,4708.00,4708.00,4708.00,4708.00,5000.00,Alphavantage
2015-01-05,4617.00,4617.00,4617.00,4617.00,5000.00,Alphavantage
2015-01-06,4588.00,4588.00,4588.00,4588.00,5000.00,Alphavantage
2015-01-08,4594.00,4594.00,4582.00,4582.00,10000.00,Alphavantage
2015-01-09,4577.09,4577.09,4577.09,4577.09,13100.00,Alphavantage
2015-01-19,4500.00,4500.00,4500.00,4500.00,222.00,Alphavantage
2015-01-21,4459.00,4461.00,4459.00,4461.00,5222.00,Alphavantage
2015-01-23,4497.00,4497.00,4473.00,4473.00,10000.00,Alphavantage
2015-01-26,4412.00,4412.00,4412.00,4412.00,5000.00,Alphavantage
2015-01-27,4434.00,4434.00,4434.00,4434.00,5000.00,Alphavantage
2015-01-29,4381.00,4381.00,4381.00,4381.00,2500.00,Alphavantage
2015-01-30,4382.00,4382.00,4382.00,4382.00,5000.00,Alphavantage
2015-02-03,4566.00,4604.00,4566.00,4579.50,15000.00,Alphavantage
2015-02-04,4583.00,4583.00,4583.00,4583.00,2510.00,Alphavantage
2015-02-05,4471.00,4491.00,4471.00,4491.00,20481.00,Alphavantage
2015-02-06,4551.00,4551.00,4550.00,4551.00,8173.00,Alphavantage
2015-02-09,4613.00,4613.00,4613.00,4613.00,150.00,Alphavantage
2015-02-10,4578.00,4584.00,4578.00,4578.00,6071.00,Alphavantage
2015-02-11,4508.00,4518.00,4503.00,4504.00,1224.00,Alphavantage
2015-02-12,4544.00,4544.00,4518.00,4518.00,7992.00,Alphavantage
2015-02-13,4596.00,4596.00,4547.00,4583.00,582.00,Alphavantage
2015-02-16,4625.00,4625.00,4605.00,4625.00,505.00,Alphavantage
2015-02-24,4486.00,4486.00,4486.00,4486.00,1001.00,Alphavantage
2015-02-25,4473.00,4473.00,4464.00,4464.00,1235.00,Alphavantage
2015-02-26,4534.00,4534.00,4534.00,4534.00,1761.00,Alphavantage
2015-02-27,4523.00,4537.00,4523.00,4533.00,1766.00,Alphavantage
2015-03-02,4547.00,4547.00,4547.00,4547.00,878.00,Alphavantage
2015-03-03,4553.00,4553.00,4524.00,4526.00,278.00,Alphavantage
2015-03-04,4524.00,4534.00,4524.00,4533.00,1212.00,Alphavantage
2015-03-05,4564.00,4564.00,4564.00,4564.00,54.00,Alphavantage
2015-03-06,4530.00,4568.00,4530.00,4568.00,10220.00,Alphavantage
2015-03-13,4543.00,4543.00,4530.00,4543.00,1354.00,Alphavantage
2015-03-16,4455.00,4494.00,4455.00,4455.00,58.00,Alphavantage
2015-03-17,4455.00,4461.00,4455.00,4455.00,87.00,Alphavantage
2015-03-18,4435.00,4435.00,4435.00,4435.00,5000.00,Alphavantage
2015-03-19,4466.50,4466.50,4466.50,4466.50,334.00,Alphavantage
2015-03-20,4496.00,4507.00,4482.00,4507.00,1278.00,Alphavantage
2015-03-23,4537.00,4543.00,4524.00,4543.00,714.00,Alphavantage
2015-03-24,4566.00,4566.00,4523.00,4548.00,2235.00,Alphavantage
2015-03-25,4538.00,4538.00,4538.00,4538.00,1650.00,Alphavantage
2015-03-26,4619.00,4619.00,4619.00,4619.00,2054.00,Alphavantage
2015-03-27,4560.00,4587.00,4546.00,4546.00,1094.00,Alphavantage
2015-03-30,4535.00,4538.00,4533.00,4538.00,1191.00,Alphavantage
2015-03-31,4516.00,4517.00,4516.00,4516.00,232.00,Alphavantage
2015-04-01,4516.00,4516.00,4516.00,4516.00,220.00,Alphavantage
2015-04-02,4567.00,4567.00,4545.00,4545.00,1107.00,Alphavantage
2015-04-07,4573.00,4573.00,4573.00,4573.00,5340.00,Alphavantage
2015-04-08,4571.00,4571.00,4565.00,4565.00,339.00,Alphavantage
