date,open,high,low,close,volume,comment
2012-05-25,50.30,50.40,50.30,50.30,792.00,Alphavantage
2012-05-31,50.28,50.28,50.28,50.28,2800.00,Alphavantage
2012-06-08,50.63,50.63,50.63,50.63,4239.00,Alphavantage
2012-06-11,50.48,50.48,50.48,50.48,4239.00,Alphavantage
2012-06-27,51.00,51.00,51.00,51.00,47897.00,Alphavantage
2012-06-28,51.05,51.09,51.05,51.09,9000.00,Alphavantage
2012-06-29,50.81,50.81,50.54,50.54,4134.00,Alphavantage
2012-07-02,50.87,50.87,50.87,50.87,1570.00,Alphavantage
2012-07-13,52.16,52.16,52.08,52.10,4285.00,Alphavantage
2012-07-16,52.17,52.48,52.16,52.48,152699.00,Alphavantage
2012-07-17,52.54,52.58,52.38,52.52,113700.00,Alphavantage
2012-07-18,52.80,52.88,52.63,52.88,14976.00,Alphavantage
2012-07-19,52.81,52.88,52.70,52.87,40417.00,Alphavantage
2012-07-20,53.00,53.02,52.69,52.70,1181.00,Alphavantage
2012-07-23,52.71,53.15,52.61,52.93,516.00,Alphavantage
2012-07-24,52.71,52.81,52.43,52.51,1314.00,Alphavantage
2012-07-25,52.79,53.23,52.46,52.46,513.00,Alphavantage
2012-07-26,52.50,52.89,52.44,52.77,4553.00,Alphavantage
2012-07-27,52.79,52.79,52.56,52.72,7924.00,Alphavantage
2012-07-30,52.83,52.83,52.70,52.77,5371.00,Alphavantage
2012-07-31,52.99,53.26,52.78,53.17,1795.00,Alphavantage
2012-08-01,52.94,53.13,52.50,52.94,449.00,Alphavantage
2012-08-02,53.41,53.41,52.73,52.93,376.00,Alphavantage
2012-08-03,53.17,53.60,52.79,53.01,3574.00,Alphavantage
2012-08-06,53.14,53.38,53.10,53.25,3369.00,Alphavantage
2012-08-07,53.30,53.61,52.76,52.76,4932.00,Alphavantage
2012-08-08,52.84,53.23,52.46,53.14,698.00,Alphavantage
2012-08-09,53.15,53.50,52.83,52.83,1256.00,Alphavantage
2012-08-10,53.05,53.09,53.02,53.06,336.00,Alphavantage
2012-08-13,53.25,53.30,52.94,53.30,43.00,Alphavantage
2012-08-14,53.36,53.36,52.94,52.94,1079.00,Alphavantage
2012-08-15,52.72,53.20,52.61,52.72,669.00,Alphavantage
2012-08-16,52.99,53.46,52.66,52.84,31314.00,Alphavantage
2012-08-17,53.04,53.17,52.75,53.15,480.00,Alphavantage
2012-08-20,53.30,53.30,52.70,53.30,1038.00,Alphavantage
2012-08-21,53.10,53.53,52.96,53.05,13866.00,Alphavantage
2012-08-22,53.55,53.55,52.87,53.28,1349.00,Alphavantage
2012-08-23,53.02,53.52,53.02,53.51,916.00,Alphavantage
2012-08-24,53.66,53.67,52.85,53.27,3163.00,Alphavantage
2012-08-28,53.82,53.83,53.78,53.83,308.00,Alphavantage
2012-08-29,53.89,53.89,53.71,53.71,756.00,Alphavantage
2012-08-30,53.37,53.85,53.37,53.66,794.00,Alphavantage
2012-08-31,53.35,53.87,53.32,53.74,838.00,Alphavantage
2012-09-03,53.60,54.14,53.11,53.73,6864.00,Alphavantage
