date,open,high,low,close,volume,comment
2015-04-15,2102.43,2133.74,2090.13,2119.74,4358123.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-16,2171.07,2230.29,2167.42,2175.40,9928192.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-17,2167.42,2179.73,2143.60,2161.71,6218277.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-20,2173.25,2184.78,2165.24,2174.68,4395811.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-21,2163.84,2197.17,2158.78,2178.32,3967791.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-22,2184.78,2189.11,2150.61,2156.61,4654763.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-23,2160.09,2175.39,2144.81,2165.20,3944395.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-24,2178.33,2190.69,2152.83,2164.46,3626012.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-27,2171.04,2179.98,2133.17,2168.11,3297753.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-28,2160.09,2162.51,2114.12,2131.72,3556835.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-29,2137.57,2140.45,2069.86,2071.33,4509860.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-30,2071.33,2089.52,2049.70,2085.86,4968271.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-01,2091.71,2103.33,2059.67,2092.43,1979193.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-05,2113.54,2123.71,2059.67,2062.59,6299199.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-06,2068.41,2087.35,2053.82,2053.82,5262125.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-07,2072.04,2074.94,2029.83,2064.05,5060466.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-08,2080.77,2112.06,2049.47,2106.22,5085905.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-11,2098.25,2112.06,2066.26,2077.86,3066166.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-12,2066.96,2069.16,2035.65,2051.66,3952641.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-13,2061.86,2069.39,2043.63,2050.21,3968548.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-14,2053.82,2079.30,2034.93,2077.86,2680119.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-15,2080.77,2096.06,2059.67,2070.57,3588899.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-18,2068.41,2085.15,2048.02,2077.86,2339772.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
