date,open,high,low,close,volume,comment
2015-04-15,17.71,17.74,17.63,17.66,20767.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-16,17.72,17.72,17.49,17.50,50965.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-17,17.54,17.57,17.18,17.22,28165.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-20,17.34,17.39,17.29,17.38,20722.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-21,17.48,17.52,17.40,17.49,76196.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-22,17.63,17.63,17.22,17.27,63394.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-23,17.20,17.27,17.13,17.27,40188.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-24,17.37,17.44,17.28,17.30,19021.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-27,17.39,17.51,17.21,17.44,26683.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-28,17.32,17.33,17.13,17.13,16847.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-29,17.19,17.19,16.96,16.96,11089.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-30,16.90,17.12,16.82,17.12,41812.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-01,17.19,17.39,17.12,17.37,54466.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-05,17.40,17.49,17.18,17.18,25046.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-06,17.19,17.25,17.18,17.18,16483.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-07,17.14,17.23,17.12,17.21,50310.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-08,16.98,17.28,16.95,17.21,25155.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-11,17.09,17.24,16.97,16.97,31499.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-12,16.95,16.95,16.74,16.84,71340.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-13,16.96,16.99,16.96,16.97,36523.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-14,16.95,17.17,16.94,17.13,13603.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-15,17.17,17.18,17.00,17.03,14432.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-18,17.14,17.21,17.10,17.10,5137.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-19,17.21,17.38,17.17,17.30,29629.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-20,17.26,17.30,17.21,17.30,21105.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-21,17.24,17.27,17.13,17.23,122081.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-22,17.29,17.34,17.23,17.24,29049.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-26,17.18,17.20,16.97,16.97,41753.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-27,17.07,17.23,17.02,17.21,24718.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-28,17.28,17.37,17.22,17.22,5229.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-29,17.21,17.29,17.16,17.16,13742.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-01,17.11,17.18,17.02,17.14,15370.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-02,17.22,17.30,17.06,17.20,18956.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-03,17.19,17.49,17.19,17.49,34468.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-04,17.27,17.37,17.16,17.37,11383.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-05,17.25,17.25,16.90,16.95,30073.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-08,16.94,16.97,16.89,16.97,17660.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-09,16.98,16.98,16.78,16.88,187105.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-10,16.83,16.95,16.83,16.95,12062.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-11,17.06,17.16,17.03,17.04,17886.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-12,16.97,16.97,16.73,16.76,8814.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-15,16.64,16.67,16.50,16.54,44185.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-16,16.48,16.49,16.34,16.49,97113.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-17,16.48,16.55,16.32,16.38,28838.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-18,15.96,16.11,15.78,16.11,38725.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
