date,open,high,low,close,volume,comment
2015-04-15,26.88,27.06,26.86,27.01,7634.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-16,27.05,27.05,26.77,26.89,18972.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-17,26.89,26.96,26.46,26.46,26240.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-20,26.55,26.85,26.55,26.85,8486.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-21,27.04,27.04,26.81,26.84,31162.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-22,26.88,26.89,26.45,26.64,11649.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-23,26.68,26.74,26.58,26.71,21271.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-24,26.80,26.82,26.67,26.73,6951.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-27,26.65,26.97,26.65,26.84,20429.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-28,26.73,26.73,26.47,26.60,11839.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-29,26.58,26.58,26.31,26.32,9188.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-30,26.25,26.41,26.12,26.41,15979.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-01,26.22,26.66,26.22,26.64,9686.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-05,26.79,26.89,26.48,26.50,45692.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-06,26.43,26.56,26.26,26.39,4591.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-07,26.22,26.35,26.02,26.28,15562.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-08,25.95,26.37,25.95,26.35,33303.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-11,26.31,26.39,25.99,25.99,16339.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-12,25.82,25.90,25.64,25.81,9343.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-13,25.86,25.98,25.78,25.82,21012.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-14,25.70,25.93,25.70,25.93,20482.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
