date,open,high,low,close,volume,comment
2015-04-15,192.00,193.65,190.93,191.27,60543236.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-16,192.08,193.10,190.25,190.84,68350325.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-17,191.14,192.73,189.50,190.00,93816720.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-20,192.56,193.01,190.00,190.00,57424660.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-21,193.01,193.56,190.29,190.42,59502894.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-22,191.72,192.13,189.33,190.93,59926758.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-23,191.67,193.86,190.67,193.31,70460399.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-24,193.77,197.39,193.41,194.92,78857324.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-27,194.74,196.53,192.34,195.19,59987297.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-28,194.28,195.04,191.01,192.80,66931935.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-29,194.74,196.40,192.76,193.36,81042062.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-30,194.20,195.02,191.83,193.47,80006849.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-01,192.51,193.06,191.22,193.01,37740596.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-05,194.28,195.67,191.80,191.80,91797140.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-06,193.01,195.57,191.92,194.87,84065950.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-07,194.69,195.24,190.47,194.52,84022806.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-08,198.14,198.78,193.61,195.80,98435135.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-11,195.00,198.40,193.61,197.01,65551911.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-12,196.30,196.89,192.00,196.03,93747505.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-13,195.89,198.95,195.29,197.94,90422803.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-14,197.13,198.19,195.57,197.57,57006715.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-15,197.44,198.85,195.92,196.80,76708904.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-18,197.85,198.07,195.19,196.46,68589887.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-19,193.01,193.86,188.73,190.17,158548394.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-20,196.40,200.75,195.00,200.46,181294202.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-21,200.83,203.95,200.51,203.53,91203793.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-22,211.94,214.85,207.31,212.97,184455623.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-26,214.01,214.43,209.63,210.47,89489616.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-27,209.96,212.76,208.20,211.09,83780818.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-28,210.66,212.91,209.83,212.91,64139147.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-29,212.62,216.47,212.62,214.31,130546187.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-01,213.59,215.56,212.78,213.43,81178454.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-02,214.01,214.98,211.88,213.68,81270837.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-03,212.09,212.57,209.29,210.15,99936502.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-04,209.63,211.04,207.94,208.24,74439955.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-05,213.18,216.52,203.16,203.21,164199595.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-08,204.33,207.00,203.28,204.80,74449772.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-09,204.80,205.93,201.76,203.82,66936108.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-10,202.34,205.33,201.55,204.87,87734304.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-11,204.20,206.52,203.60,205.32,81187162.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-12,204.03,204.77,202.17,202.99,56511944.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-15,201.80,202.69,200.19,200.29,40398313.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-16,200.00,202.99,198.77,202.33,61802624.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-17,202.80,202.89,199.67,199.67,55932047.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-18,199.82,202.33,197.39,201.94,67771230.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-19,201.72,204.37,201.03,202.42,122718536.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-22,205.28,207.89,204.33,207.32,73962487.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-23,208.44,210.32,208.02,208.75,60306566.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-24,208.80,209.54,206.75,207.71,54091132.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-25,207.27,209.65,206.62,207.36,45612389.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-26,205.89,206.93,204.37,205.53,44305508.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-29,200.16,203.51,199.38,201.69,66929058.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-30,201.80,202.94,199.13,199.13,81292134.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-01,201.51,204.73,200.65,202.94,65038264.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-02,203.69,204.65,202.54,204.37,38203724.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-03,202.89,203.90,199.15,200.19,56095691.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-06,197.73,202.03,197.73,200.19,58040315.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-07,200.47,200.55,195.35,195.35,63880500.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-08,196.07,199.09,195.42,198.47,63907993.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-09,198.68,200.51,197.63,199.29,55946411.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-10,206.62,206.62,202.64,204.20,75146717.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-13,206.20,206.37,204.46,204.93,56587785.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-14,204.77,206.10,203.73,206.10,46168960.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-15,203.60,205.95,202.42,204.20,52643965.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-16,204.68,206.67,203.94,206.20,52359571.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-17,205.80,206.28,204.81,205.67,56341302.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-20,204.68,207.92,204.64,207.05,31550978.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-21,206.85,207.27,203.89,204.37,46571056.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-22,202.89,203.46,200.43,201.51,51368979.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-23,202.74,203.55,200.68,200.95,52401929.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-24,206.23,209.96,204.03,206.57,98854562.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-27,206.00,207.27,203.25,204.20,59684525.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-28,205.32,205.63,203.22,203.99,46398515.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-29,204.77,209.54,204.77,208.75,67114044.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-30,209.22,210.45,206.97,208.85,65173088.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-31,209.65,209.79,208.14,209.54,71023722.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-03,208.96,210.32,208.62,209.13,40781941.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-04,209.10,210.22,207.32,208.85,39975072.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-05,209.32,213.16,208.18,213.16,79673014.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-06,213.10,214.10,211.71,212.79,44277390.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-07,212.04,212.63,209.54,209.54,41022297.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-10,211.13,211.82,208.36,211.60,37766465.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-11,210.66,210.66,208.44,209.06,41260210.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-12,207.49,207.89,203.36,204.86,77545968.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-13,207.66,209.88,206.88,207.44,49436730.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-14,207.92,208.40,206.33,207.05,43666940.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-17,208.31,208.75,205.10,207.15,28920579.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-18,206.97,208.66,206.47,207.57,37187092.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-19,206.97,207.52,203.60,203.60,70256386.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-20,201.85,203.52,201.03,201.38,57639509.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-21,199.20,200.98,194.83,194.83,79013430.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-24,187.72,191.39,181.60,185.86,143586011.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-25,187.96,193.47,187.40,189.88,133519164.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-26,187.88,192.34,185.64,187.80,74944757.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-27,191.87,196.30,191.38,195.20,82783740.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-28,194.87,196.40,193.13,196.40,83653473.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-01,193.56,194.73,189.50,190.57,73793817.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-02,191.91,194.83,189.84,192.34,53795549.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-03,194.26,197.12,194.20,196.55,54762121.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-04,195.18,196.16,193.09,193.22,54211948.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-07,195.04,196.07,193.65,195.47,29164595.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-08,196.55,199.85,196.37,196.82,44198608.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-09,200.16,201.72,198.21,198.90,50386275.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-10,197.21,199.60,196.65,196.74,63568455.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-11,194.65,194.87,192.18,193.99,72773120.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
