date,open,high,low,close,volume,comment
2025-03-17,137.62,137.62,137.62,137.62,0.00,FTFeed
2025-03-18,137.42,137.42,137.42,137.42,0.00,FTFeed
2025-03-19,137.97,137.97,137.97,137.97,0.00,FTFeed
2025-03-20,137.64,137.64,137.64,137.64,0.00,FTFeed
2025-03-21,136.18,136.18,136.18,136.18,0.00,FTFeed
2025-03-24,135.93,135.93,135.93,135.93,0.00,FTFeed
2025-03-25,135.65,135.65,135.65,135.65,0.00,FTFeed
2025-03-26,136.41,136.41,136.41,136.41,0.00,FTFeed
2025-03-27,135.53,135.53,135.53,135.53,0.00,FTFeed
2025-03-28,136.43,136.43,136.43,136.43,0.00,FTFeed
2025-03-31,136.61,136.61,136.61,136.61,0.00,FTFeed
2025-04-01,137.17,137.17,137.17,137.17,0.00,FTFeed
2025-04-02,136.99,136.99,136.99,136.99,0.00,FTFeed
2025-04-03,137.67,137.67,137.67,137.67,0.00,FTFeed
2025-04-04,138.04,138.04,138.04,138.04,0.00,FTFeed
2025-04-07,134.79,134.79,134.79,134.79,0.00,FTFeed
2025-04-08,134.48,134.48,134.48,134.48,0.00,FTFeed
2025-04-09,131.59,131.59,131.59,131.59,0.00,FTFeed
2025-04-10,133.69,133.69,133.69,133.69,0.00,FTFeed
2025-04-11,131.14,131.14,131.14,131.14,0.00,FTFeed
2025-04-14,132.63,132.63,132.63,132.63,0.00,FTFeed
2025-04-15,132.20,132.20,132.20,132.20,0.00,FTFeed
2025-04-16,133.67,133.67,133.67,133.67,0.00,FTFeed
