date,open,high,low,close,volume,comment
2021-09-03,955.25,955.25,940.00,942.50,1890.00,FTFeed
2021-09-02,955.25,955.25,938.16,942.75,1630.00,FTFeed
2021-09-01,935.00,945.11,935.00,936.38,5070.00,FTFeed
2021-08-31,936.75,945.84,936.75,941.50,7130.00,FTFeed
2021-08-27,942.00,942.00,939.63,940.38,1820.00,FTFeed
2021-08-26,935.75,935.88,934.86,935.00,3000.00,FTFeed
2021-08-25,934.50,935.00,932.63,936.75,3520.00,FTFeed
2021-08-24,930.00,930.00,923.41,931.63,408.00,FTFeed
2021-08-23,918.79,918.79,918.66,919.00,5030.00,FTFeed
2021-08-20,913.50,918.55,913.25,914.88,6860.00,FTFeed
2021-08-19,915.00,915.00,911.05,911.25,2380.00,FTFeed
2021-08-18,929.50,929.50,925.25,925.38,2810.00,FTFeed
2021-08-17,933.25,933.25,930.15,931.63,2450.00,FTFeed
2021-08-16,928.25,928.25,928.00,929.00,4240.00,FTFeed
2021-08-13,934.25,934.93,932.66,932.13,2290.00,FTFeed
2021-08-12,928.50,928.50,928.50,926.13,1760.00,FTFeed
2021-08-11,927.00,927.90,919.75,920.63,8460.00,FTFeed
2021-08-10,916.00,922.93,912.48,922.50,8720.00,FTFeed
2021-08-09,913.25,913.40,906.95,908.63,9170.00,FTFeed
2021-08-06,926.25,928.75,925.15,923.63,3210.00,FTFeed
2021-08-05,920.86,920.86,918.41,926.13,3280.00,FTFeed
2021-08-04,927.25,928.11,923.41,923.63,11680.00,FTFeed
