date,open,high,low,close,volume,comment
2020-06-15,18.16,18.16,18.16,18.16,82.00,Alphavantage
2020-06-16,18.87,18.87,18.87,18.87,0.00,Alphavantage
2020-06-17,19.01,19.01,19.01,19.01,0.00,Alphavantage
2020-06-18,19.11,19.11,19.11,19.11,0.00,Alphavantage
2020-06-19,19.36,19.36,19.32,19.32,416.00,Alphavantage
2020-06-22,19.07,19.07,19.07,19.07,0.00,Alphavantage
2020-06-23,19.27,19.27,19.27,19.27,0.00,Alphavantage
2020-06-24,18.83,18.83,18.83,18.83,0.00,Alphavantage
2020-06-25,18.83,18.83,18.83,18.83,0.00,Alphavantage
2020-06-26,18.86,18.86,18.86,18.86,0.00,Alphavantage
2020-06-29,18.89,18.89,18.89,18.89,1323.00,Alphavantage
2020-06-30,19.00,19.00,19.00,19.00,270.00,Alphavantage
2020-07-01,19.01,19.01,19.01,19.01,0.00,Alphavantage
2020-07-03,19.15,19.15,19.15,19.15,0.00,Alphavantage
2020-07-06,19.50,19.50,19.50,19.50,0.00,Alphavantage
2020-07-07,19.34,19.34,19.34,19.34,0.00,Alphavantage
2020-07-08,19.12,19.12,19.12,19.12,0.00,Alphavantage
2020-07-09,19.21,19.21,19.21,19.21,25.00,Alphavantage
2020-07-10,19.10,19.10,19.10,19.10,0.00,Alphavantage
2020-07-13,19.53,19.53,19.53,19.53,0.00,Alphavantage
2020-07-14,19.28,19.28,19.28,19.28,0.00,Alphavantage
2020-07-15,19.56,19.56,19.56,19.56,0.00,Alphavantage
2020-07-16,19.41,19.41,19.41,19.41,0.00,Alphavantage
2020-07-17,19.58,19.58,19.58,19.58,510.00,Alphavantage
2020-07-20,19.54,19.54,19.54,19.54,0.00,Alphavantage
2020-07-21,19.61,19.61,19.61,19.61,0.00,Alphavantage
2020-07-22,19.57,19.57,19.57,19.57,276.00,Alphavantage
2020-07-27,19.16,19.16,19.16,19.16,0.00,Alphavantage
2020-07-29,19.12,19.12,19.12,19.12,0.00,Alphavantage
2020-07-30,18.80,18.80,18.80,18.80,0.00,Alphavantage
2020-07-31,18.59,18.59,18.59,18.59,0.00,Alphavantage
2020-08-06,19.00,19.00,19.00,19.00,0.00,Alphavantage
2020-08-07,19.10,19.10,19.10,19.10,261.00,Alphavantage
2020-08-11,19.30,19.30,19.30,19.30,0.00,Alphavantage
2020-08-12,19.48,19.48,19.48,19.48,256.00,Alphavantage
2020-08-13,19.32,19.32,19.32,19.32,10625.00,Alphavantage
2020-08-14,19.35,19.35,19.35,19.35,129.00,Alphavantage
2020-08-19,19.39,19.39,19.39,19.39,0.00,Alphavantage
2020-08-20,19.31,19.31,19.31,19.31,0.00,Alphavantage
2020-08-21,19.40,19.40,19.40,19.40,0.00,Alphavantage
2020-08-24,19.61,19.61,19.61,19.61,0.00,Alphavantage
2020-08-26,19.69,19.69,19.69,19.69,0.00,Alphavantage
2020-08-27,19.81,19.81,19.81,19.81,0.00,Alphavantage
2020-08-28,19.62,19.62,19.62,19.62,0.00,Alphavantage
2020-09-01,19.48,19.48,19.48,19.48,0.00,Alphavantage
2020-09-02,19.86,19.86,19.86,19.86,0.00,Alphavantage
2020-09-03,19.55,19.55,19.55,19.55,0.00,Alphavantage
2020-09-04,19.55,19.55,19.55,19.55,73223.00,Alphavantage
2020-09-07,19.49,19.49,19.49,19.49,0.00,Alphavantage
2020-09-08,19.31,19.31,19.31,19.31,0.00,Alphavantage
2020-09-09,19.57,19.57,19.57,19.57,0.00,Alphavantage
2020-09-10,19.87,19.87,19.87,19.87,0.00,Alphavantage
2020-09-11,19.82,19.82,19.82,19.82,0.00,Alphavantage
2020-09-14,19.89,19.89,19.89,19.89,0.00,Alphavantage
2020-09-15,20.03,20.03,20.03,20.03,0.00,Alphavantage
2020-09-16,19.90,19.90,19.90,19.90,0.00,Alphavantage
2020-09-17,19.62,19.62,19.62,19.62,127.00,Alphavantage
2020-09-18,19.64,19.64,19.64,19.64,0.00,Alphavantage
2020-09-21,19.24,19.24,19.24,19.24,0.00,Alphavantage
2020-09-22,19.48,19.48,19.48,19.48,0.00,Alphavantage
2020-09-23,19.55,19.55,19.55,19.55,0.00,Alphavantage
2020-09-24,19.28,19.28,19.28,19.28,0.00,Alphavantage
2020-09-25,19.41,19.41,19.41,19.41,0.00,Alphavantage
2020-09-28,19.64,19.64,19.64,19.64,0.00,Alphavantage
2020-09-29,19.58,19.58,19.58,19.58,103.00,Alphavantage
2020-09-30,19.64,19.64,19.64,19.64,0.00,Alphavantage
2020-10-01,19.76,19.76,19.76,19.76,0.00,Alphavantage
2020-10-02,19.56,19.56,19.56,19.56,0.00,Alphavantage
2020-10-05,19.73,19.73,19.73,19.73,0.00,Alphavantage
2020-10-06,19.78,19.78,19.78,19.78,0.00,Alphavantage
2020-10-07,19.79,19.79,19.79,19.79,147.00,Alphavantage
