date,open,high,low,close,volume,comment
2015-04-13,8234.00,8234.00,8207.00,8207.00,1950.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-14,8226.00,8240.58,8199.00,8199.00,238.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-15,8249.54,8249.54,8240.00,8240.00,1210.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-17,8265.42,8265.42,8192.00,8192.00,120.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-28,8023.44,8023.44,8006.00,8006.00,110.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-30,7880.00,7937.00,7880.00,7937.00,65.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-05,8045.00,8085.56,7980.00,7980.00,2384.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-11,7908.00,7964.56,7873.00,7873.00,467.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-19,7993.00,7993.00,7993.00,7993.00,5000.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-26,7975.08,7975.08,7889.00,7889.00,12.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-27,7892.00,7990.00,7892.00,7990.00,716.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-29,8013.56,8013.56,7983.00,7983.00,528.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-03,7951.52,7951.52,7926.00,7926.00,124.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-08,7784.46,7814.00,7784.46,7814.00,152.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-11,7763.58,7842.56,7763.58,7808.00,152.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-15,7709.46,7709.46,7683.00,7683.00,26.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-18,7585.44,7637.00,7585.44,7637.00,318.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-23,7846.42,7846.42,7803.00,7803.00,44.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-29,7587.18,7613.00,7584.00,7613.00,526.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-30,7530.84,7570.00,7530.84,7542.00,4915.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-06,7549.54,7549.54,7528.00,7528.00,528.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-17,7931.00,7931.00,7931.00,7931.00,2000.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-31,7671.46,7711.00,7671.46,7711.00,26.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-12,7679.46,7679.46,7600.00,7600.00,134.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-13,7750.00,7750.00,7750.00,7750.00,899.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
