date,open,high,low,close,volume,comment
2015-04-13,727.32,727.48,724.70,725.95,90462.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-14,725.09,728.69,724.83,726.98,65615.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-15,726.48,730.33,726.48,730.17,91802.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-16,732.91,732.91,726.40,726.70,162517.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-17,726.98,729.20,717.98,717.98,146264.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-20,724.03,725.95,723.23,725.21,65104.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-21,726.12,728.20,723.20,726.95,111567.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-22,729.06,729.06,720.71,723.20,58414.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-23,725.94,726.67,723.92,725.95,21333.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-24,730.23,732.53,728.20,731.17,219993.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-27,732.81,734.16,726.70,734.16,527724.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-28,728.96,728.96,722.70,726.45,87290.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-29,727.64,727.64,717.73,719.96,106386.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-30,717.12,719.96,714.98,719.96,172464.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-01,719.76,722.45,715.02,720.71,109308.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-05,726.95,727.81,715.73,715.73,295582.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-06,715.73,717.76,714.88,715.12,17758.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-07,711.70,713.73,704.11,713.73,85112.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-08,725.18,729.17,722.95,729.17,334387.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-11,726.20,732.66,726.20,727.08,90949.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-12,721.02,721.02,714.45,718.97,106970.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-13,720.71,722.70,718.10,718.97,63581.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-14,716.88,723.01,713.72,722.21,91261.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-15,723.94,725.70,718.22,720.21,248189.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-18,721.20,725.95,718.22,722.21,58684.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-19,722.97,725.08,721.96,722.95,67273.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-20,723.70,727.70,720.96,726.95,290565.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-21,725.45,729.82,725.45,728.93,30376.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-22,729.37,733.03,729.37,730.17,45983.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-26,725.83,729.42,720.96,721.62,47360.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-27,722.95,732.17,722.71,729.42,85174.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
