date,open,high,low,close,volume,comment
2015-03-05,5436.00,5436.00,5436.00,5436.00,448.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-06,5439.00,5439.00,5439.00,5439.00,50.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-09,5445.00,5445.00,5445.00,5445.00,36.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-10,5318.00,5318.00,5318.00,5318.00,224.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-11,5366.00,5397.00,5366.00,5397.00,715.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-13,5473.00,5473.00,5473.00,5473.00,534.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-16,5512.00,5512.00,5512.00,5512.00,138.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-17,5487.00,5487.00,5487.00,5487.00,90.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-18,5452.00,5485.00,5452.00,5485.00,611.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-23,5662.00,5662.00,5662.00,5662.00,362.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-24,5751.00,5751.00,5751.00,5751.00,279.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-26,5609.00,5633.00,5609.00,5633.00,7128.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-30,5698.00,5716.00,5698.00,5716.00,1654.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-31,5689.00,5689.00,5640.00,5640.00,10.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-01,5662.00,5714.00,5662.00,5692.00,1159.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-07,5812.00,5812.00,5800.00,5800.00,790.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-08,5809.00,5809.00,5720.00,5720.00,40.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-10,5789.00,5801.00,5789.00,5801.00,26300.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-13,5800.00,5814.00,5796.00,5803.00,4897.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-15,5776.50,5776.50,5776.50,5776.50,3090.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-17,5713.00,5713.00,5564.00,5564.00,252.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-21,5603.00,5613.00,5603.00,5613.00,160.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-23,5554.00,5592.00,5554.00,5592.00,8.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-29,5578.00,5578.00,5578.00,5578.00,3500.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-30,5603.00,5603.00,5603.00,5603.00,3500.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-06,5593.00,5677.00,5593.00,5677.00,7145.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-07,5657.00,5657.00,5657.00,5657.00,80.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-08,5600.00,5694.00,5600.00,5694.00,9667.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-12,5594.00,5594.00,5559.00,5559.00,1072.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-20,5768.00,5775.00,5768.00,5775.00,70.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-29,5819.00,5819.00,5781.00,5781.00,70.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
