date,open,high,low,close,volume,comment
2015-03-04,2195.61,2195.61,2195.61,2195.61,1263.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-05,2232.58,2232.58,2232.58,2232.58,250.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-06,2212.60,2212.60,2212.60,2212.60,286.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-09,2213.60,2213.60,2213.60,2213.60,6.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-11,2203.60,2203.60,2203.60,2203.60,160.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-16,2245.56,2245.56,2245.56,2245.56,142.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-18,2278.52,2278.52,2278.52,2278.52,256.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-19,2300.51,2303.51,2300.51,2303.51,4013.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-20,2313.49,2313.49,2313.49,2313.49,323.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-23,2323.48,2323.48,2323.48,2323.48,1284.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-25,2322.98,2322.98,2322.98,2322.98,920.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-27,2277.33,2285.52,2277.33,2285.52,2113.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-30,2306.31,2306.31,2305.41,2305.51,1058.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-31,2330.57,2330.57,2314.99,2314.99,600.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-07,2320.19,2358.40,2320.19,2346.46,1538.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-08,2363.54,2364.53,2313.49,2313.49,240.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-09,2370.93,2396.40,2370.93,2396.40,2119.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-21,2398.50,2398.50,2398.40,2398.40,414.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-23,2382.52,2382.52,2348.36,2365.43,64.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
