date,open,high,low,close,volume,comment
2020-09-01,525.53,0.00,0.00,532.24,0.00,Yahoo
2020-10-01,537.13,0.00,0.00,520.09,0.00,Yahoo
2020-11-01,516.13,0.00,0.00,545.48,0.00,Yahoo
2020-12-01,546.09,0.00,0.00,554.91,0.00,Yahoo
2021-01-01,558.88,0.00,0.00,542.39,0.00,Yahoo
2021-02-01,535.00,0.00,0.00,548.34,0.00,Yahoo
2021-03-01,546.49,0.00,0.00,560.02,0.00,Yahoo
2021-04-01,561.72,0.00,0.00,594.75,0.00,Yahoo
2021-05-01,592.13,0.00,0.00,589.05,0.00,Yahoo
2021-06-01,591.83,0.00,0.00,627.81,0.00,Yahoo
2021-07-01,629.03,0.00,0.00,646.55,0.00,Yahoo
2021-08-01,646.35,0.00,0.00,659.18,0.00,Yahoo
