date,open,high,low,close,volume,comment
2020-10-01,11989.07,0.00,0.00,11996.01,0.00,Yahoo
2020-11-01,11963.64,0.00,0.00,12253.62,0.00,Yahoo
2020-12-01,12236.03,0.00,0.00,12284.00,0.00,Yahoo
2021-01-01,12283.19,0.00,0.00,12243.73,0.00,Yahoo
2021-02-01,12252.19,0.00,0.00,12071.51,0.00,Yahoo
2021-03-01,12072.32,0.00,0.00,11927.38,0.00,Yahoo
2021-04-01,12024.09,0.00,0.00,12059.69,0.00,Yahoo
2021-05-01,12066.80,0.00,0.00,12075.25,0.00,Yahoo
2021-06-01,12108.16,0.00,0.00,12253.15,0.00,Yahoo
2021-07-01,12203.96,0.00,0.00,12345.15,0.00,Yahoo
2021-08-01,12413.48,0.00,0.00,12377.33,0.00,Yahoo
2021-09-01,12377.72,0.00,0.00,12377.72,0.00,Yahoo
