date,open,high,low,close,volume,comment
2021-07-05,243.75,249.68,243.75,249.68,2990930.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-06,248.23,249.14,245.36,247.16,3071426.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-07,248.50,252.91,247.43,251.74,3487434.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-08,250.12,251.12,246.63,248.86,4615780.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-09,250.21,254.97,249.77,254.90,4762616.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-12,254.17,254.80,249.58,254.44,3043671.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-13,254.17,256.87,254.08,256.23,4586622.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-14,255.25,255.61,252.28,252.91,2262053.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-15,251.65,252.82,248.69,250.12,4166832.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-16,252.55,252.82,248.50,250.04,3194033.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-19,247.96,247.96,239.62,240.87,3259283.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-20,244.74,246.98,241.05,245.81,4995632.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-21,247.51,253.81,246.26,253.81,3491562.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-22,255.52,257.58,253.45,254.62,3825197.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-23,255.97,257.94,254.70,256.60,3556559.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-26,254.25,257.85,253.90,256.15,2632947.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-27,253.90,255.78,251.65,254.97,3143991.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-28,253.18,256.60,253.18,255.07,3470060.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-29,258.58,260.00,253.99,258.58,5615650.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-30,255.97,258.38,254.70,255.16,4826687.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
