date,open,high,low,close,volume,comment
2015-04-13,5.51,5.51,5.49,5.49,652248.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-14,5.51,5.54,5.51,5.52,80396.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-15,5.71,5.71,5.71,5.71,5564.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-16,5.76,5.76,5.75,5.75,133896.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-17,5.85,5.85,5.85,5.85,2241822.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-20,5.81,5.81,5.74,5.81,73748.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-21,5.76,5.76,5.76,5.76,111328.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-22,5.74,5.76,5.74,5.76,138520.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-23,5.79,5.86,5.79,5.86,1100166.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-24,5.87,5.87,5.86,5.87,76514.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-27,5.81,5.82,5.81,5.82,611576.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-28,5.82,5.82,5.82,5.82,208573.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-29,5.77,5.78,5.77,5.78,37578.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-30,5.94,6.00,5.92,6.00,281410.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-01,6.03,6.03,6.03,6.03,3734.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-05,6.05,6.19,6.05,6.18,3056253.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-06,6.24,6.24,6.18,6.18,968800.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-07,6.15,6.17,6.00,6.00,1124913.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-08,5.98,6.05,5.97,6.04,281850.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-11,6.04,6.04,5.99,5.99,605403.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-12,6.08,6.16,6.08,6.16,196320.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-13,6.17,6.33,6.16,6.16,63033.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-14,6.15,6.20,6.15,6.19,1046120.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
