date,open,high,low,close,volume,comment
2005-01-04,745.00,762.50,745.00,753.00,18279539.00,Alphavantage
2005-01-05,749.50,754.50,744.00,744.50,14671930.00,Alphavantage
2005-01-06,747.00,750.00,738.00,744.00,11751800.00,Alphavantage
2005-01-07,740.50,759.00,740.50,750.00,18085439.00,Alphavantage
2005-01-10,749.00,749.50,737.50,739.50,12640280.00,Alphavantage
2005-01-11,743.00,744.50,734.00,736.50,16286030.00,Alphavantage
2005-01-12,739.00,740.50,726.50,728.00,20647150.00,Alphavantage
2005-01-13,733.50,735.00,728.00,729.00,18009570.00,Alphavantage
2005-01-14,732.50,742.00,725.00,740.00,26728830.00,Alphavantage
2005-01-17,746.00,753.00,741.00,746.00,12040920.00,Alphavantage
2005-01-18,742.50,746.00,734.50,742.00,14836150.00,Alphavantage
2005-01-19,742.00,748.50,736.00,738.50,14321140.00,Alphavantage
2005-01-20,740.00,741.50,733.00,734.00,12263290.00,Alphavantage
2005-01-21,738.00,738.00,723.00,725.50,12139200.00,Alphavantage
2005-01-24,725.00,725.00,716.00,721.00,10432490.00,Alphavantage
2005-01-25,719.00,735.50,718.00,726.00,16957980.00,Alphavantage
2005-01-26,727.00,732.50,725.50,728.50,22737891.00,Alphavantage
2005-01-27,728.00,728.00,717.50,725.50,42936113.00,Alphavantage
2005-01-28,729.50,729.50,720.00,722.00,16795369.00,Alphavantage
2005-01-31,720.00,725.50,716.00,723.50,21166250.00,Alphavantage
2005-02-01,721.50,729.00,720.50,729.00,8939559.00,Alphavantage
2005-02-02,729.00,739.00,728.50,739.00,17911070.00,Alphavantage
2005-02-03,736.00,741.50,731.00,736.00,20138760.00,Alphavantage
2005-02-04,740.00,743.00,734.50,735.50,30695859.00,Alphavantage
2005-02-07,742.00,750.00,740.00,750.00,25207859.00,Alphavantage
2005-02-08,748.00,754.00,742.00,745.00,34749602.00,Alphavantage
2005-02-09,745.00,749.00,735.50,738.00,35832578.00,Alphavantage
2005-02-10,734.50,743.50,734.50,737.50,16100360.00,Alphavantage
2005-02-11,737.00,747.00,737.00,738.50,19862109.00,Alphavantage
2005-02-14,736.00,745.50,736.00,743.00,10118260.00,Alphavantage
2005-02-15,745.00,753.00,744.50,751.00,19301840.00,Alphavantage
2005-02-16,752.50,755.00,739.50,745.00,18617250.00,Alphavantage
2005-02-17,740.00,755.00,735.00,740.00,28275570.00,Alphavantage
2005-02-18,741.50,754.50,737.50,752.00,71203961.00,Alphavantage
2005-02-21,752.00,763.00,750.50,754.50,17244170.00,Alphavantage
2005-02-22,754.50,763.50,753.50,759.00,43113910.00,Alphavantage
2005-02-23,755.00,770.00,755.00,756.50,23754551.00,Alphavantage
2005-02-24,753.00,756.50,748.50,750.50,12822260.00,Alphavantage
2005-02-25,756.00,758.00,749.00,756.00,8195715.00,Alphavantage
2005-02-28,758.00,758.00,740.50,740.50,60724801.00,Alphavantage
2005-03-01,738.00,748.00,735.50,743.50,62775410.00,Alphavantage
2005-03-02,733.00,737.00,729.50,737.00,13387840.00,Alphavantage
2005-03-03,733.00,739.00,729.50,732.00,15467720.00,Alphavantage
2005-03-04,732.00,738.00,731.00,737.00,13975290.00,Alphavantage
2005-03-07,739.50,741.50,733.00,736.00,9340961.00,Alphavantage
2005-03-08,737.00,739.00,732.00,736.00,16568480.00,Alphavantage
2005-03-09,740.00,742.50,738.00,740.50,26254320.00,Alphavantage
2005-03-10,739.00,750.50,737.00,745.50,23366279.00,Alphavantage
2005-03-11,745.50,760.00,745.50,758.00,27803199.00,Alphavantage
2005-03-14,759.50,760.50,753.50,757.50,15151160.00,Alphavantage
2005-03-15,758.50,759.50,752.00,756.50,17531561.00,Alphavantage
2005-03-16,755.50,758.50,749.00,753.00,19432711.00,Alphavantage
2005-03-17,755.00,757.50,747.00,748.00,16070490.00,Alphavantage
2005-03-18,750.00,759.00,747.50,749.50,19022439.00,Alphavantage
2005-03-21,749.50,751.00,742.00,746.50,13459180.00,Alphavantage
2005-03-22,748.50,758.50,745.50,754.50,18331770.00,Alphavantage
2005-03-23,749.00,760.50,747.50,757.50,60627633.00,Alphavantage
2005-03-24,758.00,762.00,754.50,758.00,25607840.00,Alphavantage
2005-03-29,759.00,760.00,753.50,758.00,25824039.00,Alphavantage
2005-03-30,755.00,764.00,745.50,751.50,27661029.00,Alphavantage
2005-03-31,757.00,758.50,743.50,746.00,20988039.00,Alphavantage
2005-04-01,747.00,763.50,746.00,758.50,22475539.00,Alphavantage
2005-04-04,760.00,760.00,751.00,757.50,13930320.00,Alphavantage
2005-04-05,764.00,788.00,755.50,779.00,58336961.00,Alphavantage
2005-04-06,783.00,786.50,776.00,786.50,23500961.00,Alphavantage
2005-04-07,785.50,792.50,783.00,790.50,34524332.00,Alphavantage
2005-04-08,792.50,792.50,783.00,788.00,21526340.00,Alphavantage
2005-04-11,786.00,795.50,785.00,791.50,63461754.00,Alphavantage
2005-04-12,789.00,797.00,789.00,792.00,11845150.00,Alphavantage
2005-04-13,795.00,798.00,782.00,787.50,22168580.00,Alphavantage
2005-04-14,785.00,792.50,783.50,787.50,17365760.00,Alphavantage
2005-04-15,782.50,792.50,782.50,787.50,14181030.00,Alphavantage
2005-04-18,781.00,782.50,767.50,770.50,15368760.00,Alphavantage
2005-04-19,770.50,777.50,766.00,777.00,35330879.00,Alphavantage
2005-04-20,776.50,783.00,771.50,773.50,36578359.00,Alphavantage
2005-04-21,773.50,782.00,769.00,772.50,43817621.00,Alphavantage
2005-04-22,772.00,773.50,767.50,770.00,17343730.00,Alphavantage
2005-04-25,768.00,784.00,765.00,782.00,14223870.00,Alphavantage
2005-04-26,782.00,782.00,770.00,775.00,16145860.00,Alphavantage
2005-04-27,775.00,782.00,772.00,776.00,43246613.00,Alphavantage
2005-04-28,775.50,782.00,767.00,777.50,15085280.00,Alphavantage
2005-04-29,770.00,776.50,768.00,774.00,10388310.00,Alphavantage
2005-05-03,778.00,784.00,770.50,782.50,10912400.00,Alphavantage
2005-05-04,787.00,789.00,777.00,788.50,12250420.00,Alphavantage
2005-05-05,790.00,798.00,789.00,795.00,16040880.00,Alphavantage
2005-05-06,795.00,798.00,789.00,791.00,11491590.00,Alphavantage
2005-05-09,792.00,792.00,783.00,788.00,12612490.00,Alphavantage
2005-05-10,790.00,792.00,783.00,784.50,18067189.00,Alphavantage
2005-05-11,786.00,797.00,783.00,793.00,17911461.00,Alphavantage
2005-05-12,800.00,802.50,796.50,799.50,11065140.00,Alphavantage
2005-05-13,797.00,809.00,795.00,808.00,15032080.00,Alphavantage
2005-05-16,802.50,806.50,796.50,805.00,10625780.00,Alphavantage
2005-05-17,809.00,809.50,801.50,805.00,18562131.00,Alphavantage
2005-05-18,807.50,812.50,804.50,810.00,15445030.00,Alphavantage
2005-05-19,811.50,811.50,799.50,805.50,18899779.00,Alphavantage
2005-05-20,806.00,811.00,801.00,808.00,8109688.00,Alphavantage
2005-05-23,805.50,808.50,798.50,802.50,13906840.00,Alphavantage
2005-05-24,801.50,807.50,800.00,804.50,19333170.00,Alphavantage
2005-05-25,801.50,806.00,795.50,799.00,12045930.00,Alphavantage
2005-05-26,800.00,808.00,791.00,795.50,11423610.00,Alphavantage
2005-05-27,796.00,801.00,794.50,796.00,10734030.00,Alphavantage
2005-05-31,795.00,800.00,789.00,790.50,23514490.00,Alphavantage
2005-06-01,791.00,796.00,787.50,793.50,19888301.00,Alphavantage
2005-06-02,793.00,797.00,785.50,787.50,18285109.00,Alphavantage
2005-06-03,788.50,792.00,780.00,787.50,19172510.00,Alphavantage
2005-06-06,788.50,792.00,784.00,787.50,10743860.00,Alphavantage
2005-06-07,797.00,812.50,797.00,811.50,22523449.00,Alphavantage
2005-06-08,806.50,813.50,804.00,807.00,12138670.00,Alphavantage
2005-06-09,803.00,811.50,803.00,809.50,15382300.00,Alphavantage
2005-06-10,809.50,818.50,806.50,813.00,12741830.00,Alphavantage
2005-06-13,811.50,814.00,806.00,813.00,13667200.00,Alphavantage
2005-06-14,808.50,820.50,807.50,819.50,22127029.00,Alphavantage
2005-06-15,817.50,819.00,806.50,806.50,9544907.00,Alphavantage
2005-06-16,810.00,810.00,801.50,805.00,16360510.00,Alphavantage
2005-06-17,810.00,830.50,806.00,807.00,21360029.00,Alphavantage
2005-06-20,804.50,811.50,802.00,808.50,10397650.00,Alphavantage
2005-06-21,810.00,812.50,805.00,810.00,9309178.00,Alphavantage
2005-06-22,810.50,820.50,807.50,816.00,14064190.00,Alphavantage
2005-06-23,816.00,826.00,816.00,823.50,17891551.00,Alphavantage
2005-06-24,816.00,819.00,810.50,813.00,4487410.00,Alphavantage
2005-06-27,807.50,810.00,801.50,805.00,15938380.00,Alphavantage
2005-06-28,803.00,815.00,800.00,811.50,23282260.00,Alphavantage
2005-06-29,813.00,818.00,809.00,817.00,15965390.00,Alphavantage
2005-06-30,817.00,827.00,810.50,823.00,15675220.00,Alphavantage
2005-07-01,821.00,827.50,818.00,824.00,17965221.00,Alphavantage
2005-07-04,826.50,827.50,819.50,824.50,6677796.00,Alphavantage
2005-07-05,822.00,823.00,814.00,821.00,10645010.00,Alphavantage
2005-07-06,824.00,840.00,818.50,838.50,15354870.00,Alphavantage
2005-07-07,823.00,823.00,775.00,805.00,42802434.00,Alphavantage
2005-07-08,817.00,817.00,795.50,800.00,31040119.00,Alphavantage
2005-07-11,803.00,805.00,784.00,790.00,33026172.00,Alphavantage
2005-07-12,793.00,796.50,789.00,791.00,19626529.00,Alphavantage
2005-07-13,796.00,796.00,786.00,790.00,15855960.00,Alphavantage
2005-07-14,790.00,800.00,787.00,791.50,17191340.00,Alphavantage
2005-07-15,795.50,795.50,781.50,784.50,22855900.00,Alphavantage
2005-07-18,784.50,789.50,782.00,787.00,15584270.00,Alphavantage
2005-07-19,791.00,793.00,784.00,787.50,35793230.00,Alphavantage
2005-07-20,792.00,796.00,786.00,789.50,17489770.00,Alphavantage
2005-07-21,791.00,793.00,783.00,790.00,19917721.00,Alphavantage
2005-07-22,782.00,793.00,782.00,789.50,11859850.00,Alphavantage
2005-07-25,790.00,794.00,784.50,788.50,14738170.00,Alphavantage
2005-07-26,790.00,791.00,783.00,786.00,11758540.00,Alphavantage
2005-07-27,784.00,790.00,784.00,785.50,11677440.00,Alphavantage
2005-07-28,785.50,790.50,780.50,785.50,16670029.00,Alphavantage
2005-07-29,785.50,789.00,782.00,786.00,14412750.00,Alphavantage
2005-08-01,785.00,786.50,781.00,783.00,14842460.00,Alphavantage
2005-08-02,783.00,786.50,782.00,786.50,13094360.00,Alphavantage
2005-08-03,781.75,788.00,778.00,781.50,23713770.00,Alphavantage
2005-08-04,781.00,782.00,775.00,781.00,11940630.00,Alphavantage
2005-08-05,777.00,785.50,777.00,778.00,7613440.00,Alphavantage
2005-08-08,781.50,783.50,777.00,780.00,19769439.00,Alphavantage
2005-08-09,781.50,781.50,774.00,775.50,28452820.00,Alphavantage
2005-08-10,778.00,784.00,777.50,783.00,14409580.00,Alphavantage
2005-08-11,780.00,787.00,778.00,785.50,19941039.00,Alphavantage
2005-08-12,788.50,788.50,778.00,778.50,11472870.00,Alphavantage
2005-08-15,780.00,782.00,777.00,778.00,11012110.00,Alphavantage
2005-08-16,782.00,784.50,778.50,782.00,14315870.00,Alphavantage
2005-08-17,780.00,785.50,777.00,779.50,24550600.00,Alphavantage
2005-08-18,786.00,798.00,786.00,789.50,26280199.00,Alphavantage
2005-08-19,792.50,799.50,790.00,796.50,36018340.00,Alphavantage
2005-08-22,799.50,805.50,790.50,799.00,31504670.00,Alphavantage
2005-08-23,798.00,801.00,794.00,798.50,27978500.00,Alphavantage
2005-08-24,794.50,798.00,792.00,792.50,11754670.00,Alphavantage
2005-08-25,791.50,800.00,787.00,798.00,13661840.00,Alphavantage
2005-08-26,795.00,804.00,793.00,794.00,8947980.00,Alphavantage
2005-08-30,795.00,799.50,786.00,787.00,10233520.00,Alphavantage
2005-08-31,790.00,796.50,785.00,792.00,14304170.00,Alphavantage
2005-09-01,808.00,812.00,803.00,805.00,20619430.00,Alphavantage
2005-09-02,808.00,824.50,805.00,818.50,22704580.00,Alphavantage
2005-09-05,822.00,830.00,820.00,823.00,14541520.00,Alphavantage
2005-09-06,826.00,830.00,824.50,829.50,16831391.00,Alphavantage
2005-09-07,827.00,831.50,822.50,827.00,16859760.00,Alphavantage
2005-09-08,822.00,830.00,820.00,826.00,16488301.00,Alphavantage
2005-09-09,825.50,826.50,822.00,825.50,18148609.00,Alphavantage
2005-09-12,826.00,828.50,823.00,828.50,22924539.00,Alphavantage
2005-09-13,828.00,832.50,825.50,829.00,15473190.00,Alphavantage
2005-09-14,812.00,814.50,803.00,811.00,25310801.00,Alphavantage
2005-09-15,809.50,816.50,808.50,814.50,16171550.00,Alphavantage
2005-09-16,811.00,818.00,808.00,815.00,25114939.00,Alphavantage
2005-09-19,817.00,820.00,810.50,816.50,10236740.00,Alphavantage
2005-09-20,817.50,821.50,815.50,820.00,12786600.00,Alphavantage
2005-09-21,819.00,825.50,811.50,812.00,15804480.00,Alphavantage
2005-09-22,810.00,813.00,803.00,811.00,17129770.00,Alphavantage
2005-09-23,817.00,817.50,809.00,816.00,14798640.00,Alphavantage
2005-09-26,818.00,826.50,815.50,820.00,23362301.00,Alphavantage
2005-09-27,819.50,825.00,815.50,823.50,17025109.00,Alphavantage
2005-09-28,822.50,823.50,809.50,812.00,21587510.00,Alphavantage
2005-09-29,808.00,816.00,805.00,815.00,9933725.00,Alphavantage
2005-09-30,819.00,822.00,810.00,815.00,12440390.00,Alphavantage
2005-10-03,820.00,833.00,818.00,830.50,18283301.00,Alphavantage
2005-10-04,831.00,840.00,824.50,840.00,24522100.00,Alphavantage
2005-10-05,835.00,845.00,830.00,841.00,20679320.00,Alphavantage
