date,open,high,low,close,volume,comment
2017-06-06,4.62,4.62,4.60,4.60,73181.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-07,4.59,4.63,4.59,4.61,2582155.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-08,4.61,4.61,4.61,4.61,2582155.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-09,4.60,4.61,4.60,4.61,41364.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-12,4.61,4.61,4.57,4.57,5099459.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-13,4.60,4.60,4.60,4.60,5099459.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-14,4.61,4.61,4.61,4.61,5099459.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-15,4.59,4.59,4.57,4.58,89584.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-16,4.59,4.61,4.59,4.61,21616.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-19,4.65,4.65,4.64,4.64,184276.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-20,4.65,4.65,4.60,4.60,94864.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-21,4.65,4.65,4.60,4.60,94864.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-22,4.58,4.59,4.58,4.59,45708.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-23,4.58,4.58,4.58,4.58,45708.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-26,4.58,4.58,4.58,4.58,45708.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-27,4.53,4.53,4.52,4.52,8297.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-28,4.53,4.53,4.53,4.53,8297.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-29,4.47,4.48,4.46,4.46,34270.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-30,4.51,4.51,4.47,4.47,21617.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-03,4.51,4.51,4.51,4.51,21617.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-04,4.52,4.52,4.52,4.52,21617.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-05,4.53,4.53,4.51,4.51,150913.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-06,4.47,4.48,4.47,4.48,39142.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-07,4.49,4.49,4.48,4.49,50644.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-10,4.51,4.51,4.51,4.51,50644.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-11,4.50,4.50,4.48,4.48,21618.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-12,4.52,4.54,4.52,4.54,2811.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-13,4.56,4.56,4.56,4.56,2811.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-14,4.59,4.59,4.58,4.58,49821.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-17,4.59,4.59,4.59,4.59,49821.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-18,4.57,4.57,4.55,4.55,12066.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-19,4.57,4.57,4.57,4.57,12066.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-20,4.58,4.58,4.56,4.56,492.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-21,4.55,4.55,4.51,4.51,1212.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-24,4.48,4.48,4.48,4.48,1212.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-25,4.50,4.50,4.50,4.50,1212.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-26,4.55,4.55,4.54,4.54,2486.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-27,4.54,4.54,4.54,4.54,2486.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-28,4.50,4.53,4.50,4.50,3248.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-31,4.50,4.51,4.50,4.51,17384.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-01,4.53,4.54,4.53,4.54,18124.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-02,4.54,4.54,4.53,4.53,6674.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-03,4.54,4.54,4.51,4.53,17854.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-04,4.55,4.55,4.55,4.55,17854.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-07,4.56,4.56,4.56,4.56,10901.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-08,4.57,4.57,4.54,4.57,29135.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-09,4.52,4.54,4.52,4.54,1212.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-10,4.52,4.52,4.49,4.49,27279.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-11,4.45,4.45,4.44,4.44,9912.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-14,4.51,4.52,4.50,4.50,18966.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-15,4.50,4.50,4.50,4.50,36586.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-16,4.54,4.54,4.54,4.54,36586.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-17,4.52,4.52,4.52,4.52,36586.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-18,4.48,4.48,4.48,4.48,36586.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-21,4.46,4.46,4.46,4.46,36586.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-22,4.51,4.51,4.51,4.51,36586.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-23,4.48,4.48,4.48,4.48,36586.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-24,4.49,4.49,4.49,4.49,36586.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-25,4.49,4.50,4.48,4.48,2892.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-29,4.41,4.41,4.41,4.41,2892.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-30,4.45,4.45,4.45,4.45,2892.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-31,4.49,4.49,4.49,4.49,2892.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-01,4.53,4.53,4.53,4.53,2892.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-04,4.50,4.50,4.50,4.50,2892.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-05,4.51,4.51,4.50,4.50,1904.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-06,4.48,4.48,4.48,4.48,1904.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-07,4.50,4.50,4.49,4.49,2458.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-08,4.49,4.50,4.49,4.50,21897.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-11,4.55,4.55,4.55,4.55,21897.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-12,4.57,4.58,4.57,4.57,16037.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-13,4.57,4.57,4.56,4.56,19472.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-14,4.58,4.58,4.58,4.58,19472.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-15,4.56,4.56,4.56,4.56,19472.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-18,4.58,4.58,4.58,4.58,19472.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
