date,open,high,low,close,volume,comment
2019-06-10,20.14,20.14,20.14,20.14,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-06-11,20.32,20.32,20.32,20.32,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-06-12,20.62,20.62,20.62,20.62,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-06-13,20.61,20.61,20.61,20.61,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-06-14,20.48,20.48,20.48,20.48,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-06-17,20.43,20.43,20.43,20.43,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-06-18,20.87,20.87,20.87,20.87,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-06-19,20.62,20.62,20.62,20.62,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-06-20,21.18,21.18,21.18,21.18,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-06-21,21.32,21.32,21.32,21.32,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-06-24,21.36,21.36,21.36,21.36,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-06-25,21.11,21.11,21.11,21.11,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-06-26,20.91,20.91,20.91,20.91,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-06-27,20.70,20.70,20.70,20.70,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-06-28,21.14,21.14,21.14,21.14,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-01,21.34,21.34,21.34,21.34,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-02,21.04,21.04,21.04,21.04,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-03,21.18,21.18,21.18,21.18,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-04,22.04,22.04,22.04,22.04,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-05,21.99,21.99,21.99,21.99,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-08,22.15,22.15,22.15,22.15,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-09,22.34,22.34,22.34,22.34,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-10,22.83,22.83,22.83,22.83,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-11,22.54,22.54,22.54,22.54,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-12,22.52,22.52,22.52,22.52,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-15,22.50,22.50,22.50,22.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-16,22.61,22.61,22.61,22.61,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-17,22.55,22.55,22.55,22.55,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-18,22.52,22.52,22.52,22.52,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-19,22.50,22.50,22.50,22.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-22,22.55,22.55,22.55,22.55,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-23,22.36,22.36,22.36,22.36,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-24,22.45,22.45,22.45,22.45,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-25,22.02,22.02,22.02,22.02,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-26,22.16,22.16,22.16,22.16,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-29,22.35,22.35,22.35,22.35,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-30,22.64,22.64,22.64,22.64,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-31,22.44,22.44,22.44,22.44,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-01,22.51,22.51,22.51,22.51,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-02,21.81,21.81,21.81,21.81,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-05,21.14,21.14,21.14,21.14,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-06,21.14,21.14,21.14,21.14,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-07,21.16,21.16,21.16,21.16,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-08,21.91,21.91,21.91,21.91,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-09,21.91,21.91,21.91,21.91,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-12,21.35,21.35,21.35,21.35,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-13,21.75,21.75,21.75,21.75,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-14,21.08,21.08,21.08,21.08,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-15,20.93,20.93,20.70,20.70,12.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-16,20.91,20.91,20.79,20.79,77.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-19,20.79,20.79,20.79,20.79,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-20,20.41,20.41,20.41,20.41,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-21,20.69,20.69,20.69,20.69,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-22,20.49,20.49,20.49,20.49,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-23,19.80,19.80,19.80,19.80,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-27,20.91,20.91,19.21,19.21,77.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-28,19.48,19.52,19.48,19.52,2510.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-29,19.90,19.90,19.90,19.90,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-30,20.31,20.31,20.31,20.31,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-09-02,20.51,20.51,20.51,20.51,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-09-03,20.35,20.36,19.99,19.99,7299.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-09-04,20.15,20.32,20.15,20.32,2525.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-09-05,20.68,20.68,20.15,20.62,28.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-09-06,20.86,20.86,20.77,20.77,983.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-09-09,20.83,20.83,20.83,20.83,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-09-10,20.41,20.41,20.41,20.41,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-09-11,20.95,20.95,20.95,20.95,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-09-12,21.00,21.00,21.00,21.00,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-09-13,20.84,20.84,20.84,20.84,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-09-16,20.65,20.65,20.65,20.65,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-09-17,20.51,20.51,20.51,20.51,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-09-18,20.57,20.57,20.57,20.57,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-09-19,20.57,20.57,20.57,20.57,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-09-20,20.19,20.19,20.19,20.19,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-09-23,20.41,20.86,20.29,20.29,271.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-09-24,20.13,20.13,20.13,20.13,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-09-25,20.13,20.21,20.13,20.21,2130.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-09-26,20.54,20.54,20.54,20.54,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
