date,open,high,low,close,volume,comment
2023-07-10,419.80,419.80,417.62,417.62,7026.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-07-11,416.90,416.90,416.50,416.50,4969.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-07-12,421.65,421.98,416.90,421.98,150.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-07-13,422.20,422.20,421.00,421.00,1316.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-07-14,424.90,424.90,421.80,421.80,1355.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-07-17,424.15,424.15,421.50,422.10,10121.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-07-18,422.75,424.90,422.15,424.45,6523.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-07-19,430.05,432.85,430.05,432.50,13559.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-07-20,431.40,432.05,431.40,431.65,10552.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-07-21,431.00,432.05,431.00,431.60,2851.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-07-24,430.20,433.32,430.20,433.32,6135.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-07-25,432.95,432.95,432.48,432.48,1795.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-07-26,430.80,430.80,429.73,429.73,9149.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-07-27,432.30,436.40,432.30,435.15,11130.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-07-28,437.95,437.95,432.30,435.75,4429.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-07-31,435.35,439.70,435.30,436.02,26701.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-08-01,437.00,437.10,436.85,436.85,12168.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-08-02,433.60,437.10,432.12,432.12,220.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-08-03,431.50,431.50,430.38,430.38,1125.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-08-04,431.55,431.55,431.35,431.35,850.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-08-07,430.65,430.65,429.07,429.07,8061.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-08-08,428.70,428.70,427.30,427.30,1592.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-08-09,428.35,428.35,427.82,427.82,4654.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-08-10,431.95,431.95,431.40,431.40,3857.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-08-11,429.35,429.35,427.25,427.25,786.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-08-14,430.65,431.65,427.95,428.70,79577.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-08-15,428.60,428.65,423.80,423.80,20211.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-08-16,422.65,423.00,421.73,421.73,5140.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-08-17,421.15,421.15,418.30,418.30,54000.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-08-18,416.25,416.30,413.85,415.38,87339.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-08-21,418.65,418.65,414.10,416.38,110571.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-08-22,420.55,420.55,419.25,419.25,26517.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-08-23,418.75,422.70,418.75,422.70,43649.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-08-24,426.75,426.75,422.85,422.85,10275.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-08-25,423.45,423.45,422.80,422.80,17835.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-08-29,427.90,430.50,423.45,430.50,8078.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-08-30,432.30,432.30,429.52,429.52,8326.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-08-31,428.25,432.90,428.25,431.75,36484.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-09-01,434.90,434.90,433.75,433.75,14061.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-09-04,435.50,435.50,433.70,433.70,15882.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-09-05,435.50,435.50,434.43,434.43,30389.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-09-06,432.85,433.00,432.65,433.00,19849.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-09-07,428.75,432.20,428.75,432.20,17707.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-09-08,432.95,433.55,432.95,433.55,7787.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-09-11,434.10,434.25,433.35,433.43,51191.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-09-12,435.25,435.95,434.52,434.52,48454.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-09-13,434.75,435.20,434.52,434.52,40120.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-09-14,438.75,440.70,438.75,439.98,13886.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-09-15,441.80,442.00,438.73,438.73,47349.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-09-18,437.75,437.80,437.38,437.38,195361.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-09-19,438.20,438.20,435.25,435.25,55603.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-09-20,437.90,437.90,437.57,437.57,12386.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-09-21,434.95,435.25,433.18,433.18,48203.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-09-22,433.10,433.55,433.10,433.55,12141.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-09-25,432.35,432.35,430.00,432.12,21468.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-09-26,429.60,430.95,429.60,429.62,10480.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-09-27,430.95,430.95,429.38,429.38,15929.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-09-28,426.90,429.45,426.90,429.35,48433.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-09-29,433.15,433.15,430.65,431.27,9971.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-10-02,430.60,430.60,429.90,429.90,5583.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-10-03,428.30,428.30,425.73,425.73,4558.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-10-04,425.00,425.00,423.20,423.38,8027.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-10-05,422.10,427.55,422.10,423.02,19305.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-10-06,427.35,427.35,422.90,424.93,108845.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-10-09,429.35,429.35,426.15,427.05,91802.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-10-10,432.35,433.57,429.75,433.57,115683.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-10-11,432.25,432.90,431.80,431.85,67804.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-10-12,434.95,436.10,434.55,435.00,138967.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-10-13,434.00,435.60,433.55,433.55,91884.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-10-16,436.00,436.00,432.75,434.52,75069.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-10-17,435.50,436.80,433.60,434.50,120712.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-10-18,433.00,434.00,431.90,431.90,124279.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-10-19,432.10,432.10,428.05,429.75,150333.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-10-20,426.50,427.35,423.00,424.80,161229.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-10-23,425.45,425.50,420.05,421.77,92267.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-10-24,420.50,423.10,420.05,422.68,86852.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-10-25,424.65,424.65,421.30,421.80,103458.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-10-26,418.25,419.15,417.15,417.15,35797.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-10-27,419.80,419.80,415.65,415.90,67827.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-10-30,419.65,419.65,415.50,415.98,111304.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-10-31,419.25,419.25,418.07,418.07,57713.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-11-01,421.45,422.90,418.85,421.95,100497.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-11-02,426.25,429.60,425.70,429.25,105995.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-11-03,433.25,433.25,429.45,429.45,136319.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-11-06,432.05,432.05,428.30,428.62,140420.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-11-07,429.80,431.52,429.80,431.52,65027.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-11-08,432.40,433.65,431.15,431.15,162754.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-11-09,432.75,433.75,432.15,433.15,71560.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-11-10,432.30,434.05,432.30,433.45,148621.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-11-13,437.55,437.55,435.12,435.12,88972.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-11-14,437.10,437.75,434.50,437.40,152784.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-11-15,440.35,440.35,439.45,440.32,96617.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-11-16,441.00,441.00,438.27,438.27,77407.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-11-17,444.35,444.35,440.57,440.57,32155.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-11-20,442.20,442.20,439.85,440.98,200655.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-11-21,441.05,441.05,439.12,439.12,41886.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-11-22,445.30,445.30,442.65,442.65,43164.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-11-23,444.25,444.25,440.75,441.25,101427.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-11-24,441.50,441.50,439.00,439.00,42879.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-11-27,440.40,440.75,437.50,438.05,69133.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-11-28,439.30,439.30,436.05,436.52,13852.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-11-29,435.25,437.85,435.25,436.85,48019.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-11-30,437.95,440.40,437.80,437.85,181367.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-12-01,439.80,439.80,439.20,439.27,91925.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-12-04,441.80,441.80,438.62,438.62,158019.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-12-05,440.65,440.80,438.00,439.77,220158.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-12-06,440.95,443.25,440.95,441.80,159733.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-12-07,440.45,442.40,440.45,441.75,70778.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-12-08,443.15,445.20,443.15,444.25,86676.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
