date,open,high,low,close,volume,comment
2021-10-20,4.80,4.80,4.80,4.80,0.00,FTFeed
2021-10-21,4.79,4.79,4.79,4.79,0.00,FTFeed
2021-10-22,4.74,4.74,4.74,4.74,0.00,FTFeed
2021-10-25,4.77,4.77,4.77,4.77,0.00,FTFeed
2021-10-26,4.78,4.78,4.78,4.78,0.00,FTFeed
2021-10-27,4.81,4.81,4.81,4.81,0.00,FTFeed
2021-10-28,4.81,4.81,4.81,4.81,0.00,FTFeed
2021-10-29,4.80,4.80,4.80,4.80,0.00,FTFeed
2021-11-01,4.80,4.80,4.80,4.80,0.00,FTFeed
2021-11-02,4.81,4.81,4.81,4.81,0.00,FTFeed
2021-11-03,4.80,4.80,4.80,4.80,0.00,FTFeed
2021-11-04,4.79,4.79,4.79,4.79,0.00,FTFeed
2021-11-05,4.81,4.81,4.81,4.81,0.00,FTFeed
2021-11-08,4.83,4.83,4.83,4.83,0.00,FTFeed
2021-11-09,4.82,4.82,4.82,4.82,0.00,FTFeed
2021-11-10,4.85,4.85,4.85,4.85,0.00,FTFeed
2021-11-11,4.83,4.83,4.83,4.83,0.00,FTFeed
2021-11-12,4.90,4.90,4.90,4.90,0.00,FTFeed
2021-11-15,4.90,4.90,4.90,4.90,0.00,FTFeed
2021-11-16,4.89,4.89,4.89,4.89,0.00,FTFeed
2021-11-17,4.89,4.89,4.89,4.89,0.00,FTFeed
2021-11-18,4.86,4.86,4.86,4.86,0.00,FTFeed
2021-11-19,4.85,4.85,4.85,4.85,0.00,FTFeed
2021-11-22,4.82,4.82,4.82,4.82,0.00,FTFeed
2021-11-23,4.84,4.84,4.84,4.84,0.00,FTFeed
2021-11-24,4.84,4.84,4.84,4.84,0.00,FTFeed
2021-11-25,4.83,4.83,4.83,4.83,0.00,FTFeed
2021-11-26,4.84,4.84,4.84,4.84,0.00,FTFeed
2021-11-29,4.72,4.72,4.72,4.72,0.00,FTFeed
2021-11-30,4.73,4.73,4.73,4.73,0.00,FTFeed
2021-12-01,4.68,4.68,4.68,4.68,0.00,FTFeed
2021-12-02,4.77,4.77,4.77,4.77,0.00,FTFeed
2021-12-03,4.74,4.74,4.74,4.74,0.00,FTFeed
2021-12-06,4.77,4.77,4.77,4.77,0.00,FTFeed
2021-12-07,4.77,4.77,4.77,4.77,0.00,FTFeed
2021-12-08,4.87,4.87,4.87,4.87,0.00,FTFeed
2021-12-09,4.90,4.90,4.90,4.90,0.00,FTFeed
2021-12-10,4.87,4.87,4.87,4.87,0.00,FTFeed
