date,open,high,low,close,volume,comment
2025-03-14,202.40,202.40,202.40,202.40,0.00,FTFeed
2025-03-17,202.90,202.90,202.90,202.90,0.00,FTFeed
2025-03-18,203.00,203.00,203.00,203.00,0.00,FTFeed
2025-03-19,203.50,203.50,203.50,203.50,0.00,FTFeed
2025-03-20,204.50,204.50,204.50,204.50,0.00,FTFeed
2025-03-21,203.10,203.10,203.10,203.10,0.00,FTFeed
2025-03-24,202.60,202.60,202.60,202.60,0.00,FTFeed
2025-03-25,201.90,201.90,201.90,201.90,0.00,FTFeed
2025-03-26,202.10,202.10,202.10,202.10,0.00,FTFeed
2025-03-27,201.50,201.50,201.50,201.50,0.00,FTFeed
2025-03-28,202.40,202.40,202.40,202.40,0.00,FTFeed
2025-03-31,203.10,203.10,203.10,203.10,0.00,FTFeed
2025-04-01,203.50,203.50,203.50,203.50,0.00,FTFeed
2025-04-02,203.20,203.20,203.20,203.20,0.00,FTFeed
2025-04-03,203.70,203.70,203.70,203.70,0.00,FTFeed
2025-04-04,205.60,205.60,205.60,205.60,0.00,FTFeed
2025-04-07,204.10,204.10,204.10,204.10,0.00,FTFeed
2025-04-08,202.50,202.50,202.50,202.50,0.00,FTFeed
2025-04-09,200.80,200.80,200.80,200.80,0.00,FTFeed
2025-04-10,201.70,201.70,201.70,201.70,0.00,FTFeed
2025-04-11,201.30,201.30,201.30,201.30,0.00,FTFeed
2025-04-14,201.80,201.80,201.80,201.80,0.00,FTFeed
2025-04-15,202.20,202.20,202.20,202.20,0.00,FTFeed
2025-04-16,202.50,202.50,202.50,202.50,0.00,FTFeed
