date,open,high,low,close,volume,comment
2025-03-17,136.35,136.35,136.35,136.35,0.00,FTFeed
2025-03-18,136.27,136.27,136.27,136.27,0.00,FTFeed
2025-03-19,136.45,136.45,136.45,136.45,0.00,FTFeed
2025-03-20,137.32,137.32,137.32,137.32,0.00,FTFeed
2025-03-21,137.09,137.09,137.09,137.09,0.00,FTFeed
2025-03-24,136.58,136.58,136.58,136.58,0.00,FTFeed
2025-03-25,136.09,136.09,136.09,136.09,0.00,FTFeed
2025-03-26,136.28,136.28,136.28,136.28,0.00,FTFeed
2025-03-27,136.01,136.01,136.01,136.01,0.00,FTFeed
2025-03-28,136.51,136.51,136.51,136.51,0.00,FTFeed
2025-03-31,137.23,137.23,137.23,137.23,0.00,FTFeed
2025-04-01,134.35,134.35,134.35,134.35,0.00,FTFeed
2025-04-02,134.44,134.44,134.44,134.44,0.00,FTFeed
2025-04-03,134.62,134.62,134.62,134.62,0.00,FTFeed
2025-04-04,135.45,135.45,135.45,135.45,0.00,FTFeed
2025-04-07,134.15,134.15,134.15,134.15,0.00,FTFeed
2025-04-08,133.21,133.21,133.21,133.21,0.00,FTFeed
2025-04-09,131.55,131.55,131.55,131.55,0.00,FTFeed
2025-04-10,132.81,132.81,132.81,132.81,0.00,FTFeed
2025-04-11,132.30,132.30,132.30,132.30,0.00,FTFeed
2025-04-14,132.25,132.25,132.25,132.25,0.00,FTFeed
2025-04-15,132.60,132.60,132.60,132.60,0.00,FTFeed
2025-04-16,133.12,133.12,133.12,133.12,0.00,FTFeed
