date,open,high,low,close,volume,comment
2021-10-20,21.72,21.72,21.72,21.72,0.00,FTFeed
2021-10-21,21.77,21.77,21.77,21.77,0.00,FTFeed
2021-10-22,21.77,21.77,21.77,21.77,0.00,FTFeed
2021-10-25,21.68,21.68,21.68,21.68,0.00,FTFeed
2021-10-26,21.72,21.72,21.72,21.72,0.00,FTFeed
2021-10-27,21.76,21.76,21.76,21.76,0.00,FTFeed
2021-10-28,21.93,21.93,21.93,21.93,0.00,FTFeed
2021-10-29,21.88,21.88,21.88,21.88,0.00,FTFeed
2021-11-01,21.88,21.88,21.88,21.88,0.00,FTFeed
2021-11-02,21.85,21.85,21.85,21.85,0.00,FTFeed
2021-11-03,21.98,21.98,21.98,21.98,0.00,FTFeed
2021-11-04,21.93,21.93,21.93,21.93,0.00,FTFeed
2021-11-05,21.87,21.87,21.87,21.87,0.00,FTFeed
2021-11-08,22.01,22.01,22.01,22.01,0.00,FTFeed
2021-11-09,22.22,22.22,22.22,22.22,0.00,FTFeed
2021-11-10,22.07,22.07,22.07,22.07,0.00,FTFeed
2021-11-11,21.98,21.98,21.98,21.98,0.00,FTFeed
2021-11-12,22.15,22.15,22.15,22.15,0.00,FTFeed
2021-11-15,22.31,22.31,22.31,22.31,0.00,FTFeed
2021-11-16,22.23,22.23,22.23,22.23,0.00,FTFeed
2021-11-17,22.24,22.24,22.24,22.24,0.00,FTFeed
2021-11-18,22.17,22.17,22.17,22.17,0.00,FTFeed
2021-11-19,22.08,22.08,22.08,22.08,0.00,FTFeed
2021-11-22,22.15,22.15,22.15,22.15,0.00,FTFeed
2021-11-23,21.92,21.92,21.92,21.92,0.00,FTFeed
2021-11-24,22.11,22.11,22.11,22.11,0.00,FTFeed
2021-11-25,21.97,21.97,21.97,21.97,0.00,FTFeed
2021-11-26,22.14,22.14,22.14,22.14,0.00,FTFeed
2021-11-29,22.11,22.11,22.11,22.11,0.00,FTFeed
2021-11-30,21.33,21.33,21.33,21.33,0.00,FTFeed
2021-12-01,21.53,21.53,21.53,21.53,0.00,FTFeed
2021-12-02,21.36,21.36,21.36,21.36,0.00,FTFeed
2021-12-03,21.71,21.71,21.71,21.71,0.00,FTFeed
2021-12-06,21.57,21.57,21.57,21.57,0.00,FTFeed
2021-12-07,21.55,21.55,21.55,21.55,0.00,FTFeed
2021-12-08,21.86,21.86,21.86,21.86,0.00,FTFeed
2021-12-09,22.18,22.18,22.18,22.18,0.00,FTFeed
2021-12-10,22.18,22.18,22.18,22.18,0.00,FTFeed
