date,open,high,low,close,volume,comment
2021-10-21,5204.89,5204.89,5204.89,5204.89,0.00,FTFeed
2021-10-22,5243.06,5243.06,5243.06,5243.06,0.00,FTFeed
2021-10-25,5239.71,5239.71,5239.71,5239.71,0.00,FTFeed
2021-10-26,5235.40,5235.40,5235.40,5235.40,0.00,FTFeed
2021-10-27,5228.45,5228.45,5228.45,5228.45,0.00,FTFeed
2021-10-28,5224.21,5224.21,5224.21,5224.21,0.00,FTFeed
2021-10-29,5248.01,5248.01,5248.01,5248.01,0.00,FTFeed
2021-11-01,5273.47,5273.47,5273.47,5273.47,0.00,FTFeed
2021-11-02,5314.63,5314.63,5314.63,5314.63,0.00,FTFeed
2021-11-03,5314.26,5314.26,5314.26,5314.26,0.00,FTFeed
2021-11-04,5388.11,5388.11,5388.11,5388.11,0.00,FTFeed
2021-11-05,5373.43,5373.43,5373.43,5373.43,0.00,FTFeed
2021-11-08,5348.11,5348.11,5348.11,5348.11,0.00,FTFeed
2021-11-09,5354.94,5354.94,5354.94,5354.94,0.00,FTFeed
2021-11-10,5385.01,5385.01,5385.01,5385.01,0.00,FTFeed
2021-11-11,5416.41,5416.41,5416.41,5416.41,0.00,FTFeed
2021-11-12,5443.73,5443.73,5443.73,5443.73,0.00,FTFeed
2021-11-15,5436.76,5436.76,5436.76,5436.76,0.00,FTFeed
2021-11-16,5432.78,5432.78,5432.78,5432.78,0.00,FTFeed
2021-11-17,5403.10,5403.10,5403.10,5403.10,0.00,FTFeed
2021-11-18,5391.16,5391.16,5391.16,5391.16,0.00,FTFeed
2021-11-19,5400.49,5400.49,5400.49,5400.49,0.00,FTFeed
2021-11-22,5411.08,5411.08,5411.08,5411.08,0.00,FTFeed
2021-11-23,5415.00,5415.00,5415.00,5415.00,0.00,FTFeed
2021-11-24,5419.87,5419.87,5419.87,5419.87,0.00,FTFeed
2021-11-26,5371.62,5371.62,5371.62,5371.62,0.00,FTFeed
2021-11-29,5403.69,5403.69,5403.69,5403.69,0.00,FTFeed
2021-11-30,5331.97,5331.97,5331.97,5331.97,0.00,FTFeed
2021-12-01,5293.12,5293.12,5293.12,5293.12,0.00,FTFeed
2021-12-02,5337.59,5337.59,5337.59,5337.59,0.00,FTFeed
2021-12-03,5374.23,5374.23,5374.23,5374.23,0.00,FTFeed
2021-12-06,5403.69,5403.69,5403.69,5403.69,0.00,FTFeed
2021-12-07,5465.31,5465.31,5465.31,5465.31,0.00,FTFeed
2021-12-08,5482.79,5482.79,5482.79,5482.79,0.00,FTFeed
2021-12-09,5475.49,5475.49,5475.49,5475.49,0.00,FTFeed
