date,open,high,low,close,volume,comment
2021-10-20,1.05,1.05,1.05,1.05,0.00,FTFeed
2021-10-21,1.04,1.04,1.04,1.04,0.00,FTFeed
2021-10-22,1.05,1.05,1.05,1.05,0.00,FTFeed
2021-10-25,1.05,1.05,1.05,1.05,0.00,FTFeed
2021-10-26,1.05,1.05,1.05,1.05,0.00,FTFeed
2021-10-27,1.06,1.06,1.06,1.06,0.00,FTFeed
2021-10-28,1.06,1.06,1.06,1.06,0.00,FTFeed
2021-10-29,1.06,1.06,1.06,1.06,0.00,FTFeed
2021-11-01,1.07,1.07,1.07,1.07,0.00,FTFeed
2021-11-02,1.07,1.07,1.07,1.07,0.00,FTFeed
2021-11-03,1.08,1.08,1.08,1.08,0.00,FTFeed
2021-11-04,1.08,1.08,1.08,1.08,0.00,FTFeed
2021-11-05,1.10,1.10,1.10,1.10,0.00,FTFeed
2021-11-08,1.10,1.10,1.10,1.10,0.00,FTFeed
2021-11-09,1.10,1.10,1.10,1.10,0.00,FTFeed
2021-11-10,1.10,1.10,1.10,1.10,0.00,FTFeed
2021-11-11,1.10,1.10,1.10,1.10,0.00,FTFeed
2021-11-12,1.10,1.10,1.10,1.10,0.00,FTFeed
2021-11-15,1.11,1.11,1.11,1.11,0.00,FTFeed
2021-11-16,1.11,1.11,1.11,1.11,0.00,FTFeed
2021-11-17,1.10,1.10,1.10,1.10,0.00,FTFeed
2021-11-18,1.10,1.10,1.10,1.10,0.00,FTFeed
2021-11-19,1.10,1.10,1.10,1.10,0.00,FTFeed
2021-11-22,1.10,1.10,1.10,1.10,0.00,FTFeed
2021-11-23,1.09,1.09,1.09,1.09,0.00,FTFeed
2021-11-24,1.09,1.09,1.09,1.09,0.00,FTFeed
2021-11-26,1.07,1.07,1.07,1.07,0.00,FTFeed
2021-11-29,1.07,1.07,1.07,1.07,0.00,FTFeed
2021-11-30,1.07,1.07,1.07,1.07,0.00,FTFeed
2021-12-01,1.06,1.06,1.06,1.06,0.00,FTFeed
2021-12-02,1.06,1.06,1.06,1.06,0.00,FTFeed
2021-12-03,1.07,1.07,1.07,1.07,0.00,FTFeed
2021-12-06,1.07,1.07,1.07,1.07,0.00,FTFeed
2021-12-07,1.09,1.09,1.09,1.09,0.00,FTFeed
2021-12-08,1.11,1.11,1.11,1.11,0.00,FTFeed
2021-12-09,1.11,1.11,1.11,1.11,0.00,FTFeed
2021-12-10,1.10,1.10,1.10,1.10,0.00,FTFeed
